 	il	y	a	un	grand	espace	entre	ces	deux	maisons	</S>
a15	0.163006	0.181262	0.140126	0.162808	0.140576	0.0920023	0.0546917	0.0378082	0.0143111	0.00761595	0.00579292
a66	0.0765028	0.0751976	0.0808736	0.156213	0.185768	0.133725	0.113064	0.0864441	0.043724	0.0252061	0.0232813
a10	0.368621	0.22065	0.114313	0.0699742	0.0460116	0.0324787	0.0343608	0.0318989	0.0223512	0.0251461	0.0341958
a87	0.312057	0.262356	0.192102	0.109314	0.0544429	0.0220742	0.0155523	0.0110696	0.00641788	0.00567564	0.00893925
a23	0.253225	0.241198	0.200438	0.121889	0.068208	0.0303467	0.0271428	0.0220743	0.0124712	0.0100146	0.0129917
a15	0.169815	0.203039	0.213168	0.13162	0.0915412	0.0469588	0.0371655	0.0285088	0.0213857	0.0246247	0.0321734
a47	0.147897	0.192302	0.201293	0.148817	0.0992115	0.0473953	0.0405524	0.0300093	0.0282609	0.0315106	0.03275
a85	0.143735	0.16533	0.1785	0.154735	0.11524	0.0567316	0.0566268	0.0382008	0.0310007	0.0335104	0.0263889
a5	0.0971603	0.130959	0.167447	0.168319	0.117494	0.0721575	0.0722422	0.051518	0.0387666	0.0452534	0.0386832
a21	0.15593	0.162223	0.205396	0.173441	0.10284	0.0511043	0.0471008	0.0350838	0.0228498	0.0237742	0.0202579
a5	0.165925	0.159912	0.187519	0.156806	0.103873	0.0624497	0.0497738	0.0377774	0.0245063	0.0268018	0.0246557
a98	0.093747	0.0915495	0.118428	0.135411	0.140736	0.119289	0.0865516	0.0610916	0.0456135	0.0534315	0.0541519
a47	0.0669678	0.0571386	0.0613091	0.087611	0.124708	0.149396	0.113154	0.0816329	0.0628993	0.0853391	0.109844
a98	0.0510703	0.0404066	0.0352787	0.0544036	0.108697	0.169011	0.118	0.0827833	0.0714699	0.114488	0.154391
a47	0.0292075	0.0250061	0.0223229	0.0375279	0.0880449	0.173454	0.136698	0.111329	0.0929168	0.11998	0.163513
a36	0.0243694	0.0247883	0.020452	0.026954	0.0805823	0.186347	0.114536	0.0754587	0.0817434	0.128155	0.236613
a2	0.0166163	0.0163697	0.0108991	0.0118589	0.0387633	0.200983	0.168411	0.0997872	0.0899494	0.123422	0.22294
a57	0.0389998	0.0424889	0.0356497	0.0402576	0.0783639	0.22104	0.139661	0.0984081	0.0736123	0.0876109	0.143908
a50	0.0624728	0.0589388	0.0545233	0.0657039	0.117333	0.184283	0.127888	0.0973354	0.0696828	0.0705212	0.0913179
a70	0.049792	0.0467744	0.0369106	0.0409168	0.0650236	0.13197	0.104275	0.101418	0.108991	0.132717	0.181212
a93	0.0173489	0.0134439	0.00862043	0.0101363	0.0195508	0.0880586	0.115834	0.128443	0.157946	0.196659	0.243959
a34	0.003812	0.00328219	0.00263665	0.00329945	0.00883467	0.0432604	0.077168	0.109653	0.197219	0.258011	0.292824
a12	0.00289925	0.00258233	0.00189901	0.00267186	0.00677465	0.0336787	0.0526697	0.0815433	0.192123	0.287829	0.33533
a62	0.00329046	0.00273448	0.00199363	0.00242849	0.00459676	0.0159745	0.0269682	0.0513116	0.163739	0.332244	0.394719
a88	0.00229767	0.00214245	0.00169805	0.00212926	0.00396327	0.0147314	0.0280873	0.0505482	0.153447	0.307877	0.433079
a31	0.00185722	0.00191414	0.00146985	0.00224349	0.00411502	0.0135568	0.0246244	0.0466437	0.153986	0.30069	0.448899
a47	0.00114243	0.00114824	0.000882168	0.00103609	0.00191766	0.00690778	0.0156946	0.0331496	0.124359	0.28947	0.524293
a96	0.00142771	0.00148363	0.00120337	0.00185901	0.00354009	0.0118863	0.0259169	0.0460957	0.147557	0.2859	0.47313
a75	0.000659467	0.000589212	0.000404322	0.000547801	0.00137833	0.00600204	0.0156704	0.0303612	0.126415	0.295156	0.522816
a5	0.000247077	0.000200824	0.000136241	0.000201019	0.000595746	0.00263016	0.0068795	0.0154698	0.0830831	0.26135	0.629207
a18	0.000528233	0.000430824	0.000289317	0.0003942	0.000938399	0.00260299	0.00588077	0.0132034	0.0778732	0.285204	0.612655
a82	0.00627863	0.00490952	0.00379666	0.0056735	0.0105571	0.0225569	0.0313885	0.0405639	0.118949	0.279097	0.47623
a87	0.12245	0.0903021	0.057922	0.0607207	0.0551987	0.0618025	0.0486103	0.0498826	0.0972368	0.136549	0.219325
a23	0.19269	0.143148	0.108633	0.101456	0.0858117	0.0686584	0.0537624	0.0616034	0.0662642	0.0528929	0.0650803
a25	0.0827325	0.0603437	0.0327169	0.0182936	0.011531	0.0132144	0.0257087	0.042714	0.0951976	0.202413	0.415135
a87	0.039988	0.0279934	0.0149988	0.00858563	0.00811085	0.0133326	0.0205645	0.0292802	0.0668542	0.22063	0.549662
a23	0.0396664	0.0267788	0.0150227	0.00970489	0.0104068	0.0149285	0.0208908	0.0276209	0.0537269	0.211323	0.56993
a97	0.0213137	0.0173925	0.0114199	0.00831122	0.00906174	0.0146831	0.0283516	0.0403825	0.0786916	0.216566	0.553826
a38	0.0205957	0.017021	0.0126074	0.012066	0.0146345	0.0157554	0.0272616	0.0360232	0.0728412	0.222516	0.548678
</S>	0.0385257	0.0388389	0.0328073	0.0355609	0.0421324	0.0384826	0.0560391	0.0646947	0.0923533	0.181047	0.379518
