 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a23	0.276403	0.175839	0.117194	0.0842489	0.0708937	0.0467383	0.0319863	0.0341349	0.0322615	0.0282235	0.0218598	0.0225353	0.0245319	0.0331503
a85	0.244359	0.145021	0.11198	0.0910542	0.0741089	0.06008	0.0494224	0.0460771	0.0378613	0.0306284	0.0237954	0.0249213	0.0283929	0.0322977
a87	0.179564	0.126863	0.13287	0.108035	0.0945517	0.0787847	0.0613536	0.0532041	0.039417	0.0252067	0.0170776	0.0205034	0.0286509	0.0339181
a23	0.0916928	0.0755693	0.100291	0.105401	0.105244	0.109948	0.094931	0.0879811	0.0634628	0.0466866	0.0298811	0.0259866	0.0286555	0.0342686
a20	0.0857724	0.0585765	0.0732331	0.0686748	0.0915552	0.124528	0.111005	0.0843484	0.059287	0.0409642	0.0309281	0.0359703	0.0551013	0.0800557
a73	0.233626	0.147094	0.124931	0.104331	0.108654	0.0847225	0.0643687	0.0476492	0.0297985	0.0211993	0.0120564	0.00843611	0.00652659	0.00660531
a37	0.156938	0.144391	0.147406	0.141677	0.127208	0.0864851	0.0590529	0.0515368	0.0330234	0.0208602	0.012021	0.0079128	0.00605736	0.00543028
a24	0.121047	0.12377	0.141032	0.154384	0.142091	0.0953549	0.0677363	0.0567922	0.0369245	0.0228445	0.0133968	0.00944587	0.00781915	0.00736209
a32	0.0876964	0.0889061	0.115457	0.132591	0.136656	0.117485	0.0965429	0.0867364	0.056352	0.0302922	0.0164545	0.0123875	0.0113392	0.011104
a38	0.0568719	0.0551946	0.0836812	0.105632	0.13187	0.155153	0.135086	0.119034	0.0724912	0.034717	0.016846	0.0110294	0.0105833	0.0118102
a61	0.045531	0.0428552	0.0662378	0.0823182	0.109571	0.157092	0.152726	0.139225	0.0871969	0.0418545	0.021523	0.0154786	0.0172922	0.0210988
a41	0.0454146	0.0422982	0.061972	0.0710483	0.0871072	0.128163	0.151458	0.14995	0.111504	0.0602305	0.0286984	0.0183965	0.0197104	0.0240498
a24	0.0406765	0.0371363	0.049069	0.0560011	0.0694785	0.129752	0.170089	0.169457	0.113829	0.0544161	0.0275354	0.0206262	0.0261123	0.0358227
