 	ils	ont	levé	l'	ancre	hier	</S>
a87	0.173113	0.102387	0.053975	0.0684426	0.107038	0.193212	0.301833
a10	0.10834	0.0968761	0.0960022	0.128348	0.15132	0.1811	0.238014
a87	0.132361	0.117785	0.104659	0.114016	0.129282	0.172789	0.229107
a23	0.167785	0.140153	0.101104	0.0999773	0.111236	0.162091	0.217654
a38	0.209086	0.173623	0.113237	0.0959428	0.14413	0.116911	0.14707
a30	0.417953	0.297893	0.105987	0.0574034	0.0697216	0.0289301	0.0221117
a66	0.374328	0.34213	0.11962	0.0555441	0.0526369	0.0300899	0.0256517
a38	0.343084	0.341575	0.127356	0.0601358	0.0557196	0.0362994	0.0358303
a11	0.303582	0.348857	0.147436	0.0674836	0.0587906	0.0375569	0.0362936
a35	0.261406	0.315466	0.178589	0.0881791	0.0709511	0.0431033	0.0423048
a41	0.2129	0.280666	0.194296	0.108547	0.0969056	0.0567913	0.0498933
a35	0.176508	0.216305	0.181195	0.127761	0.14279	0.0815915	0.0738488
a14	0.156189	0.184535	0.180069	0.140254	0.159971	0.0946647	0.0843182
a73	0.1014	0.117857	0.153508	0.164069	0.207619	0.133559	0.121987
a84	0.060861	0.0785551	0.102767	0.139404	0.223022	0.177318	0.218073
a57	0.0299194	0.0472837	0.0828637	0.130143	0.170145	0.22952	0.310125
a38	0.0240754	0.0409138	0.0661751	0.104053	0.153847	0.25168	0.359256
a76	0.0158663	0.0290083	0.0577474	0.129331	0.243158	0.243698	0.281192
a20	0.0271217	0.0372482	0.0522204	0.0945111	0.15436	0.250044	0.384494
a84	0.00752312	0.0116415	0.0213077	0.0526549	0.109817	0.263773	0.533283
a87	0.00366409	0.00663419	0.0149739	0.0441446	0.0900783	0.2702	0.570305
</S>	0.00156312	0.0024885	0.00616201	0.0276383	0.0534955	0.258835	0.649817
