 	la	pirogue	a	cassé	ses	amarres	et	part	à	la	dérive	</S>
a23	0.203879	0.170015	0.110388	0.0751262	0.0715602	0.118618	0.0587427	0.0562898	0.0453627	0.0309178	0.0315164	0.0275844
a10	0.21612	0.194208	0.141052	0.0878998	0.0824898	0.0748275	0.0397414	0.0307903	0.0244299	0.0311477	0.0365319	0.0407622
a87	0.164825	0.194269	0.174392	0.107893	0.0987391	0.0763818	0.030769	0.0234474	0.0159878	0.0214906	0.0425832	0.0492213
a23	0.142306	0.176458	0.188657	0.131275	0.121269	0.0801426	0.0336457	0.0290403	0.0194688	0.0207558	0.0279013	0.0290797
a38	0.210809	0.261909	0.21913	0.104322	0.0764973	0.0409008	0.0102674	0.00932579	0.00846746	0.0100685	0.0220776	0.0262248
a54	0.286804	0.307492	0.240281	0.0862191	0.0424971	0.0169964	0.00323028	0.00342672	0.00296626	0.00240688	0.00338278	0.00429691
a30	0.228257	0.261054	0.251284	0.115074	0.0672583	0.0350637	0.012118	0.00901304	0.00656526	0.00431741	0.00495552	0.00503898
a94	0.206522	0.236133	0.223976	0.138561	0.0901486	0.0509603	0.0166651	0.01276	0.00904613	0.00556671	0.00525823	0.00440334
a20	0.176033	0.201745	0.216788	0.155826	0.114524	0.0750537	0.0251146	0.0164282	0.00737518	0.00419496	0.00371047	0.00320666
a94	0.122495	0.138424	0.169018	0.149286	0.13288	0.125909	0.0604306	0.0455806	0.0238305	0.0141209	0.0104424	0.00758369
a24	0.115693	0.125289	0.1612	0.156756	0.142858	0.148722	0.0624794	0.0457345	0.0189733	0.0093746	0.00718039	0.00573946
a25	0.103393	0.104085	0.142001	0.160029	0.159723	0.170817	0.0722508	0.0503464	0.0166246	0.00766986	0.00675062	0.00630918
a38	0.0624084	0.0753732	0.120223	0.158934	0.188223	0.19401	0.0773953	0.0533614	0.0216086	0.01465	0.0163281	0.0174844
a75	0.0564141	0.0634597	0.098346	0.131889	0.173083	0.212067	0.10473	0.072993	0.0266099	0.0174019	0.0205859	0.0224209
a41	0.0709516	0.0720536	0.106522	0.140932	0.165946	0.197946	0.0875479	0.0755308	0.0335181	0.0182266	0.0155142	0.0153115
a35	0.0607966	0.0615721	0.0908559	0.130601	0.170737	0.219283	0.0857736	0.072095	0.0367382	0.0237496	0.0224703	0.0253275
a14	0.0574675	0.057584	0.0787208	0.108573	0.147085	0.226419	0.109686	0.0885431	0.0447876	0.0280525	0.0250906	0.0279909
a41	0.0689482	0.0649207	0.0772315	0.102323	0.131638	0.220049	0.0944828	0.0805781	0.046982	0.0345245	0.0334378	0.0448842
a43	0.074802	0.0637835	0.0736778	0.0931125	0.120397	0.188236	0.0962663	0.0859147	0.0506108	0.0405519	0.0434945	0.069153
a10	0.074749	0.0584329	0.0687077	0.084574	0.114483	0.15592	0.119162	0.101526	0.0519092	0.0407457	0.0462595	0.0835313
a62	0.0602193	0.047441	0.0557078	0.0742575	0.101677	0.143015	0.132894	0.119624	0.0735126	0.0514817	0.0540219	0.0861479
a96	0.0560405	0.0535505	0.0592116	0.0641222	0.0790514	0.102968	0.116296	0.0941672	0.0798602	0.0742044	0.0806081	0.13992
a75	0.0447269	0.0440539	0.0500528	0.0551583	0.0672461	0.0933903	0.107582	0.0925703	0.08689	0.0837722	0.100459	0.174098
a14	0.0324072	0.032988	0.0420314	0.0533816	0.0807039	0.122416	0.11486	0.0951581	0.068322	0.0769741	0.101641	0.179117
a30	0.0296101	0.0275662	0.0315901	0.0394231	0.0581497	0.0883813	0.0897942	0.0831921	0.0742626	0.0975013	0.133151	0.247378
a57	0.0364706	0.0324252	0.0341055	0.0389872	0.0584534	0.0779341	0.0911983	0.0886528	0.0884626	0.114981	0.136538	0.201791
a79	0.0211594	0.0173646	0.0182147	0.0249844	0.0357045	0.0433122	0.036493	0.0340103	0.047356	0.113662	0.17915	0.428589
a76	0.0262547	0.0200566	0.0219262	0.025298	0.0380421	0.0380031	0.0464827	0.042998	0.0539555	0.104378	0.174166	0.408439
a94	0.0160718	0.0147534	0.0198764	0.0298134	0.0492309	0.0480468	0.0473822	0.0377259	0.0471153	0.0972538	0.184209	0.408521
a26	0.00737758	0.00688837	0.00949169	0.0152778	0.0295426	0.037098	0.0401441	0.0346551	0.0418538	0.107755	0.196581	0.473335
a35	0.00602819	0.00493294	0.00623105	0.0100578	0.020859	0.0289076	0.038974	0.0381107	0.047007	0.122761	0.191366	0.484764
a44	0.00450428	0.00394079	0.00528224	0.00867433	0.0185487	0.024135	0.0284127	0.023519	0.0299582	0.0904308	0.201367	0.561227
a76	0.00446856	0.00450671	0.00623477	0.0098992	0.0201173	0.0243249	0.0256539	0.0226883	0.0291051	0.0937357	0.212129	0.547137
a90	0.0143968	0.0147122	0.0177701	0.0209236	0.0334117	0.02641	0.0202495	0.0179805	0.0242328	0.0790155	0.195085	0.535812
a38	0.0125188	0.0133484	0.0164022	0.0211533	0.0328542	0.0319395	0.0240857	0.0200412	0.025404	0.0800978	0.192244	0.529911
a76	0.0086813	0.00718105	0.00881346	0.0141538	0.0311356	0.0350961	0.0290079	0.0268283	0.0292103	0.0854674	0.171376	0.553049
a90	0.0076955	0.00758289	0.00957522	0.0124731	0.0201045	0.0156038	0.012823	0.0119281	0.0180981	0.0629779	0.195117	0.626021
a57	0.00514781	0.00474195	0.00588983	0.00924634	0.0203619	0.0231534	0.0187109	0.0176386	0.0215499	0.0726847	0.188576	0.612298
a87	0.004707	0.00366756	0.00383757	0.00587586	0.0153555	0.0218101	0.0238503	0.021333	0.0285066	0.0914627	0.190855	0.588739
a10	0.0141289	0.00990338	0.00852061	0.00844642	0.0126496	0.0120449	0.017933	0.0213443	0.0547507	0.139	0.250974	0.450304
a11	0.0257747	0.0168761	0.0158728	0.0145641	0.0201428	0.019137	0.0283386	0.0343396	0.0814991	0.183979	0.224177	0.335299
a75	0.0124451	0.0089301	0.00920096	0.00809928	0.0131482	0.0161053	0.0251473	0.0303369	0.0619607	0.173658	0.234404	0.406564
a30	0.0147519	0.0115952	0.0131033	0.0177041	0.0293246	0.0300041	0.0392301	0.0466408	0.0945311	0.167843	0.226924	0.308347
a57	0.00202661	0.00180754	0.00224981	0.00423858	0.00880272	0.0164115	0.018968	0.0182499	0.0279623	0.0921671	0.235459	0.571657
a87	0.01242	0.00877345	0.00777925	0.0077013	0.0120412	0.0134909	0.0221366	0.0233963	0.0478512	0.162217	0.244215	0.437978
a23	0.0357802	0.0224929	0.018645	0.0159352	0.0200106	0.017254	0.0248797	0.030574	0.0671193	0.170846	0.218749	0.357713
a87	0.0473463	0.0316416	0.0279806	0.0237116	0.029658	0.0266188	0.0385882	0.0454464	0.0728315	0.158883	0.189767	0.307527
</S>	0.0390292	0.0255099	0.0222279	0.0198794	0.0217914	0.0181384	0.0259765	0.0333461	0.0628791	0.148971	0.218728	0.363523
