 	les	militaires	ont	laissé	passer	la	voiture	du	chef	</S>
a66	0.540559	0.263509	0.0788521	0.0341281	0.0232106	0.0182569	0.0137324	0.00952752	0.00945887	0.00876549
a87	0.616721	0.177001	0.0326804	0.0083023	0.0102203	0.0164941	0.0197338	0.0262881	0.046543	0.0460159
a23	0.481755	0.169956	0.0596881	0.0258234	0.0222967	0.0267139	0.0290171	0.0352741	0.060562	0.0889134
a40	0.244352	0.121578	0.0604296	0.0440046	0.0544463	0.0631431	0.0617213	0.0726525	0.116184	0.161489
a37	0.469764	0.282239	0.101658	0.0429457	0.0293222	0.0242917	0.0170205	0.010822	0.0111201	0.0108168
a90	0.31271	0.289143	0.205262	0.0617074	0.0285328	0.0177982	0.0137742	0.0149677	0.0236234	0.0324808
a25	0.248613	0.2485	0.244855	0.0876666	0.0480359	0.029676	0.0194859	0.0161237	0.0225534	0.0344904
a98	0.118996	0.216351	0.287209	0.134211	0.0641548	0.0391806	0.0288315	0.0247246	0.0336813	0.0526593
a85	0.117918	0.231708	0.268954	0.131837	0.0713637	0.0470493	0.0349012	0.0255192	0.0298029	0.040946
a21	0.127856	0.226394	0.24842	0.111597	0.0662649	0.0529481	0.0465282	0.0352336	0.0366929	0.0480664
a47	0.146493	0.218562	0.248012	0.111331	0.0794368	0.0615892	0.0467794	0.0294569	0.0272315	0.0311081
a61	0.0623169	0.126402	0.20552	0.156226	0.122186	0.103203	0.0802161	0.0558784	0.0435745	0.0444762
a0	0.0228841	0.0643101	0.15779	0.171578	0.157742	0.140282	0.106469	0.0683576	0.055649	0.0549391
a75	0.0158116	0.0319987	0.0885554	0.213537	0.188911	0.151459	0.101956	0.0612759	0.0679194	0.0785751
a90	0.00920117	0.0243846	0.0549476	0.105691	0.131521	0.146855	0.136136	0.135981	0.128664	0.12662
a44	0.00904743	0.0187648	0.0414088	0.112098	0.164475	0.180477	0.156579	0.121308	0.0979311	0.0979115
a90	0.010185	0.0160182	0.0263123	0.0724309	0.131355	0.168583	0.159484	0.136836	0.133975	0.14482
a44	0.00431258	0.00768362	0.0149491	0.0571763	0.125138	0.165122	0.163905	0.157368	0.1499	0.154446
a70	0.00324413	0.00459206	0.00657058	0.0218004	0.0595134	0.110748	0.140418	0.180062	0.228681	0.24437
a93	0.00247275	0.00327949	0.00447941	0.0142405	0.0381928	0.0765523	0.108177	0.171363	0.275964	0.305279
a96	0.00239491	0.00283133	0.00342803	0.0109832	0.031948	0.0648431	0.0959487	0.168899	0.293789	0.324934
a93	0.000800118	0.00115334	0.00174946	0.00503666	0.0134239	0.0321842	0.0601464	0.149223	0.351279	0.385004
a4	0.000499065	0.000717883	0.00118745	0.00403864	0.0116334	0.0262816	0.0480809	0.131971	0.34425	0.431339
a13	0.000282129	0.000411208	0.000742443	0.00204009	0.00531879	0.0153244	0.0392187	0.13727	0.374603	0.424789
a30	0.00075263	0.00102653	0.00204553	0.00483259	0.0113554	0.0337941	0.090597	0.216493	0.327879	0.311225
a70	0.010015	0.0113426	0.0171962	0.025867	0.0421121	0.0778156	0.139728	0.207656	0.235458	0.232809
a13	0.00197891	0.00324096	0.00860876	0.0206696	0.040301	0.070103	0.122014	0.193555	0.255265	0.284264
a38	0.005326	0.00657066	0.0108912	0.0212245	0.0437265	0.0769988	0.135591	0.200571	0.242887	0.256213
a10	0.00272398	0.00356037	0.00803024	0.0181118	0.0367378	0.0647891	0.108867	0.175559	0.259871	0.321749
a82	0.0148204	0.0107513	0.0125451	0.021832	0.037274	0.0602576	0.102704	0.170348	0.255451	0.314017
a57	0.12697	0.0636352	0.0292044	0.024045	0.0389239	0.0596579	0.102076	0.160231	0.199744	0.195513
a87	0.101375	0.0594344	0.0260341	0.0159404	0.0287113	0.0480363	0.0914276	0.153555	0.220038	0.255448
a97	0.0683114	0.0444867	0.0273828	0.0185506	0.0364522	0.0608424	0.106204	0.161657	0.222657	0.253456
</S>	0.0379462	0.0264744	0.0247972	0.0305883	0.0611136	0.0719845	0.0949399	0.141865	0.227293	0.282998
