 	essaie	de	calmer	ces	enfants	qui	se	chamaillent	</S>
a66	0.140475	0.13405	0.130095	0.144406	0.155674	0.204893	0.0664162	0.017222	0.00676933
a87	0.456876	0.188268	0.0874178	0.0751847	0.0573366	0.0562767	0.0355741	0.0207445	0.0223211
a23	0.43078	0.171762	0.134732	0.0838051	0.0591758	0.044264	0.025548	0.0193894	0.0305435
a87	0.398579	0.194766	0.18348	0.0750301	0.0486745	0.0302587	0.0191188	0.0188191	0.0312743
a23	0.25633	0.271047	0.306307	0.0783773	0.0303072	0.0159791	0.0139734	0.0144469	0.0132324
a13	0.251911	0.226408	0.26445	0.0855463	0.0462614	0.0292171	0.027931	0.0275652	0.0407108
a57	0.257155	0.211175	0.209591	0.0907891	0.0574659	0.0440304	0.0509162	0.0357567	0.0431204
a3	0.279236	0.235314	0.233616	0.0830576	0.0457939	0.0316268	0.0382284	0.0289661	0.024161
a87	0.335205	0.235947	0.217196	0.0663699	0.0364693	0.0258723	0.033742	0.0282567	0.0209419
a23	0.34009	0.256721	0.242987	0.0459536	0.0233898	0.0172793	0.0248603	0.0259376	0.0227819
a99	0.256146	0.194862	0.177318	0.0807989	0.0595091	0.0470465	0.0605413	0.0598331	0.0639451
a94	0.247687	0.220661	0.203408	0.085127	0.0523628	0.0442755	0.0586479	0.0449216	0.0429087
a61	0.258883	0.241365	0.18638	0.0945217	0.0600762	0.0401189	0.0385054	0.0365008	0.0436492
a75	0.186794	0.180624	0.151985	0.137004	0.117514	0.0708631	0.0542804	0.0525626	0.0483736
a92	0.143112	0.124837	0.124723	0.142893	0.142882	0.12615	0.0821797	0.0618992	0.0513246
a79	0.0966062	0.0987525	0.12809	0.159968	0.153703	0.140946	0.099284	0.0616466	0.0610048
a44	0.0825672	0.0952672	0.12151	0.166697	0.160667	0.135319	0.0972327	0.0677939	0.0729449
a90	0.0995323	0.104296	0.139037	0.176199	0.162743	0.134302	0.0870054	0.0525715	0.0443141
a56	0.108041	0.109485	0.134133	0.169464	0.15558	0.125686	0.0884529	0.0548043	0.0543543
a75	0.07281	0.086131	0.114469	0.176359	0.181688	0.152927	0.10687	0.0611798	0.047567
a56	0.0556747	0.0649096	0.0753982	0.148746	0.187067	0.159976	0.123687	0.107548	0.0769923
a44	0.0448125	0.053813	0.0702343	0.175639	0.229063	0.206118	0.116519	0.0585472	0.0452543
a98	0.0347606	0.0411793	0.0530052	0.160846	0.222441	0.198625	0.13605	0.0875018	0.0655918
a92	0.0199604	0.0229545	0.0264309	0.0879917	0.159893	0.154727	0.155785	0.197874	0.174384
a37	0.0150512	0.0184837	0.0237352	0.100692	0.207958	0.223504	0.173812	0.138797	0.0979661
a98	0.0198845	0.0195726	0.0216258	0.079592	0.187573	0.220528	0.19251	0.126756	0.131958
a47	0.0131937	0.0140033	0.0166562	0.0605811	0.160535	0.191869	0.162545	0.197566	0.183052
a36	0.0289388	0.0266555	0.0213185	0.0527685	0.152059	0.206892	0.154025	0.149037	0.208307
a0	0.0382204	0.0298759	0.0228	0.0424961	0.0948247	0.141086	0.154824	0.171083	0.304789
a75	0.0512128	0.0398994	0.0322107	0.0460069	0.0695769	0.101738	0.140232	0.206885	0.312238
a47	0.00490741	0.0033307	0.00318037	0.00818794	0.0274577	0.0592425	0.0990718	0.255847	0.538775
a92	0.00521105	0.00373894	0.0027726	0.00521565	0.018033	0.0394376	0.0907288	0.260337	0.574526
a85	0.00397065	0.0028696	0.0025596	0.00632433	0.0204607	0.0435594	0.0981925	0.296697	0.525366
a6	0.00228878	0.00145736	0.00115711	0.00302698	0.0119033	0.027714	0.0836644	0.264808	0.60398
a36	0.00567708	0.00280276	0.00195937	0.00478911	0.0121442	0.022033	0.055893	0.21862	0.676082
a61	0.020471	0.00875372	0.00476122	0.0061283	0.00876551	0.0122759	0.0335442	0.153509	0.751792
a21	0.00458666	0.00226269	0.00151781	0.0031016	0.00589829	0.0102284	0.0367346	0.205152	0.730518
a5	0.00273584	0.00145993	0.00105352	0.00152194	0.00300752	0.00525642	0.0246472	0.171933	0.788384
a36	0.00313827	0.00163308	0.00115835	0.00167186	0.00353136	0.00730962	0.0425008	0.212427	0.726629
a21	0.0283417	0.0144314	0.00950163	0.0125671	0.0220512	0.0341422	0.0796575	0.18428	0.615027
a12	0.00436736	0.00244126	0.0020223	0.0029475	0.00520257	0.00893989	0.047139	0.20811	0.71883
a18	0.00235853	0.00126002	0.00105602	0.00161123	0.00294961	0.00570552	0.0364735	0.189354	0.759231
a10	0.0314835	0.0163807	0.00933319	0.0168526	0.0287538	0.0391546	0.107386	0.217122	0.533533
a87	0.199383	0.0450938	0.0278824	0.0503391	0.0677245	0.100215	0.136654	0.124324	0.248385
a23	0.27423	0.07683	0.0651862	0.0842196	0.0981547	0.131083	0.113731	0.0709586	0.0856066
a87	0.150112	0.0143965	0.00804827	0.0207216	0.020858	0.0235131	0.0383838	0.0925401	0.631426
</S>	0.0341896	0.00478038	0.00323087	0.00733484	0.0108488	0.0151679	0.0340703	0.097972	0.792405
