 	voici	le	bâtiment	de	l'	école	</S>
a66	0.468637	0.201977	0.113386	0.0701751	0.0558491	0.0472608	0.0427158
a87	0.222006	0.148965	0.12631	0.130933	0.122308	0.12738	0.122097
a97	0.319349	0.200422	0.146826	0.0943263	0.0805557	0.079047	0.0794746
a79	0.204487	0.193153	0.219271	0.132589	0.0999529	0.0788452	0.0717007
a54	0.380865	0.282516	0.107434	0.0611249	0.0520845	0.0520079	0.0639679
a47	0.371908	0.268917	0.116384	0.0730181	0.0572473	0.0576257	0.0549001
a6	0.203349	0.218003	0.158943	0.130421	0.0982217	0.100216	0.0908459
a36	0.220599	0.246386	0.18827	0.123414	0.0812005	0.0764082	0.0637221
a21	0.165529	0.202448	0.207604	0.141055	0.0998896	0.097211	0.0862625
a5	0.166431	0.166625	0.224973	0.155481	0.110489	0.0944167	0.0815839
a18	0.128408	0.128255	0.193976	0.150321	0.128709	0.131138	0.139194
a90	0.0529401	0.0614373	0.104123	0.119184	0.148198	0.215363	0.298755
a25	0.063087	0.0683048	0.132088	0.151542	0.16484	0.193508	0.22663
a79	0.0157125	0.0253056	0.0577722	0.109669	0.165359	0.256195	0.369987
a37	0.0293744	0.0364669	0.064487	0.106887	0.168774	0.245096	0.348915
a44	0.0133462	0.0161229	0.0357492	0.0707683	0.139162	0.254038	0.470813
a58	0.00615396	0.00831449	0.0199344	0.0491489	0.120979	0.253466	0.542002
a82	0.00301187	0.00336317	0.00827289	0.0307099	0.0947452	0.248414	0.611483
a97	0.0381483	0.0260303	0.040516	0.0682849	0.123507	0.241408	0.462105
</S>	0.15121	0.0998768	0.120563	0.111575	0.12696	0.169588	0.220226
