 	j'	étais	la	seule	personne	à	attiser	ce	feu	</S>
a66	0.278512	0.182957	0.224052	0.204869	0.0586642	0.0199019	0.0133913	0.00808841	0.00487651	0.00468757
a87	0.344468	0.226702	0.215404	0.0977397	0.0397971	0.0271935	0.0162699	0.0125842	0.00987551	0.00996648
a23	0.340613	0.294732	0.211141	0.090479	0.027399	0.0117112	0.00633835	0.00523618	0.00560056	0.00674929
a87	0.364307	0.345199	0.184072	0.0592339	0.0120432	0.0046845	0.00196054	0.00384878	0.00792162	0.0167293
a23	0.383613	0.334591	0.169505	0.0589171	0.016759	0.0085268	0.00326582	0.00473467	0.00730154	0.0127868
a30	0.387893	0.246948	0.164261	0.0697635	0.0209037	0.0126409	0.00859811	0.0170287	0.0278976	0.0440658
a13	0.389801	0.180865	0.132252	0.0919623	0.0454237	0.0369201	0.0210476	0.0278629	0.0326766	0.0411898
a30	0.243614	0.10912	0.104041	0.127038	0.104334	0.0856098	0.0542821	0.0566755	0.0574019	0.0578834
a93	0.266014	0.107975	0.115969	0.11238	0.0910363	0.0808927	0.0526965	0.0571723	0.0581544	0.0577097
a34	0.111954	0.0942796	0.108274	0.132733	0.161618	0.114641	0.0730027	0.0699854	0.0704128	0.0631001
a61	0.0598873	0.058382	0.0636239	0.0806554	0.174317	0.19506	0.122981	0.0898651	0.0828628	0.0723655
a21	0.0478551	0.0488116	0.0572005	0.0670514	0.18988	0.209168	0.128508	0.0894966	0.0841974	0.0778311
a5	0.0365583	0.0363483	0.0442401	0.0470302	0.230551	0.229701	0.119698	0.0832649	0.0853736	0.0872344
a12	0.0219443	0.0204292	0.0230946	0.0244439	0.145306	0.182239	0.134547	0.121186	0.151942	0.174868
a21	0.0213533	0.0173383	0.0155517	0.0170326	0.114068	0.175431	0.133439	0.129899	0.164882	0.211004
a5	0.0178323	0.0137738	0.013117	0.014273	0.0856276	0.157707	0.175411	0.15987	0.170751	0.191637
a47	0.0122649	0.00919991	0.00744755	0.00909254	0.0430152	0.0888317	0.152627	0.185908	0.226803	0.26481
a96	0.00948078	0.00796098	0.00641775	0.00663133	0.0269084	0.0749694	0.170658	0.212384	0.22461	0.259979
a93	0.0110021	0.00909925	0.00712328	0.00776965	0.0167887	0.0325113	0.0915729	0.193712	0.289052	0.341369
a4	0.00620498	0.00471988	0.00379638	0.00456642	0.00897584	0.0182892	0.0599296	0.160076	0.311786	0.421655
a13	0.00197683	0.00149685	0.00116456	0.00130261	0.00253051	0.00589066	0.0245774	0.0992328	0.304483	0.557345
a70	0.00120718	0.000915862	0.000646036	0.000604448	0.0014123	0.00375815	0.0137735	0.0558218	0.266413	0.655448
a13	0.000829504	0.000694989	0.000509931	0.000453293	0.00153637	0.00492893	0.0208727	0.0678565	0.269969	0.632349
a3	0.00468863	0.0035857	0.00305232	0.00297878	0.0098844	0.0346109	0.0767238	0.124349	0.246259	0.493867
a87	0.162464	0.0888187	0.0920606	0.0680091	0.0719032	0.0651435	0.0710312	0.0801538	0.114169	0.186247
a23	0.244851	0.185697	0.177321	0.0842186	0.0736858	0.0581743	0.0507317	0.0406205	0.0399134	0.0447867
a87	0.0882523	0.0585382	0.0391794	0.0226247	0.0233987	0.0239891	0.0415014	0.0881292	0.225133	0.389254
</S>	0.0176164	0.0124684	0.00628648	0.00344944	0.00550543	0.0106425	0.0342886	0.081064	0.279932	0.548746
