 	l'	eau	en	question	est	salée	</S>
a87	0.3808	0.195402	0.135604	0.125251	0.0904173	0.0469243	0.0256012
a23	0.377969	0.1778	0.113104	0.099183	0.117102	0.0696035	0.0452378
a87	0.264292	0.179315	0.127418	0.130477	0.149302	0.0830302	0.0661669
a23	0.289511	0.195049	0.133766	0.122195	0.12352	0.0697911	0.0661675
a83	0.348936	0.20936	0.152558	0.123581	0.0978834	0.035742	0.0319394
a54	0.424471	0.250452	0.146075	0.0709606	0.0503849	0.0309061	0.0267503
a47	0.295903	0.232884	0.165539	0.104502	0.0885913	0.0618956	0.0506849
a37	0.301625	0.206062	0.148494	0.105393	0.0888019	0.0824833	0.0671412
a47	0.279774	0.219019	0.17858	0.130003	0.0846857	0.0598393	0.0480989
a37	0.212205	0.194444	0.204881	0.142845	0.0900951	0.0862162	0.0693137
a5	0.242174	0.205331	0.210563	0.144359	0.0814535	0.0637845	0.052336
a85	0.19982	0.19087	0.20648	0.15664	0.0990388	0.0842739	0.0628786
a37	0.149692	0.123336	0.131113	0.129609	0.117251	0.152322	0.196677
a90	0.126638	0.118322	0.143483	0.167492	0.152329	0.150592	0.141145
a69	0.0785435	0.0786988	0.0973794	0.13327	0.157348	0.207266	0.247494
a58	0.0256373	0.0301601	0.0443849	0.0753174	0.140705	0.250145	0.43365
a54	0.0089284	0.00899496	0.0113981	0.0236157	0.0691322	0.223352	0.654579
a36	0.0165868	0.0185458	0.0251659	0.0412879	0.098439	0.239983	0.559991
a7	0.00890388	0.00978123	0.0107973	0.0211135	0.0547677	0.209842	0.684794
a84	0.00830357	0.00821015	0.00717048	0.0127175	0.0370975	0.184004	0.742497
a57	0.0641632	0.0482657	0.0382741	0.0467582	0.0898039	0.201176	0.511559
a87	0.198295	0.14446	0.117002	0.101274	0.142321	0.145472	0.151176
a23	0.119776	0.111395	0.110342	0.143262	0.214072	0.177662	0.12349
a87	0.0915308	0.0795988	0.0857272	0.0987149	0.216933	0.214641	0.212854
</S>	0.0415983	0.0397615	0.0459295	0.070091	0.175228	0.229578	0.397815
