 	dans	ma	parcelle	il	y	a	des	palmiers	à	huile	</S>
a66	0.169068	0.143542	0.12516	0.165553	0.179377	0.10313	0.0557016	0.0264074	0.0167829	0.0086129	0.00666593
a87	0.187815	0.112966	0.0905009	0.13915	0.184129	0.133594	0.0839623	0.0507825	0.010753	0.00359121	0.00275481
a23	0.273555	0.188542	0.14169	0.124613	0.115688	0.0816981	0.0391858	0.0168911	0.00840939	0.00495856	0.00476968
a87	0.265729	0.192239	0.124516	0.0887891	0.0886576	0.0888344	0.0590948	0.0386486	0.0203798	0.0152875	0.0178252
a83	0.296359	0.204018	0.122549	0.0722632	0.0659065	0.0773343	0.0594163	0.0446877	0.024113	0.0163028	0.0170507
a62	0.195583	0.136215	0.0956092	0.122619	0.163819	0.147829	0.0761976	0.0348873	0.0105351	0.00873974	0.00796629
a96	0.11826	0.127313	0.120418	0.129147	0.163772	0.169232	0.0967877	0.0520653	0.0116797	0.00618348	0.00514131
a43	0.0933553	0.100088	0.111252	0.124048	0.158624	0.191109	0.126717	0.0731629	0.0112653	0.00553269	0.00484464
a93	0.0623286	0.0759657	0.0960195	0.102764	0.125573	0.188056	0.160582	0.135138	0.0272542	0.0136073	0.0127127
a75	0.0630482	0.0706294	0.08627	0.097487	0.115932	0.176712	0.178525	0.158002	0.0291514	0.0125291	0.0117133
a61	0.031408	0.0371516	0.0517207	0.0743082	0.0918597	0.153343	0.208572	0.224925	0.067566	0.0327917	0.0263548
a21	0.0439903	0.0482833	0.0633843	0.0779465	0.085164	0.146587	0.172321	0.195794	0.0775758	0.0439036	0.0450494
a12	0.0343102	0.0336106	0.0423815	0.052862	0.0507868	0.0811898	0.111026	0.175943	0.18196	0.124478	0.111453
a21	0.027305	0.0272004	0.035657	0.0414797	0.0394323	0.0656488	0.0819691	0.118446	0.201133	0.176303	0.185425
a85	0.0265214	0.023452	0.0275203	0.0308619	0.0265077	0.0380106	0.0489448	0.0806377	0.228697	0.229823	0.239024
a6	0.00605974	0.00631255	0.00694373	0.00769006	0.00671042	0.0114353	0.0226322	0.0642131	0.239729	0.286763	0.34151
a56	0.00553385	0.00469134	0.00451026	0.00439275	0.00334532	0.00550021	0.0105274	0.0354606	0.204291	0.338414	0.383334
a21	0.00795345	0.00621952	0.00536368	0.00446543	0.00268178	0.00284406	0.00350154	0.0101545	0.107806	0.343216	0.505795
a85	0.00434264	0.0033442	0.00286396	0.00241076	0.00149852	0.00169141	0.00263567	0.00875609	0.0886188	0.337115	0.546723
a6	0.000875948	0.000603278	0.000458246	0.000441134	0.000304156	0.000480984	0.00112872	0.00393324	0.048304	0.310745	0.632725
a36	0.000730571	0.000481758	0.000413755	0.000452882	0.000311627	0.000492843	0.00114615	0.00408372	0.0453288	0.292221	0.654337
a27	0.00786945	0.0057954	0.00449765	0.0040659	0.00239665	0.00290999	0.00452217	0.0156222	0.086938	0.259499	0.605883
a84	0.0992704	0.0591921	0.0479002	0.0591636	0.0459254	0.0608018	0.0479453	0.045324	0.0831333	0.165658	0.285686
a87	0.157769	0.0677414	0.056428	0.0879928	0.0781178	0.112979	0.0862008	0.0692396	0.0619666	0.0921624	0.129402
a23	0.175234	0.0975474	0.0808222	0.11377	0.0979016	0.11454	0.0853279	0.0697604	0.0431096	0.0556964	0.0662904
a87	0.0776178	0.0549987	0.048565	0.0505848	0.0387507	0.0364155	0.0319909	0.0410713	0.107686	0.234907	0.277412
</S>	0.00995999	0.0059978	0.00539555	0.00628604	0.00566455	0.00652133	0.00769642	0.0130697	0.0898831	0.326335	0.52319
