 	cette	femme	a	perdu	son	enfant	</S>
a23	0.437781	0.202131	0.117215	0.0861882	0.0665243	0.050185	0.0399758
a53	0.482383	0.214806	0.132628	0.0828839	0.035986	0.0260724	0.0252411
a93	0.497285	0.2093	0.102862	0.0622608	0.043786	0.0404398	0.0440674
a31	0.48099	0.264082	0.121816	0.0549531	0.0301444	0.0247093	0.0233054
a56	0.493107	0.294138	0.132343	0.0480474	0.0157959	0.0091489	0.00741979
a90	0.427052	0.295587	0.153828	0.0662007	0.0262596	0.016763	0.0143092
a76	0.241567	0.236186	0.179651	0.119584	0.0831738	0.0713154	0.0685238
a44	0.219923	0.201803	0.165369	0.129586	0.107484	0.0918433	0.083993
a4	0.140549	0.17515	0.184661	0.16521	0.121544	0.105774	0.107112
a90	0.106625	0.14824	0.183377	0.183091	0.138238	0.120451	0.119979
a93	0.072599	0.10194	0.139512	0.178056	0.176421	0.166278	0.165195
a11	0.0488528	0.0770098	0.129172	0.201907	0.203917	0.174294	0.164847
a0	0.0250864	0.0358382	0.0622404	0.123625	0.181106	0.233881	0.338224
a11	0.0122556	0.0152383	0.0245165	0.0587178	0.156591	0.287102	0.44558
a61	0.00842074	0.01114	0.0165515	0.0382067	0.131162	0.302925	0.491594
a54	0.00455915	0.0065206	0.0108306	0.0266296	0.107358	0.316486	0.527616
a73	0.00420925	0.00643088	0.0101033	0.0222996	0.0912244	0.298856	0.566877
a37	0.0020204	0.00248937	0.00351748	0.00809606	0.0374558	0.222752	0.723668
a26	0.00391543	0.00400311	0.00506926	0.0109035	0.0506957	0.219362	0.706051
a57	0.0627793	0.0481823	0.0513577	0.0792318	0.143351	0.232271	0.382827
a87	0.0990598	0.0771801	0.0710767	0.100415	0.177238	0.237537	0.237493
a23	0.0762168	0.0662718	0.0654478	0.110288	0.209152	0.250403	0.222221
a87	0.0252621	0.0279976	0.0419577	0.092704	0.233156	0.30788	0.271043
a23	0.0154836	0.0192061	0.0325973	0.0705434	0.166988	0.300016	0.395166
a87	0.0191371	0.0231432	0.0370131	0.0773663	0.192976	0.309156	0.341209
a23	0.0285509	0.034142	0.051958	0.0904052	0.178984	0.289235	0.326726
a87	0.0439736	0.0443627	0.0597667	0.103144	0.198715	0.27516	0.274878
</S>	0.0480612	0.051347	0.0694479	0.109799	0.183519	0.265936	0.271889
