 	les	travaux	de	construction	du	barrage	à	nasses	en	forêt	me	dépassent	</S>
a66	0.222763	0.198048	0.09798	0.0603536	0.0516703	0.0742011	0.0781126	0.0641336	0.0725521	0.0373618	0.0195109	0.012994	0.010319
a87	0.386567	0.181295	0.135602	0.0550684	0.0442996	0.0477672	0.0381721	0.0289595	0.0251277	0.0174208	0.0125056	0.0142556	0.0129591
a23	0.207581	0.130971	0.0985396	0.0733596	0.0604436	0.0481888	0.0454218	0.047128	0.0514079	0.0791716	0.0538277	0.0621922	0.0417671
a87	0.12698	0.0852372	0.0927356	0.0787592	0.0816417	0.0616742	0.062915	0.0675405	0.0961387	0.114129	0.0665214	0.0455736	0.0201544
a97	0.139617	0.0990156	0.100027	0.076562	0.0691965	0.053209	0.056205	0.0625282	0.0864926	0.115423	0.0712063	0.0489803	0.0215377
a10	0.148232	0.133134	0.123934	0.0824409	0.0636452	0.0522402	0.0523299	0.0557121	0.0705404	0.0948637	0.0582767	0.0426896	0.0219608
a97	0.14799	0.130454	0.133366	0.0881203	0.0638211	0.0537143	0.0490297	0.0500669	0.0620855	0.0892534	0.0554144	0.0502562	0.0264279
a83	0.138615	0.106551	0.12162	0.0838925	0.0616458	0.0534878	0.0502679	0.053687	0.0676801	0.100694	0.0665885	0.0633955	0.0318742
a88	0.304806	0.193061	0.123693	0.084808	0.0567112	0.0414869	0.0289556	0.0274916	0.0317894	0.0383515	0.0228686	0.0268028	0.0191746
a0	0.241676	0.298915	0.156565	0.106424	0.0723486	0.0349705	0.0201906	0.0141296	0.0136823	0.0130574	0.00868632	0.0100751	0.00927899
a75	0.220778	0.287452	0.148175	0.112495	0.0813095	0.040403	0.0241963	0.0159183	0.0153225	0.014715	0.0109892	0.0140201	0.0142255
a85	0.181068	0.310839	0.147205	0.125542	0.098916	0.045452	0.0255528	0.0160187	0.0153619	0.0127263	0.00861672	0.00713046	0.00556997
a6	0.141394	0.209553	0.117882	0.108166	0.124059	0.0837896	0.062368	0.0433522	0.037145	0.0257341	0.0168137	0.015264	0.0144787
a98	0.147921	0.220237	0.124922	0.110769	0.122359	0.0744233	0.0549549	0.034947	0.0343222	0.0253186	0.0152139	0.0162105	0.0184014
a85	0.0530505	0.0982037	0.0965685	0.0956462	0.131717	0.113108	0.101154	0.0794119	0.0749412	0.0522875	0.0350832	0.0361534	0.0326755
a37	0.039555	0.0794411	0.0929925	0.0872697	0.112101	0.10643	0.105049	0.0853173	0.0848782	0.0565645	0.0412238	0.0493132	0.0598639
a62	0.0362159	0.0731727	0.114318	0.108695	0.132298	0.117202	0.101724	0.0729501	0.0750236	0.0501422	0.0343807	0.0396219	0.0442546
a96	0.0120129	0.0254965	0.0637495	0.0768972	0.131936	0.152433	0.146286	0.10431	0.0962832	0.0524603	0.0372904	0.0425986	0.0582459
a88	0.00720142	0.0163936	0.0390696	0.0517731	0.101755	0.156121	0.175122	0.125707	0.112088	0.0600003	0.0387185	0.0478453	0.0682045
a0	0.00653423	0.0129257	0.0297291	0.0418475	0.0837542	0.133436	0.154154	0.127877	0.12356	0.0749016	0.0507913	0.0642465	0.0962428
a93	0.00869336	0.0113769	0.0241567	0.0318995	0.0671476	0.119346	0.148459	0.135274	0.133189	0.0771088	0.0581688	0.0676224	0.117558
a4	0.00664318	0.0100161	0.0200267	0.0241893	0.0423881	0.0918828	0.133605	0.135484	0.126916	0.0787585	0.0618965	0.0816365	0.186558
a94	0.00462072	0.00851006	0.0147552	0.0169099	0.0292523	0.0718964	0.120108	0.149708	0.13339	0.0946997	0.075858	0.0896118	0.19068
a75	0.00294268	0.00565236	0.0101816	0.0120422	0.0210907	0.054233	0.0998575	0.139512	0.124188	0.0943132	0.0791616	0.0990961	0.257729
a98	0.00118235	0.0024543	0.00438161	0.00500433	0.0110325	0.0348421	0.0740208	0.110444	0.091005	0.0825436	0.0770012	0.129342	0.376746
a6	0.000449255	0.00125671	0.00309796	0.00413221	0.00941902	0.0274688	0.0584555	0.0924988	0.0909761	0.0993253	0.0895548	0.168782	0.354583
a7	0.000961264	0.00217705	0.0042806	0.00502762	0.00974026	0.0246743	0.0474753	0.0743067	0.0669857	0.075374	0.0722812	0.176114	0.440602
a44	0.00112612	0.0018608	0.00350225	0.00396205	0.00734456	0.0155111	0.0278861	0.04617	0.038902	0.0493661	0.0620272	0.189113	0.553229
a69	0.00165968	0.00258793	0.00363149	0.00360696	0.00620989	0.0129171	0.0213069	0.0401971	0.0289959	0.040416	0.0733466	0.220135	0.544989
a58	0.000507416	0.000932042	0.0014568	0.00151101	0.00312857	0.00875086	0.0175659	0.0385706	0.0286514	0.0384556	0.0669706	0.165593	0.627906
a53	0.000281235	0.000552722	0.000814458	0.000761744	0.00151217	0.0039189	0.00735848	0.0167929	0.0107908	0.0161381	0.0403366	0.144242	0.7565
a4	0.000171827	0.000371831	0.000611638	0.000593109	0.0013508	0.00367974	0.00710227	0.0156184	0.0103457	0.0155459	0.0381805	0.125368	0.78106
a57	0.000146986	0.000449402	0.000815819	0.000811274	0.00182799	0.00493762	0.00913775	0.0182618	0.0112235	0.0152417	0.0404937	0.112232	0.784421
a13	0.000268886	0.000667044	0.00103417	0.000976674	0.00175571	0.00445083	0.00805655	0.0175221	0.0121371	0.0209309	0.0605889	0.166335	0.705276
a9	0.00204312	0.00413821	0.00626751	0.00608722	0.00784133	0.0134959	0.019941	0.0350199	0.0314188	0.0557528	0.120336	0.2208	0.476858
a3	0.0109936	0.0162208	0.0238759	0.0242193	0.0246951	0.0290565	0.0345804	0.0435417	0.042525	0.0668234	0.111819	0.184635	0.387014
a97	0.0531519	0.0280824	0.0406711	0.0352985	0.0319685	0.0363694	0.0426143	0.0519779	0.0594156	0.0908854	0.126578	0.158554	0.244433
a99	0.0427663	0.0208788	0.0326579	0.0272925	0.0284826	0.0371581	0.0501016	0.0705028	0.0838213	0.123947	0.15125	0.147576	0.183565
a97	0.0271589	0.0120581	0.0150999	0.0136975	0.0153939	0.0236068	0.0415193	0.0677747	0.0765949	0.109313	0.131735	0.194919	0.271129
a87	0.0183011	0.0102413	0.014622	0.0143223	0.0159651	0.0249684	0.0430723	0.0607447	0.0769458	0.105236	0.108706	0.195243	0.311632
a97	0.0284926	0.0182822	0.0228228	0.0227001	0.0243905	0.0343162	0.0518034	0.0656178	0.0888329	0.121098	0.111983	0.166208	0.243453
</S>	0.0239726	0.013984	0.019975	0.0218679	0.0266235	0.039698	0.0544939	0.0668472	0.0754043	0.0954799	0.0958406	0.179462	0.286351
