 	les	femmes	sont	en	train	de	couper	les	arbres	de	la	savane	comme	bois	de	chauffe	</S>
a66	0.0620915	0.0778487	0.0781614	0.0831665	0.100254	0.108163	0.122433	0.105223	0.0865949	0.0658621	0.0573426	0.0279951	0.00925093	0.00496874	0.00386269	0.00361295	0.00316838
a87	0.17066	0.110878	0.085148	0.0710391	0.0765209	0.082537	0.0719858	0.0747657	0.0555034	0.0405334	0.0305347	0.0157482	0.0143125	0.0162572	0.0233398	0.0299634	0.0302722
a23	0.204016	0.0874446	0.0646034	0.0659642	0.073957	0.0823074	0.0608696	0.0361255	0.0311023	0.0301799	0.0319661	0.0230612	0.0249857	0.029072	0.0482396	0.0538128	0.0522922
a40	0.111055	0.0449964	0.0450708	0.0555901	0.0581016	0.0836021	0.0684464	0.0279099	0.0215284	0.0224571	0.0264904	0.0241604	0.0381246	0.0446758	0.0803817	0.11875	0.128659
a92	0.142248	0.106055	0.0861587	0.072141	0.0673414	0.0630968	0.0658877	0.0735322	0.052386	0.043051	0.0508331	0.0423116	0.0314939	0.0298169	0.0284013	0.0235948	0.02165
a61	0.121057	0.113265	0.115211	0.0838151	0.0829872	0.0763482	0.0747801	0.0686862	0.0488262	0.0330052	0.0280065	0.0217611	0.0203451	0.0285378	0.0313043	0.0300644	0.0219997
a34	0.131108	0.11189	0.118613	0.105218	0.0950568	0.106853	0.107617	0.0544782	0.0288771	0.0183034	0.0162998	0.0159332	0.0154851	0.019338	0.0204406	0.0209444	0.0135439
a70	0.0931445	0.0913841	0.103247	0.105799	0.104813	0.124682	0.124167	0.0584873	0.0326848	0.0207316	0.0169889	0.0163711	0.0164824	0.0192745	0.0224391	0.028017	0.0212866
a93	0.0859915	0.0964382	0.104672	0.107264	0.108383	0.121414	0.118503	0.0629437	0.0358687	0.0212996	0.0165167	0.0156977	0.0142587	0.016627	0.0208069	0.0282432	0.0250725
a53	0.105041	0.11209	0.115328	0.107567	0.103715	0.103825	0.099338	0.0563201	0.0331303	0.0194251	0.0156052	0.0147583	0.0128159	0.0173121	0.0225581	0.0311118	0.0300581
a20	0.0619671	0.0818803	0.0912175	0.0964544	0.101006	0.113386	0.11406	0.0731274	0.048919	0.0295642	0.022567	0.019519	0.0166065	0.0197419	0.0261899	0.0409031	0.0428906
a98	0.021472	0.0436721	0.0475769	0.0618557	0.069855	0.0884497	0.0965589	0.0781007	0.0631264	0.0505631	0.0421529	0.0400874	0.0323409	0.0343989	0.0512447	0.0864043	0.0921403
a6	0.0269052	0.053689	0.0513988	0.0630701	0.0706072	0.0878125	0.0967762	0.088813	0.0716443	0.0563265	0.0420056	0.0370913	0.0279949	0.0298578	0.0435005	0.0714207	0.0810866
a36	0.0220878	0.0441598	0.0429668	0.0541966	0.0643037	0.0810816	0.0945136	0.0910799	0.0825949	0.0705241	0.0570789	0.0469124	0.0334289	0.0342551	0.0458569	0.0611333	0.0738255
a21	0.013569	0.0274075	0.0300391	0.0488587	0.0615028	0.080139	0.102314	0.103018	0.0947968	0.0704312	0.050889	0.0401105	0.0316459	0.0343207	0.0479478	0.0706689	0.0923412
a47	0.0092279	0.017277	0.0208978	0.033273	0.0423018	0.056509	0.0848445	0.0985743	0.103209	0.0905398	0.0613961	0.0511661	0.0444733	0.0414328	0.057933	0.0808197	0.106125
a62	0.00799391	0.0153576	0.0203869	0.035554	0.0455132	0.0668926	0.100138	0.125948	0.134998	0.118674	0.0743376	0.0540811	0.0379276	0.028962	0.0345568	0.043413	0.0552663
a47	0.00652053	0.0130033	0.0177721	0.0292982	0.0376302	0.051958	0.0842689	0.112572	0.135475	0.13272	0.0871278	0.0620255	0.0484822	0.0355204	0.0399264	0.0474885	0.0582116
a75	0.00691057	0.0126418	0.0172435	0.0291912	0.0371063	0.0536466	0.0801222	0.105323	0.122405	0.123273	0.0787246	0.0607303	0.0492503	0.0382714	0.0475039	0.0617141	0.0759428
a92	0.00232811	0.00416509	0.00496099	0.00765528	0.00964907	0.0128603	0.0203848	0.0410291	0.0610552	0.0805421	0.0585886	0.0704327	0.0917368	0.0890004	0.117157	0.14167	0.186784
a56	0.00192236	0.00343576	0.0039473	0.00593	0.00752453	0.00993446	0.0156296	0.0331701	0.0503549	0.0717259	0.052117	0.0675196	0.0951684	0.100163	0.133413	0.154373	0.193671
a34	0.002355	0.00389007	0.00446219	0.00689937	0.00838517	0.011842	0.0184892	0.0322388	0.0471944	0.070728	0.0548023	0.0776789	0.104819	0.101747	0.119233	0.149558	0.185678
a96	0.00220547	0.00375016	0.00476431	0.00729636	0.00857179	0.0115803	0.0175922	0.0298489	0.0433371	0.0649269	0.0476438	0.0685657	0.110582	0.111618	0.125363	0.150348	0.192007
a66	0.00301731	0.00524088	0.00690531	0.00983347	0.0118999	0.0156675	0.0212993	0.0276192	0.0362858	0.0499117	0.0364029	0.0478544	0.094404	0.10852	0.137681	0.170131	0.217326
a61	0.00386483	0.00496594	0.00558025	0.00754098	0.00865066	0.0108609	0.0121078	0.0138794	0.0192077	0.0275705	0.0260566	0.0347417	0.0606179	0.0927475	0.157235	0.209387	0.304985
a21	0.00372298	0.00568876	0.00688914	0.00875032	0.00999818	0.0114307	0.0134062	0.0158054	0.0206497	0.0271191	0.022272	0.0300953	0.0698058	0.112598	0.167061	0.200278	0.274429
