 	la	mère	maudit	son	enfant	</S>
a66	0.34496	0.228257	0.254731	0.0897528	0.045762	0.0365365
a87	0.429766	0.256511	0.167262	0.0612981	0.0399214	0.0452415
a23	0.686112	0.245102	0.0340094	0.0104858	0.00993274	0.0143587
a13	0.679791	0.198782	0.0336246	0.0192329	0.0280787	0.0404901
a30	0.493928	0.216736	0.0558876	0.0487397	0.0751329	0.109576
a53	0.379747	0.253617	0.0836426	0.0679993	0.095924	0.11907
a15	0.36514	0.349127	0.138772	0.067734	0.0464731	0.0327538
a79	0.19491	0.264979	0.303848	0.122038	0.0680998	0.0461244
a0	0.212762	0.305674	0.256269	0.104721	0.0683108	0.0522632
a11	0.157895	0.242675	0.260317	0.116072	0.113037	0.110005
a56	0.167589	0.231121	0.232503	0.11123	0.118039	0.139518
a96	0.143615	0.215273	0.280653	0.117893	0.116396	0.12617
a54	0.0965656	0.147067	0.28548	0.140277	0.147477	0.183134
a92	0.0266006	0.0496647	0.144285	0.191324	0.267113	0.321012
a6	0.0368746	0.0669857	0.181863	0.184868	0.24364	0.285768
a36	0.0303367	0.0544637	0.162784	0.187632	0.262559	0.302224
a2	0.041266	0.0581261	0.165026	0.187155	0.239513	0.308914
a54	0.0252916	0.0267328	0.0531961	0.10786	0.260804	0.526115
a36	0.0108028	0.0123301	0.0320842	0.0974328	0.283888	0.563462
a37	0.00932594	0.00843927	0.0205819	0.0734376	0.263444	0.624772
a36	0.00521013	0.00529468	0.0159198	0.0801436	0.277614	0.615818
a26	0.00342371	0.00299422	0.00824975	0.0470674	0.228534	0.709731
a57	0.0151191	0.0141588	0.0360228	0.100686	0.255025	0.578988
a87	0.159157	0.0924168	0.0945735	0.112943	0.185022	0.355888
a23	0.387423	0.176749	0.118034	0.0856246	0.0993533	0.132815
a87	0.329032	0.12985	0.0722484	0.107517	0.171991	0.189362
</S>	0.0675819	0.0309511	0.0297092	0.0953635	0.310666	0.465728
