 	son	camarade	lui	a	donné	un	coup	de	poing	à	la	pomme	d'	adam	</S>
a66	0.191217	0.129146	0.133491	0.142055	0.113918	0.0990123	0.0590101	0.0361245	0.0262328	0.0200453	0.0140537	0.0096594	0.00853276	0.0086126	0.00888924
a10	0.246699	0.118504	0.112599	0.0977994	0.0713252	0.0584012	0.048231	0.0368242	0.0350655	0.0349621	0.0300376	0.0258897	0.0269943	0.0280615	0.0286069
a87	0.166417	0.210347	0.150953	0.0966308	0.0614129	0.0489595	0.0388557	0.0357932	0.0446172	0.0410271	0.0347962	0.0224529	0.0179089	0.0143576	0.0154705
a23	0.138491	0.16993	0.122771	0.0894825	0.0656081	0.0619858	0.0520458	0.0503444	0.0612948	0.0561675	0.0489431	0.0315044	0.0213772	0.0152756	0.0147789
a4	0.0742054	0.1738	0.0992214	0.0529452	0.0371713	0.0440907	0.0455772	0.0610994	0.0813699	0.0815061	0.0825953	0.0571198	0.0435437	0.0336165	0.0321385
a62	0.122393	0.163729	0.122636	0.061613	0.0489462	0.0470233	0.0421514	0.0416672	0.0549496	0.0613707	0.0521643	0.0432549	0.0453817	0.0461666	0.0465535
a21	0.19137	0.357656	0.177632	0.0726249	0.0461048	0.031055	0.0250453	0.0184141	0.0194179	0.0200803	0.0157198	0.00795535	0.00704742	0.00505583	0.00482165
a92	0.161962	0.299347	0.15628	0.0775778	0.0631547	0.0469106	0.0372863	0.0241548	0.0266255	0.0312828	0.0265244	0.0151712	0.015252	0.00946327	0.00900715
a5	0.121109	0.228813	0.132197	0.080891	0.0782746	0.0613222	0.0507659	0.0313764	0.0300969	0.040674	0.0398872	0.028351	0.031071	0.02194	0.0232318
a21	0.167886	0.250846	0.142502	0.0884023	0.0671294	0.043868	0.0333974	0.0228749	0.0223176	0.0271655	0.0287577	0.0252924	0.027537	0.0241107	0.0279122
a25	0.107593	0.163495	0.136896	0.117771	0.0917688	0.0764867	0.0595225	0.0415384	0.0340698	0.0335811	0.0312723	0.022983	0.0229953	0.0276113	0.0324156
a79	0.0568079	0.0924889	0.13085	0.125685	0.10979	0.0916457	0.0734854	0.0471844	0.0385035	0.0365846	0.0336212	0.0269273	0.0293988	0.041975	0.0650515
a20	0.0349262	0.0630922	0.140408	0.155126	0.13329	0.106847	0.084264	0.0498541	0.0353777	0.0328767	0.0321985	0.0273179	0.0245452	0.0336995	0.0461766
a90	0.0185264	0.0328556	0.112276	0.13046	0.118197	0.108316	0.0880749	0.0638886	0.0485656	0.0448707	0.0421132	0.0402439	0.0390035	0.0473016	0.0653075
a25	0.0138785	0.0263286	0.0994159	0.128153	0.116656	0.112138	0.0888122	0.0643996	0.0475751	0.043886	0.0440704	0.0456668	0.043421	0.0534154	0.0721835
a79	0.00679129	0.010876	0.0562778	0.0959101	0.106552	0.132953	0.117361	0.0942472	0.069781	0.0502116	0.0414638	0.0360541	0.034158	0.0516928	0.0956703
a94	0.00813693	0.0104995	0.0493341	0.0856686	0.10485	0.131709	0.104176	0.089955	0.0708703	0.0544821	0.0443282	0.0438675	0.0426879	0.057467	0.101968
a96	0.00489067	0.00568667	0.0192733	0.0358612	0.0465425	0.0737099	0.0601139	0.0697798	0.055201	0.0433158	0.0415614	0.0637603	0.0765547	0.134129	0.26962
a70	0.00705058	0.0100679	0.0241229	0.0417043	0.0447511	0.0742326	0.0580397	0.0762052	0.0604455	0.0455045	0.0464589	0.0602017	0.0654311	0.123653	0.262131
a34	0.00650695	0.00890455	0.023664	0.0400622	0.0454274	0.0721327	0.0605566	0.0720071	0.0538494	0.0421928	0.0461967	0.0672373	0.0698943	0.122594	0.268774
a47	0.00702459	0.00895213	0.021415	0.0389441	0.0454719	0.0787803	0.0684672	0.0850476	0.0639559	0.0523114	0.0586412	0.0776492	0.0702366	0.10795	0.215153
a31	0.00728122	0.00733617	0.020423	0.0330746	0.0412524	0.0626519	0.0581891	0.0761053	0.0608247	0.0488253	0.0492302	0.074248	0.064171	0.115368	0.281019
a47	0.00940231	0.0123833	0.0191434	0.0289775	0.0326788	0.0604587	0.0605237	0.0997913	0.0871865	0.0670975	0.0671718	0.0799125	0.0694626	0.0998614	0.205949
a56	0.0115536	0.0159569	0.027992	0.0380253	0.0423352	0.0588308	0.0559437	0.0728162	0.0595716	0.0482551	0.0475094	0.0638721	0.0636482	0.111301	0.282389
a93	0.00395322	0.00683228	0.0140162	0.0217036	0.0235431	0.0363168	0.0359562	0.0521398	0.0437139	0.0348422	0.040184	0.068567	0.0846705	0.162273	0.371288
a94	0.00195185	0.00319129	0.0064626	0.0102015	0.0120502	0.0195162	0.0202284	0.0351305	0.0354015	0.0295387	0.0322186	0.063017	0.0959603	0.199024	0.436107
a93	0.0029836	0.00242242	0.00572626	0.00894492	0.0115259	0.0165482	0.0170477	0.0316664	0.0389208	0.0307764	0.0293317	0.0643031	0.0838937	0.190788	0.465121
a94	0.000563571	0.000803618	0.00226815	0.00433774	0.00562293	0.0104993	0.0130917	0.0261945	0.0282452	0.0256042	0.030874	0.0693096	0.110955	0.216377	0.455254
a26	0.0005537	0.000545292	0.00157923	0.00312099	0.00488677	0.00720991	0.00892291	0.0153051	0.0180748	0.0151649	0.0149474	0.0404931	0.0794893	0.203569	0.586138
a57	0.014114	0.00690544	0.0167291	0.0304519	0.0439416	0.0551506	0.0482763	0.0689741	0.0852662	0.0516763	0.0371127	0.0603254	0.086831	0.136695	0.25755
a87	0.035004	0.0194512	0.0297762	0.0436881	0.0551096	0.0622733	0.0552763	0.0753763	0.0952336	0.085613	0.0776815	0.0902095	0.0913668	0.0823378	0.101603
a23	0.0292429	0.013428	0.017526	0.0266661	0.0382757	0.0454743	0.0480033	0.0867718	0.128567	0.146871	0.144146	0.112005	0.0847018	0.0419459	0.0363755
a99	0.00708196	0.00448623	0.00797263	0.0152539	0.0227346	0.029923	0.0417842	0.0705212	0.0948146	0.131886	0.142006	0.137473	0.122719	0.0795747	0.0917696
a87	0.00668236	0.00373995	0.0087409	0.0182644	0.0307814	0.0319751	0.0480868	0.0599531	0.0784809	0.105349	0.118317	0.115009	0.116892	0.10758	0.150148
</S>	0.0061114	0.0044031	0.00900376	0.0164577	0.0246804	0.0260351	0.0390282	0.045441	0.0577787	0.0708097	0.0808868	0.0874412	0.123348	0.151207	0.257368
