 	je	vais	chercher	du	bois	pour	faire	du	feu	</S>
a85	0.241527	0.1496	0.085548	0.0909709	0.0851467	0.0874122	0.0801103	0.0633961	0.0584679	0.0578207
a87	0.330662	0.159827	0.0938641	0.0929527	0.0828433	0.0667056	0.0520825	0.0423859	0.0395286	0.039149
a23	0.224899	0.153831	0.120086	0.112982	0.105035	0.0806301	0.0642782	0.049921	0.0444716	0.0438656
a87	0.367893	0.213238	0.10757	0.0859015	0.0582824	0.0395119	0.0315693	0.0293562	0.0307569	0.0359213
a23	0.309696	0.212838	0.11864	0.0958013	0.0695888	0.0445183	0.0338022	0.0310421	0.0351291	0.0489439
a57	0.364459	0.262499	0.117161	0.0823131	0.0485432	0.0288696	0.0211568	0.0205122	0.0237181	0.0307683
a20	0.286039	0.278279	0.149726	0.106651	0.0621117	0.033951	0.0223652	0.0184365	0.0191697	0.0232699
a73	0.202167	0.259438	0.199222	0.147468	0.0801328	0.0435119	0.0248963	0.0161181	0.0138362	0.0132086
a56	0.203945	0.239555	0.214255	0.168295	0.0900514	0.0410566	0.0184729	0.00962182	0.00763867	0.00710845
a66	0.155718	0.192849	0.204667	0.181521	0.126677	0.0679385	0.0320727	0.0152805	0.011915	0.0113615
a11	0.154319	0.181119	0.192519	0.171943	0.129087	0.0750199	0.0393859	0.0210873	0.0177099	0.0178106
a90	0.127344	0.139433	0.164713	0.161258	0.154207	0.108101	0.0601774	0.0316443	0.0266383	0.0264837
a41	0.134953	0.148046	0.180769	0.170242	0.13986	0.090276	0.0537353	0.0311957	0.0255366	0.0253864
a94	0.142935	0.145667	0.160186	0.153577	0.130279	0.0968442	0.0632643	0.0401073	0.0336178	0.033522
a54	0.0752781	0.0790984	0.115183	0.135328	0.164728	0.152017	0.103887	0.0624487	0.0548608	0.0571719
a73	0.0622661	0.0670229	0.0976672	0.125524	0.158008	0.139975	0.105098	0.0810531	0.078447	0.0849382
a37	0.0410032	0.0430776	0.069297	0.0975458	0.15101	0.164063	0.131553	0.100424	0.0967855	0.105241
a27	0.0274034	0.0286535	0.0445128	0.0634614	0.11811	0.160453	0.152274	0.128405	0.12864	0.148086
a53	0.0132112	0.0133382	0.0199736	0.0313742	0.0752755	0.140142	0.164671	0.160307	0.176272	0.205435
a69	0.0193764	0.0191727	0.02881	0.0403959	0.0760775	0.138283	0.173469	0.161089	0.158371	0.184955
a4	0.0168235	0.0150051	0.0201584	0.0272302	0.0455201	0.0879006	0.142347	0.190378	0.214049	0.240588
a70	0.00843935	0.00621079	0.00754052	0.0109582	0.0211765	0.0472603	0.0966319	0.184679	0.272292	0.344811
a98	0.0126245	0.008172	0.00809671	0.0101598	0.0161621	0.0332909	0.0735737	0.166949	0.279586	0.391385
a71	0.0101403	0.00547761	0.00493817	0.00589424	0.011524	0.0255532	0.05987	0.165332	0.300295	0.410975
a9	0.0086557	0.00465104	0.00485905	0.00596966	0.0108413	0.0221276	0.0499054	0.139266	0.281322	0.472403
a38	0.00940449	0.00379528	0.00306407	0.00375497	0.00804677	0.0185194	0.0444668	0.135988	0.279931	0.49303
a93	0.0102324	0.00407928	0.00284089	0.00297153	0.00608903	0.0145105	0.0380267	0.130662	0.285213	0.505375
a4	0.00750246	0.00338164	0.00258712	0.00324269	0.00551596	0.0116171	0.0287112	0.10926	0.287365	0.540816
a70	0.0116394	0.00462785	0.00370485	0.00450995	0.00822444	0.0173104	0.0384935	0.119936	0.275707	0.515846
a13	0.0176616	0.00689025	0.0046809	0.00463969	0.00857213	0.0179429	0.0411485	0.126387	0.276364	0.495713
a15	0.0185304	0.0086994	0.00641196	0.0057135	0.00953445	0.0187862	0.04361	0.126012	0.264225	0.498477
a94	0.012556	0.00606322	0.00443883	0.00409002	0.00736528	0.0157372	0.0397534	0.12152	0.268823	0.519653
a15	0.0139768	0.00703888	0.00597457	0.00567935	0.00915554	0.0174743	0.0425746	0.126247	0.260991	0.510888
a73	0.0075452	0.00441328	0.00340526	0.00342445	0.00627541	0.0134231	0.0375049	0.12589	0.282365	0.515753
a94	0.00859494	0.00425706	0.00293309	0.0031853	0.00561357	0.0127031	0.0359572	0.120077	0.27823	0.528449
a41	0.00741624	0.00347102	0.00277034	0.00293751	0.00508068	0.0113998	0.0324713	0.114451	0.274087	0.545915
a73	0.00890051	0.00476441	0.00297881	0.0033413	0.00614146	0.0141935	0.0404301	0.138019	0.304466	0.476765
a84	0.0122231	0.00650867	0.00457102	0.00520833	0.00857248	0.0175037	0.0436033	0.129521	0.284841	0.487447
a57	0.026799	0.0145712	0.0133451	0.0146989	0.0220802	0.0333016	0.0586486	0.122504	0.227171	0.46688
a87	0.0263097	0.0210687	0.0226933	0.0187233	0.0236804	0.0310481	0.0524294	0.128642	0.261384	0.414021
</S>	0.0396697	0.0304438	0.0286811	0.0221652	0.0251154	0.0307864	0.0540832	0.147314	0.269257	0.352485
