 	cette	fille	est	plus	charmante	que	les	autres	</S>
a66	0.343933	0.170946	0.160654	0.165152	0.0696082	0.0336421	0.0218836	0.0184476	0.0157337
a87	0.166504	0.100535	0.125288	0.153547	0.147296	0.0883165	0.0726343	0.0791118	0.0667682
a23	0.256894	0.116729	0.0989212	0.105693	0.122682	0.0675742	0.071286	0.0803107	0.0799089
a97	0.252971	0.131693	0.116951	0.114045	0.118321	0.0663333	0.0639776	0.0649639	0.0707442
a3	0.276764	0.117695	0.0897578	0.0943797	0.101153	0.0748913	0.0808281	0.0817708	0.0827606
a97	0.273275	0.113246	0.0894541	0.0928355	0.088813	0.0773167	0.0825129	0.0877159	0.0948306
a99	0.23769	0.104983	0.0769652	0.0835769	0.0788949	0.0777767	0.104839	0.117282	0.117992
a53	0.288869	0.119116	0.0751319	0.0799939	0.0682839	0.073099	0.0971269	0.101761	0.0966191
a79	0.41182	0.21336	0.0987676	0.0571585	0.0373827	0.0397819	0.0425746	0.0454827	0.0536716
a37	0.352927	0.213325	0.124737	0.0745036	0.0454022	0.0390743	0.0386048	0.0467693	0.0646571
a56	0.2653	0.220702	0.173346	0.113612	0.0677102	0.0429501	0.0357934	0.0360113	0.0445751
a34	0.254667	0.23053	0.178369	0.112797	0.0623122	0.0410556	0.0343456	0.0371369	0.0487865
a93	0.197101	0.210898	0.20304	0.144251	0.0851631	0.0464418	0.036649	0.0353692	0.0410881
a90	0.166617	0.210006	0.208804	0.151043	0.0932471	0.0492439	0.0385233	0.0378608	0.0446546
a25	0.132666	0.193153	0.215569	0.175589	0.0971528	0.0525878	0.0413461	0.042585	0.0493516
a79	0.0929309	0.156533	0.184604	0.176215	0.116798	0.075064	0.0593861	0.0635002	0.0749685
a69	0.0878746	0.116005	0.15534	0.173943	0.114142	0.0832157	0.0729874	0.0856144	0.110878
a7	0.0613585	0.101337	0.152579	0.185138	0.121518	0.0946728	0.0787572	0.0890905	0.115549
a21	0.0372061	0.0677975	0.107324	0.130094	0.101272	0.0820126	0.0897189	0.139886	0.244689
a47	0.0341942	0.0665417	0.120541	0.142056	0.169019	0.116207	0.0903104	0.105705	0.155425
a96	0.0260193	0.063244	0.129082	0.162154	0.161272	0.118645	0.0929862	0.102002	0.144595
a21	0.0144233	0.0376686	0.101218	0.150365	0.178048	0.140496	0.114262	0.113219	0.1503
a85	0.0146558	0.0264356	0.0658419	0.105951	0.163486	0.149118	0.13618	0.143112	0.195219
a6	0.00880561	0.0157268	0.0365794	0.0677898	0.0967653	0.103882	0.12991	0.210667	0.329874
a36	0.00401882	0.00820616	0.0219319	0.0442459	0.0614995	0.103059	0.153611	0.214754	0.388674
a5	0.00531808	0.00716725	0.0138636	0.0242735	0.0245184	0.0494775	0.108216	0.243424	0.523742
a37	0.00251975	0.00492464	0.0112693	0.0217582	0.0257165	0.0627018	0.133462	0.273316	0.464331
a85	0.00205602	0.00376323	0.00714366	0.0132985	0.0160442	0.0479417	0.135052	0.290349	0.484352
a5	0.00104947	0.00205139	0.00433926	0.0076058	0.0151772	0.0438076	0.127306	0.30862	0.490043
a37	0.001848	0.0032661	0.0064236	0.0122852	0.0251014	0.0585317	0.141208	0.29404	0.457297
a18	0.00139479	0.00253628	0.00453433	0.00897575	0.0173116	0.0579915	0.149732	0.291274	0.466249
a88	0.015667	0.0152307	0.0179738	0.0272055	0.0474594	0.0941282	0.140781	0.221717	0.419838
a9	0.0198451	0.017131	0.0194992	0.0280318	0.055664	0.0935875	0.14697	0.212393	0.406878
a0	0.0661761	0.0306533	0.0253422	0.0333899	0.0627602	0.094515	0.151848	0.204317	0.330998
a27	0.0342737	0.0158707	0.0167142	0.028676	0.0629346	0.103428	0.187901	0.244389	0.305813
a30	0.0439609	0.0209815	0.0227413	0.0396453	0.0708536	0.109863	0.179267	0.223807	0.28888
a3	0.0278677	0.0125797	0.0147933	0.0253478	0.0652117	0.0975073	0.168468	0.244035	0.34419
a97	0.0262395	0.0189698	0.0280656	0.0404354	0.0705091	0.0930067	0.153037	0.23118	0.338557
a3	0.0246563	0.0206216	0.0297911	0.0416301	0.068651	0.0901899	0.148881	0.230218	0.345361
</S>	0.0397055	0.0314415	0.0364637	0.0465957	0.0703304	0.0883113	0.139176	0.216482	0.331494
