 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
a87	0.273777	0.155714	0.101693	0.0983978	0.0843474	0.0797896	0.0596809	0.0353235	0.0351763	0.0319842	0.0441158
a23	0.315648	0.149573	0.0908195	0.0712927	0.0582325	0.0592924	0.045492	0.0329903	0.0328454	0.0369409	0.106874
a40	0.190637	0.145899	0.13387	0.125711	0.0817078	0.0745369	0.0532391	0.032675	0.0316629	0.0361822	0.0938789
a73	0.454656	0.232983	0.113072	0.0555037	0.0273071	0.0221369	0.017695	0.0133198	0.0189449	0.017084	0.0272973
a44	0.37429	0.252721	0.157507	0.0815946	0.039424	0.0284592	0.0217667	0.0119741	0.0131163	0.010022	0.0091264
a84	0.263566	0.213374	0.16865	0.114584	0.0674322	0.0527814	0.0417898	0.0221081	0.0216708	0.0174334	0.0166095
a38	0.168936	0.170717	0.16301	0.147161	0.10283	0.0735823	0.0594868	0.03346	0.0329971	0.0253033	0.0225163
a24	0.10254	0.129149	0.147994	0.15418	0.123855	0.102322	0.0868099	0.0515655	0.0420725	0.0320283	0.0274842
a90	0.127749	0.166144	0.189073	0.163623	0.119741	0.0879925	0.0609722	0.0287057	0.0216945	0.01701	0.0172951
a13	0.0896144	0.134026	0.161991	0.155065	0.129131	0.110374	0.0879264	0.0505081	0.03551	0.0246834	0.021171
a38	0.0782308	0.112595	0.145804	0.153463	0.13074	0.112124	0.0954029	0.0565516	0.0443572	0.0342556	0.0364763
a98	0.067149	0.0947423	0.129582	0.144381	0.123484	0.112093	0.0959894	0.0656975	0.0610317	0.0452292	0.0606203
a35	0.0808907	0.109548	0.143673	0.150595	0.122469	0.105047	0.0842857	0.0567226	0.0560874	0.0397519	0.0509295
a98	0.0700507	0.0899272	0.119191	0.138629	0.117173	0.10501	0.0853749	0.0651745	0.0753949	0.0589211	0.0751534
a73	0.0666214	0.0812926	0.101023	0.119764	0.107381	0.0987848	0.0851334	0.0716227	0.09193	0.0802968	0.0961501
a44	0.0397449	0.0498083	0.0742259	0.121982	0.132028	0.125881	0.108068	0.0824906	0.100224	0.080179	0.0853685
a84	0.0400637	0.0432093	0.0595025	0.0964383	0.112712	0.129474	0.123665	0.0969127	0.115631	0.0895587	0.0928333
a40	0.0206928	0.0235544	0.0402915	0.0850855	0.122979	0.143073	0.141343	0.114345	0.121784	0.104244	0.0826069
a98	0.0248038	0.0234134	0.0283555	0.0364117	0.0425196	0.0643476	0.0806274	0.11009	0.154344	0.211514	0.223573
a73	0.0264507	0.0287656	0.0409551	0.0580601	0.0688666	0.0781302	0.0752477	0.0918841	0.14324	0.181365	0.207035
a84	0.0251525	0.0266586	0.0381015	0.0532536	0.0680877	0.0894648	0.0887662	0.0970532	0.136843	0.172159	0.204459
a57	0.0443319	0.0432006	0.0583348	0.0674625	0.0787802	0.0962306	0.0957484	0.0947958	0.10806	0.131342	0.181713
a87	0.0537894	0.0450485	0.052888	0.0671245	0.086603	0.10294	0.109317	0.0932016	0.114614	0.111866	0.162608
a23	0.0464419	0.0415417	0.0545699	0.0801974	0.0884777	0.0907797	0.0839194	0.0725982	0.121866	0.123087	0.196522
a53	0.0457173	0.0364163	0.0456394	0.0640689	0.071772	0.0755992	0.0641292	0.0501694	0.0973594	0.102161	0.346968
a69	0.0319524	0.0253856	0.0317622	0.0491248	0.0623342	0.0855104	0.0914935	0.0789698	0.118615	0.127735	0.297117
a58	0.0642503	0.0539808	0.0599054	0.0620191	0.0655115	0.0764388	0.0748734	0.0704232	0.123045	0.111871	0.237682
a82	0.0207253	0.0185434	0.0255095	0.0351414	0.0412169	0.0635737	0.0774105	0.089629	0.168954	0.159417	0.29988
a53	0.0220189	0.0179488	0.0209658	0.025088	0.0300708	0.0453835	0.0593531	0.0779463	0.141944	0.177466	0.381815
a76	0.0320397	0.0219979	0.0255033	0.0275551	0.0291431	0.0479678	0.0634226	0.0848968	0.129182	0.173388	0.364903
a90	0.0271951	0.0271133	0.0379494	0.0437936	0.047782	0.0643251	0.0671576	0.0827225	0.124492	0.166689	0.310781
a32	0.0158809	0.0150877	0.023261	0.0303625	0.0331822	0.0492036	0.0546055	0.07524	0.128731	0.180409	0.394037
a54	0.0115914	0.00944374	0.0137214	0.0192536	0.0218561	0.0368986	0.0454637	0.066594	0.121623	0.185985	0.467569
a73	0.0218953	0.0193862	0.0279016	0.0351353	0.0370742	0.0477515	0.0491782	0.0625632	0.106888	0.162105	0.430121
a58	0.0084833	0.00847833	0.0147797	0.0229951	0.0280171	0.0385578	0.0407311	0.0572082	0.1026	0.170633	0.507517
a90	0.00585797	0.00455042	0.00663483	0.0115443	0.0171663	0.0273543	0.0328178	0.0511331	0.0869768	0.194999	0.560965
a76	0.0171596	0.0123704	0.0172227	0.0242662	0.0298957	0.047477	0.0542759	0.0685801	0.0943702	0.168176	0.466206
a41	0.00737503	0.00698448	0.0117777	0.0170252	0.0193975	0.0269596	0.0277504	0.036764	0.0675247	0.139694	0.638748
a12	0.00382966	0.00387152	0.00691317	0.0114307	0.0149733	0.0208311	0.022498	0.0350197	0.0728958	0.143655	0.664082
a24	0.00469156	0.00423535	0.00638462	0.0103063	0.0137591	0.0194022	0.0229286	0.034732	0.0670206	0.141932	0.674608
a41	0.00600726	0.00435656	0.00539862	0.00699441	0.00873355	0.0124144	0.0147106	0.0242603	0.0561597	0.133809	0.727156
a56	0.00521352	0.00361359	0.00474301	0.00664204	0.00801916	0.0133693	0.0163346	0.0290819	0.0731193	0.168894	0.67097
a18	0.00718789	0.00537802	0.00667159	0.00954311	0.0123798	0.0181215	0.023111	0.0370556	0.0672917	0.149723	0.663537
a38	0.0119233	0.00757367	0.00865979	0.0115796	0.0141197	0.0172356	0.0183857	0.0286655	0.0614923	0.137462	0.682903
a11	0.0114311	0.0071069	0.00797339	0.0109932	0.0145155	0.0179832	0.0193169	0.0291806	0.0568956	0.125864	0.698739
a56	0.0165199	0.0103813	0.0114218	0.0146228	0.0174824	0.0212127	0.0218333	0.0307573	0.060399	0.117379	0.67799
a98	0.0176905	0.0111873	0.0118786	0.0149959	0.017216	0.0242838	0.0266474	0.0340902	0.0613738	0.112578	0.668059
a73	0.0117189	0.00750457	0.00898683	0.012144	0.0136226	0.0197138	0.021171	0.0269631	0.0538265	0.108243	0.716106
a69	0.00820361	0.00523103	0.00621148	0.00914548	0.0117183	0.0183389	0.0208077	0.0307369	0.0579054	0.121066	0.710635
a84	0.0150353	0.00919115	0.0102804	0.0144287	0.0185424	0.0270029	0.0288659	0.042861	0.0621781	0.130298	0.641317
a87	0.0125689	0.00736868	0.00695533	0.00722078	0.00827569	0.00995053	0.00976381	0.0185198	0.040002	0.119081	0.760294
</S>	0.0284677	0.0116551	0.00781601	0.00623252	0.00610447	0.00818733	0.00842921	0.0185047	0.0628306	0.13341	0.708363
