 	le	feu	de	brousse	a	atteint	quelles	forêts	</S>
a66	0.292063	0.206664	0.131216	0.0888494	0.0901228	0.0638178	0.0619388	0.0411216	0.0242066
a87	0.324122	0.219256	0.152039	0.0806806	0.0685406	0.0748323	0.0558788	0.0169466	0.00770409
a23	0.334558	0.247166	0.185117	0.0958757	0.0549219	0.035822	0.021638	0.0129609	0.0119414
a13	0.256149	0.201301	0.166057	0.0823359	0.0689359	0.065267	0.0528751	0.0432995	0.0637794
a53	0.164829	0.137093	0.11629	0.0712838	0.105224	0.122622	0.102457	0.106818	0.0733814
a94	0.302366	0.206082	0.177741	0.0813384	0.0777161	0.0657852	0.0391167	0.0310125	0.0188417
a90	0.163868	0.188077	0.232393	0.13161	0.110027	0.0855223	0.0427112	0.0261476	0.0196441
a69	0.107415	0.133634	0.20806	0.148387	0.148174	0.125715	0.0650036	0.0335175	0.0300944
a93	0.0669737	0.084458	0.161202	0.146344	0.168669	0.154383	0.0912566	0.0649885	0.0617257
a75	0.116107	0.145984	0.189398	0.151395	0.128283	0.0979688	0.0572876	0.0535265	0.0600501
a31	0.0592389	0.0746377	0.101035	0.0975186	0.099592	0.103779	0.142449	0.171752	0.149998
a75	0.109442	0.127034	0.113847	0.100979	0.0993418	0.0887144	0.104334	0.125907	0.130401
a85	0.0291906	0.0374517	0.0437136	0.0489434	0.0749205	0.0822591	0.177457	0.257447	0.248617
a47	0.0236949	0.0305737	0.0382964	0.0469219	0.0744955	0.0801027	0.167187	0.249169	0.289559
a36	0.0231121	0.0234198	0.0222872	0.0255302	0.0403461	0.045152	0.117304	0.278366	0.424482
a25	0.023347	0.0171726	0.0127709	0.0150206	0.025113	0.0265053	0.0679078	0.277714	0.534449
a56	0.00830349	0.00598904	0.0049004	0.00577262	0.0115796	0.0213759	0.0908353	0.327213	0.524031
a54	0.00874415	0.00590962	0.00501753	0.00679864	0.0101618	0.0161998	0.0656181	0.235513	0.646037
a7	0.00688171	0.00417228	0.00330839	0.00495328	0.0104305	0.0198461	0.103898	0.313225	0.533284
a84	0.00985293	0.00639922	0.00605328	0.00824169	0.014825	0.0240564	0.096955	0.302465	0.531151
a87	0.0317796	0.0204253	0.0201847	0.0216327	0.0461566	0.0630615	0.122965	0.246773	0.427022
a23	0.273187	0.11871	0.103248	0.0645544	0.091715	0.0633303	0.0617252	0.104968	0.118561
a87	0.119791	0.0597894	0.0532176	0.0445806	0.0677285	0.079161	0.152323	0.21573	0.207679
</S>	0.0139332	0.00517249	0.0043531	0.00471103	0.00900158	0.0206446	0.0955818	0.30099	0.545612
