 	tous	le	village	ne	lui	adresse	plus	la	parole	parce	qu'	on	l'	a	surpris	en	plein	vol	</S>
a66	0.149709	0.109801	0.106157	0.113237	0.0993846	0.0986579	0.0894718	0.050916	0.0405073	0.0300881	0.0225003	0.0187544	0.0160831	0.0141149	0.0100803	0.00667757	0.00651339	0.00860028	0.00874639
a87	0.224168	0.155538	0.129851	0.0941731	0.065671	0.0667601	0.0285067	0.0199896	0.0205956	0.0169567	0.0150313	0.0134185	0.0147383	0.0156246	0.0160383	0.014161	0.0205737	0.0324384	0.0357663
a23	0.254141	0.168811	0.143878	0.101897	0.0612301	0.065165	0.0345704	0.0199722	0.0141749	0.00844428	0.00714443	0.00691886	0.00847856	0.0104052	0.0116777	0.0100814	0.013943	0.0251163	0.0339499
a53	0.157186	0.107466	0.0966665	0.0800233	0.0540579	0.0578171	0.0351325	0.0333209	0.0278343	0.0174368	0.0153461	0.0164305	0.0186677	0.0227426	0.0234891	0.0240294	0.0381955	0.0766795	0.0974789
a79	0.185313	0.137832	0.138507	0.113197	0.0868955	0.0930088	0.0542402	0.0436122	0.0329668	0.0171898	0.0127035	0.0116513	0.0108643	0.0120173	0.00922791	0.00892534	0.00930248	0.01133	0.0112161
a36	0.169004	0.149973	0.167148	0.109065	0.0809666	0.0775822	0.0443118	0.0431632	0.0336151	0.0171669	0.0123995	0.0124998	0.012425	0.0135993	0.0117552	0.0107028	0.00995264	0.0122158	0.0124533
a75	0.089807	0.0858442	0.101658	0.0793861	0.0683151	0.0670556	0.0515822	0.0574274	0.0498683	0.033486	0.0303201	0.0325792	0.032295	0.0303938	0.0244133	0.0265274	0.0311395	0.0500671	0.0578345
a92	0.0835478	0.0830678	0.097414	0.0752726	0.0685573	0.0814205	0.0628203	0.0700289	0.0631595	0.0415297	0.0322976	0.0307656	0.0276414	0.0246131	0.0201019	0.0205642	0.025591	0.0413749	0.0502317
a36	0.0705969	0.0639054	0.0671649	0.0587285	0.0550502	0.0683558	0.0669252	0.0871599	0.0883626	0.0631239	0.0436457	0.0349393	0.0278764	0.0235888	0.0202035	0.0215369	0.0282542	0.0487352	0.0618465
a75	0.0590624	0.0551074	0.0588473	0.0612304	0.054176	0.0555631	0.0759887	0.0878319	0.078877	0.0577905	0.0413968	0.0362658	0.032262	0.0289733	0.0282935	0.0300437	0.0366539	0.055876	0.0657605
a5	0.0329126	0.0313367	0.0357288	0.0386017	0.0403009	0.0434621	0.0577423	0.0722031	0.0913717	0.0878234	0.0623217	0.0479967	0.0369816	0.0310011	0.0277301	0.0321672	0.0473958	0.0818118	0.101111
a37	0.0355294	0.0334743	0.0357522	0.0462984	0.0448099	0.043319	0.0776044	0.0881602	0.105299	0.102861	0.0628611	0.0448276	0.0353006	0.0311159	0.0294619	0.0283114	0.0359107	0.0546965	0.0644064
a12	0.0204594	0.0209437	0.0232783	0.0405334	0.0458167	0.0411843	0.0867653	0.112545	0.138189	0.136419	0.082611	0.0554032	0.0410755	0.0308138	0.0232228	0.0182194	0.0205102	0.0283851	0.0336253
a93	0.0139062	0.0136194	0.0149037	0.0262674	0.0316889	0.0288766	0.0671395	0.0873116	0.129747	0.163006	0.112447	0.0783412	0.0561571	0.0414618	0.0297889	0.0208939	0.0220562	0.0285594	0.0338279
a56	0.0137561	0.0145035	0.0165246	0.0288688	0.0385863	0.0411416	0.077633	0.115828	0.146776	0.156285	0.104924	0.0698683	0.049867	0.035341	0.0238208	0.0147378	0.0137567	0.0172462	0.0205353
a43	0.0105698	0.00982229	0.00987972	0.0156926	0.0200797	0.0207473	0.0476263	0.0697886	0.106289	0.147203	0.12021	0.0949398	0.073392	0.0586723	0.0437399	0.0305581	0.0307269	0.0410545	0.049008
a75	0.00896572	0.00916742	0.0103884	0.0150692	0.0201771	0.0247775	0.0434037	0.0847483	0.119433	0.154223	0.12896	0.0994591	0.0742767	0.0549908	0.0374456	0.0246293	0.0227584	0.0292976	0.0378287
a21	0.00353893	0.00331467	0.00394937	0.00599406	0.00749597	0.00735061	0.0151982	0.0169989	0.0309842	0.0743634	0.0945175	0.106179	0.0887223	0.0759259	0.0600981	0.0610283	0.0806003	0.116307	0.147434
a12	0.00536676	0.00493124	0.00572059	0.00782108	0.00951965	0.00944145	0.0193349	0.027901	0.0496803	0.108618	0.11456	0.1135	0.0899155	0.0741859	0.0620763	0.0509651	0.0543979	0.0829958	0.109068
a18	0.00529983	0.00501369	0.00625681	0.00828984	0.0103104	0.00982502	0.0170803	0.0258128	0.0436062	0.0948257	0.106932	0.109661	0.0848881	0.0702743	0.060448	0.0575018	0.0641527	0.0939986	0.125823
a25	0.0154828	0.0165224	0.0213283	0.0244358	0.0297627	0.0346809	0.0392754	0.0543879	0.0656636	0.079591	0.0841873	0.0755033	0.0597656	0.0479389	0.0353234	0.0412379	0.0526684	0.0883525	0.133892
a97	0.0321679	0.0310908	0.0385407	0.0406275	0.0463821	0.0532279	0.0579095	0.0670275	0.0736303	0.0781353	0.0726496	0.0633218	0.0459515	0.0337057	0.0245214	0.0258262	0.0374568	0.07009	0.107738
a87	0.0327167	0.031933	0.037451	0.0350763	0.0400403	0.0428969	0.0438096	0.0564423	0.0689798	0.0759368	0.0774513	0.0712589	0.052353	0.0377318	0.0292813	0.0295119	0.044125	0.0839824	0.109022
a10	0.0462906	0.0363758	0.0348044	0.0207164	0.0212904	0.0249385	0.0192694	0.0226163	0.0294311	0.0381184	0.0488648	0.0576693	0.0543939	0.0520675	0.0519454	0.0653344	0.0861861	0.142598	0.147089
a24	0.0229653	0.0204721	0.0215319	0.0185844	0.0221444	0.0244668	0.0174525	0.0186909	0.0260954	0.0414166	0.0649454	0.09029	0.100196	0.0979793	0.0900838	0.0858187	0.0722631	0.0793968	0.0852069
a96	0.00106762	0.00124218	0.00155466	0.00156834	0.00276734	0.00529217	0.00460927	0.0114431	0.0181168	0.0242774	0.0366004	0.0541765	0.0555522	0.0606237	0.0654027	0.110205	0.1486	0.184661	0.212239
a75	0.00104318	0.00120155	0.00140123	0.00149731	0.00221641	0.00402872	0.00441807	0.0106898	0.0182542	0.0260336	0.0322491	0.0439505	0.0427183	0.0516684	0.0764793	0.130953	0.166175	0.190741	0.194281
a85	0.00282248	0.00298193	0.003525	0.0030741	0.00394287	0.00618956	0.00715108	0.00938197	0.0138575	0.0207802	0.026683	0.0350137	0.032407	0.0359859	0.0496243	0.109611	0.164861	0.226041	0.246066
a6	0.00407243	0.00418511	0.00532607	0.00528523	0.00743021	0.0117145	0.0123578	0.0154622	0.0198384	0.0260709	0.0298744	0.0352476	0.0312623	0.0322357	0.04365	0.0950622	0.163699	0.230456	0.22677
