 	les	pluies	mettent	fin	à	la	saison	sèche	</S>
a66	0.207415	0.24199	0.217913	0.150751	0.0831746	0.0380828	0.0267849	0.0188792	0.0150106
a87	0.315471	0.14776	0.109458	0.0853754	0.0599903	0.0460453	0.0589941	0.0819862	0.0949194
a23	0.222496	0.114712	0.130833	0.141779	0.100417	0.073816	0.0629588	0.0674012	0.0855878
a10	0.21789	0.0805768	0.0790334	0.0925237	0.0933482	0.0886691	0.109872	0.112857	0.125229
a97	0.229386	0.077084	0.0813483	0.085182	0.0871309	0.0853408	0.120725	0.119783	0.114019
a87	0.111257	0.0515949	0.0820361	0.0953767	0.112137	0.113919	0.15034	0.148716	0.134623
a97	0.0758113	0.0400271	0.0760016	0.0980034	0.120806	0.124687	0.157906	0.160007	0.14675
a40	0.0775741	0.0571366	0.0940029	0.108253	0.121379	0.11685	0.142591	0.148562	0.133651
a79	0.289546	0.165918	0.130636	0.0726106	0.0589549	0.0465389	0.059722	0.0796521	0.0964209
a7	0.382501	0.258358	0.146232	0.0716516	0.0399269	0.0241599	0.0221781	0.023233	0.0317591
a26	0.248286	0.212029	0.203739	0.127954	0.0768728	0.0461813	0.0331081	0.0242902	0.0275392
a90	0.187585	0.180288	0.198347	0.13472	0.0960824	0.0626807	0.0477897	0.0386123	0.0538957
a15	0.241401	0.227109	0.226093	0.126514	0.0741387	0.0353349	0.0210777	0.0202486	0.0280835
a47	0.170089	0.232786	0.219014	0.134164	0.0826722	0.044443	0.031246	0.0370725	0.0485129
a36	0.141171	0.189148	0.1974	0.14332	0.094432	0.0493002	0.0391658	0.0557367	0.0903266
a37	0.148983	0.209193	0.209831	0.146554	0.0845186	0.0495379	0.0338546	0.0439138	0.0736145
a44	0.14032	0.219637	0.216139	0.161049	0.0863462	0.0561664	0.0345949	0.03515	0.0505985
a96	0.0682793	0.162716	0.228329	0.202165	0.11162	0.0763098	0.0476041	0.042405	0.0605717
a0	0.0469498	0.128046	0.210996	0.20067	0.122112	0.0941753	0.0680782	0.0572343	0.0717379
a47	0.0244542	0.0698849	0.145035	0.194114	0.14987	0.129942	0.0973943	0.0829548	0.10635
a96	0.0282346	0.0566103	0.0985162	0.169766	0.146383	0.127161	0.108306	0.11033	0.154693
a90	0.0136461	0.0327631	0.0611819	0.10515	0.112699	0.119938	0.132497	0.177555	0.244571
a25	0.010618	0.0291272	0.0515594	0.0699017	0.0858082	0.0907818	0.114434	0.205698	0.342072
a21	0.00276855	0.00754515	0.0174212	0.0254454	0.0438015	0.0591158	0.106255	0.252209	0.485437
a5	0.00397242	0.0101252	0.0193005	0.0352487	0.0546675	0.0787156	0.12947	0.278814	0.389686
a36	0.00212444	0.00582714	0.00938321	0.0188756	0.0345427	0.053131	0.114728	0.321107	0.440281
a27	0.00155088	0.00302572	0.00455848	0.00662586	0.0129475	0.0228527	0.0653832	0.278332	0.604723
a82	0.0103015	0.0110612	0.018403	0.0118239	0.0206704	0.0380498	0.0892356	0.235537	0.564918
a97	0.0308419	0.0282536	0.0438322	0.0454763	0.0537493	0.0766066	0.107698	0.191928	0.421614
a87	0.0916202	0.0560331	0.0632396	0.0735001	0.0892842	0.115369	0.129246	0.149553	0.232156
a97	0.0795374	0.0446758	0.0485871	0.0597635	0.0790278	0.102848	0.137115	0.189862	0.258583
a3	0.048989	0.0273057	0.0370942	0.0533319	0.0774306	0.104973	0.144622	0.205329	0.300925
a97	0.0516967	0.0270844	0.0439117	0.0518309	0.0703478	0.0909088	0.119903	0.19513	0.349187
a99	0.050006	0.0298882	0.0466886	0.0450459	0.0683874	0.0834976	0.11017	0.191547	0.374769
a97	0.041837	0.0301194	0.0452971	0.0502425	0.0726782	0.079029	0.0940301	0.185973	0.400794
a87	0.0485639	0.0352609	0.0562958	0.0675098	0.0933239	0.0976555	0.10523	0.167252	0.328908
a97	0.0813375	0.0545577	0.0653589	0.0758114	0.0895137	0.095566	0.0970426	0.150036	0.290777
a87	0.062209	0.0423526	0.0615929	0.0600531	0.084824	0.0925474	0.096498	0.160116	0.339807
</S>	0.0867465	0.0665252	0.0768518	0.0667254	0.0765434	0.0792453	0.0782866	0.143637	0.325438
