 	nous	n'	avons	pas	cette	race	de	poule	ici	</S>
a66	0.066614	0.072346	0.161005	0.285823	0.328874	0.0564153	0.0121796	0.00788183	0.00495222	0.00390898
a87	0.102509	0.101706	0.141533	0.198563	0.179568	0.0707292	0.0341196	0.033027	0.0513725	0.0868737
a23	0.208755	0.193189	0.221893	0.138236	0.0984495	0.0615927	0.0235448	0.0184365	0.0176388	0.0182646
a10	0.179715	0.162628	0.180233	0.135133	0.104688	0.126246	0.0454268	0.030643	0.0204791	0.0148085
a97	0.149739	0.135956	0.161595	0.125286	0.118668	0.164325	0.0570971	0.0410601	0.0268613	0.0194129
a87	0.0982618	0.0984125	0.12423	0.119606	0.135918	0.188462	0.093118	0.0718167	0.0425681	0.0276072
a97	0.0938914	0.0950264	0.129693	0.120986	0.125885	0.146356	0.0978051	0.0881457	0.0601504	0.0420611
a99	0.10186	0.105485	0.126022	0.105987	0.108715	0.138175	0.10692	0.0972899	0.0654957	0.044052
a62	0.11405	0.116848	0.1296	0.10412	0.109351	0.160755	0.114063	0.083323	0.0442431	0.0236462
a0	0.354703	0.283186	0.164178	0.0655583	0.0541417	0.0285612	0.021935	0.0138006	0.00723011	0.00670588
a47	0.377432	0.252998	0.136079	0.0604078	0.0485964	0.0288106	0.0283569	0.0263154	0.0191825	0.0218215
a75	0.285065	0.252877	0.148621	0.083392	0.0633094	0.0443284	0.0409531	0.0338595	0.0225609	0.0250339
a21	0.249857	0.226844	0.138368	0.0931799	0.0919162	0.0885229	0.0494092	0.0267341	0.0165058	0.0186631
a61	0.20176	0.206773	0.137497	0.118619	0.11795	0.10083	0.0555616	0.0277221	0.0161434	0.0171439
a47	0.169446	0.179543	0.136968	0.131982	0.124428	0.118195	0.0603882	0.0329847	0.0226385	0.0234263
a21	0.122401	0.162066	0.147351	0.138985	0.121533	0.111191	0.0687158	0.0454487	0.0396946	0.0426136
a47	0.10033	0.144597	0.154118	0.172019	0.142036	0.089712	0.0641634	0.0489143	0.0411902	0.0429192
a96	0.0662128	0.0990151	0.123891	0.146299	0.123502	0.110957	0.09084	0.0787963	0.0779808	0.082506
