 	cette	pointe	fait	saillie	</S>
a66	0.369569	0.283193	0.214227	0.109054	0.0239572
a87	0.171377	0.238366	0.306763	0.214337	0.0691563
a23	0.48324	0.311195	0.104132	0.0714154	0.0300182
a87	0.502467	0.367972	0.0891023	0.0271136	0.0133457
a23	0.471398	0.36403	0.114036	0.0332169	0.0173189
a87	0.543493	0.317018	0.0807091	0.0409555	0.0178243
a23	0.48856	0.343851	0.105041	0.0441159	0.0184324
a87	0.619312	0.271714	0.06202	0.0336107	0.0133431
a79	0.556511	0.307403	0.0810052	0.041744	0.0133361
a18	0.566312	0.268552	0.0624996	0.0514598	0.0511762
a38	0.421115	0.359192	0.126222	0.0540377	0.0394324
a21	0.34495	0.331594	0.167524	0.0900665	0.0658655
a5	0.254349	0.378791	0.232976	0.0827127	0.0511718
a92	0.220423	0.355392	0.240746	0.111236	0.0722016
a37	0.146617	0.299654	0.317534	0.146661	0.0895343
a79	0.12625	0.269919	0.312553	0.170501	0.120777
a98	0.0904484	0.231788	0.269715	0.199059	0.208989
a92	0.0645532	0.142773	0.188068	0.234484	0.370122
a37	0.0727957	0.138695	0.180256	0.244397	0.363856
a26	0.0495128	0.0967198	0.152422	0.247389	0.453957
a98	0.00787922	0.0134369	0.0262617	0.133825	0.818598
a85	0.00175621	0.00391966	0.0148293	0.133648	0.845847
a6	0.00135131	0.00261899	0.010186	0.118891	0.866953
a36	0.00194754	0.00358753	0.014295	0.132582	0.847588
a2	0.00134217	0.00169934	0.00495037	0.0683836	0.923625
a57	0.0410293	0.046808	0.0623978	0.194003	0.655762
a87	0.229967	0.139475	0.0901601	0.181289	0.359108
a97	0.216935	0.132511	0.103319	0.226862	0.320373
a87	0.232905	0.133985	0.112685	0.239418	0.281007
a97	0.155014	0.105746	0.104132	0.26002	0.375088
</S>	0.186012	0.126461	0.111774	0.251631	0.324123
