 	le	mur	qu'	il	a	construit	est	tordu	</S>
a15	0.173482	0.116444	0.124606	0.155717	0.189278	0.154009	0.0471178	0.0257816	0.013564
a66	0.198399	0.0905297	0.0999013	0.0943193	0.0830726	0.118901	0.133655	0.116709	0.0645134
a87	0.380117	0.149977	0.0888884	0.0692918	0.0553554	0.0626166	0.0456542	0.0540146	0.0940842
a79	0.410809	0.151456	0.11333	0.0691539	0.0565927	0.0637742	0.0441275	0.0432434	0.0475136
a5	0.389023	0.117141	0.1061	0.0763533	0.065444	0.0693902	0.0548071	0.0568599	0.0648815
a66	0.458713	0.205359	0.146122	0.0661703	0.0344727	0.0228156	0.0191912	0.0217388	0.0254187
a75	0.292139	0.221234	0.184653	0.0890075	0.0571338	0.0462654	0.0370074	0.0396824	0.0328782
a47	0.224137	0.179302	0.187309	0.131683	0.101582	0.0724023	0.0412339	0.0348433	0.0275068
a85	0.133086	0.139331	0.20381	0.179998	0.152286	0.0883035	0.0407226	0.0331753	0.0292875
a37	0.147738	0.165992	0.209544	0.177387	0.14931	0.0887438	0.0279361	0.0174465	0.0159015
a66	0.133186	0.153457	0.199963	0.186118	0.163844	0.0908878	0.0295228	0.0221464	0.0208762
a47	0.0830452	0.102766	0.158545	0.199152	0.199066	0.127489	0.0502283	0.0387575	0.0409504
a62	0.0578374	0.0717023	0.11598	0.192741	0.22458	0.16196	0.0638166	0.0511809	0.0602019
a47	0.0551069	0.0662152	0.109206	0.207111	0.26302	0.17505	0.0523181	0.0364344	0.0355385
a83	0.0527104	0.0559988	0.0797854	0.170997	0.263988	0.206692	0.073209	0.0472978	0.0493213
a9	0.0512409	0.0512002	0.072181	0.156695	0.262717	0.214409	0.0801273	0.0540554	0.0573738
a75	0.0133432	0.0145691	0.0228949	0.0736917	0.188202	0.245807	0.165714	0.134586	0.141192
a34	0.0543606	0.0476069	0.0636837	0.126104	0.203234	0.138181	0.0898725	0.10478	0.172177
a61	0.0378898	0.0387277	0.057896	0.109144	0.176298	0.160299	0.147791	0.138793	0.133162
a94	0.0164144	0.0165133	0.0243728	0.0616044	0.121882	0.128177	0.162511	0.230131	0.238394
a93	0.0144485	0.0153816	0.0214926	0.0569694	0.114753	0.122565	0.161249	0.234904	0.258237
a34	0.0105836	0.0110403	0.0195386	0.0512642	0.0942221	0.0984097	0.149358	0.241396	0.324188
a70	0.0225514	0.0212342	0.0287109	0.0539353	0.0834118	0.0813495	0.134253	0.230124	0.344429
a0	0.00871967	0.00893295	0.0119411	0.0247261	0.0414896	0.0518359	0.115394	0.264758	0.472203
a71	0.000966725	0.00111811	0.00134926	0.00331107	0.0065571	0.0105422	0.0534977	0.25561	0.667048
a38	0.00131153	0.000970685	0.00101899	0.00203892	0.00457002	0.00944276	0.0650866	0.271866	0.643694
a61	0.00195557	0.00119371	0.00113371	0.00182299	0.0031265	0.00649782	0.0556224	0.258656	0.669992
a21	0.00076419	0.000610276	0.000709598	0.0018094	0.00366041	0.00752672	0.0463715	0.203026	0.735522
a47	0.00212019	0.00163136	0.00166954	0.00362631	0.00667081	0.0118939	0.0574891	0.214369	0.70053
a62	0.00121315	0.00152665	0.00179327	0.00323733	0.00484805	0.0089729	0.0556296	0.247071	0.675708
a83	0.00124747	0.00136009	0.00133805	0.00231629	0.00342549	0.00702598	0.0522644	0.239864	0.691158
a9	0.000901688	0.000943633	0.000912466	0.00184712	0.00296536	0.00578725	0.0531	0.247299	0.686244
a99	0.0211717	0.0111972	0.0073105	0.0107272	0.0131538	0.0203218	0.0940696	0.296948	0.5251
a87	0.0331242	0.0170677	0.0106463	0.013252	0.0156222	0.0262112	0.101967	0.289679	0.49243
a23	0.102026	0.0486725	0.0262762	0.0314965	0.040993	0.0606361	0.118607	0.234973	0.33632
a87	0.0832012	0.0434251	0.0172733	0.0175813	0.0175933	0.0247576	0.0596358	0.153296	0.583237
a97	0.00949732	0.0057787	0.00399388	0.00560702	0.00739392	0.0118826	0.0412498	0.136516	0.778081
</S>	0.0387052	0.0200121	0.0151171	0.0266663	0.0385228	0.0479429	0.0772085	0.171892	0.563933
