 	nous	sommes	neuf	personnes	à	se	présenter	à	cette	réunion	</S>
a66	0.13101	0.0838215	0.0583089	0.0721538	0.132105	0.184954	0.120714	0.109591	0.0559981	0.0300478	0.0212958
a87	0.191057	0.0966168	0.158337	0.0976081	0.106224	0.138475	0.111331	0.0595596	0.0224719	0.0115861	0.00673316
a23	0.247905	0.207645	0.222891	0.091131	0.0564973	0.0308302	0.0286519	0.0277606	0.0338224	0.0309668	0.0218983
a9	0.183725	0.230153	0.255878	0.126988	0.0832108	0.0470067	0.0370113	0.0116122	0.0102465	0.00709757	0.00707112
a10	0.19354	0.191091	0.226808	0.0995077	0.0919248	0.0755884	0.06323	0.0253641	0.0153022	0.00953127	0.00811254
a24	0.190245	0.153379	0.223921	0.086792	0.104559	0.0866207	0.0850255	0.0389838	0.0179908	0.00703565	0.00544747
a62	0.182443	0.212685	0.231216	0.112323	0.080416	0.0509048	0.0428806	0.0364735	0.0329567	0.0113141	0.00638761
a88	0.157478	0.272843	0.261022	0.130209	0.0690215	0.043059	0.0268267	0.0144232	0.0129434	0.00712319	0.00505183
a62	0.138205	0.254929	0.257699	0.129409	0.0746927	0.0510145	0.0322373	0.0181366	0.0195079	0.0131481	0.0110218
a88	0.114504	0.228511	0.205754	0.146918	0.0963855	0.0730068	0.0477002	0.0251824	0.0264077	0.0183725	0.0172573
a75	0.0897426	0.16036	0.172135	0.157324	0.120603	0.0996263	0.0717995	0.0429885	0.0396677	0.0242089	0.0215448
a21	0.0712395	0.0930797	0.104408	0.133572	0.156917	0.171388	0.138662	0.0502336	0.0337754	0.0238562	0.0228693
a47	0.0676045	0.0714585	0.0751536	0.148543	0.154501	0.178013	0.129329	0.0600954	0.0453621	0.0360266	0.0339123
a88	0.0483928	0.0516599	0.0616809	0.136179	0.175573	0.177365	0.139947	0.0722232	0.0512698	0.0425265	0.0431833
a90	0.0210124	0.0202337	0.026563	0.0732954	0.107692	0.104718	0.0977808	0.111733	0.141621	0.154472	0.140878
a25	0.0104931	0.00833171	0.0117267	0.0399421	0.0725954	0.109376	0.125163	0.169612	0.159311	0.143234	0.150214
a79	0.00422245	0.00393869	0.00589634	0.0191224	0.0360958	0.0599883	0.0856583	0.186748	0.18096	0.191148	0.226222
a98	0.00319565	0.0025141	0.00402978	0.0096067	0.0162899	0.0196739	0.033214	0.119572	0.17863	0.257032	0.356242
a85	0.00582112	0.00500037	0.0080662	0.0181829	0.0257201	0.0376215	0.0619316	0.165243	0.186576	0.202915	0.282922
a21	0.00367439	0.00296794	0.00422439	0.00582133	0.00845054	0.0137738	0.0225554	0.0886995	0.163882	0.283494	0.402457
a75	0.00443849	0.00223782	0.00269415	0.00439381	0.00902782	0.0123931	0.0182133	0.0848623	0.162895	0.269214	0.42963
a47	0.00207551	0.00110421	0.00151256	0.00255313	0.00339207	0.00420586	0.00610507	0.0492105	0.129553	0.266619	0.533669
a62	0.000896905	0.000592443	0.000798314	0.00156336	0.00154174	0.00198741	0.00267031	0.0231973	0.0765377	0.227208	0.663007
a88	0.000559303	0.000277619	0.000471924	0.000791379	0.00112397	0.00191729	0.00343893	0.0169108	0.050425	0.243787	0.680297
a70	0.0005126	0.000348724	0.000370832	0.000489124	0.000868972	0.00128469	0.00329914	0.0294023	0.0775335	0.24578	0.64011
a83	0.000451559	0.000355534	0.000392498	0.000461866	0.000809941	0.00109295	0.00335226	0.0425552	0.0927685	0.232531	0.625228
a9	0.000564428	0.000365861	0.000439262	0.000565987	0.00101946	0.00154271	0.00523074	0.0534981	0.111544	0.256505	0.568724
a87	0.0417616	0.0227596	0.0162641	0.00976885	0.0185367	0.0241217	0.0271636	0.11653	0.146338	0.191396	0.385359
a23	0.180488	0.0865623	0.0832485	0.0585541	0.074617	0.0676043	0.0570163	0.0865458	0.0831749	0.092106	0.130082
a99	0.0435207	0.0258786	0.0242739	0.0143509	0.0127761	0.00966339	0.0112797	0.0308229	0.0872536	0.25189	0.488291
a97	0.0228001	0.0136329	0.0129484	0.006436	0.00864253	0.00870134	0.016473	0.0497974	0.11145	0.260693	0.488425
</S>	0.008395	0.00770567	0.00721453	0.00383064	0.00498924	0.00561313	0.00963398	0.0284205	0.0759401	0.241762	0.606495
