 	je	lis	un	livre	intéressant	</S>
a87	0.544297	0.216456	0.0979592	0.0590774	0.0556172	0.0265938
a23	0.735093	0.120308	0.0648928	0.0401508	0.022996	0.0165586
a70	0.271514	0.232359	0.180847	0.103373	0.089132	0.122774
a75	0.343502	0.224635	0.165542	0.153761	0.0853641	0.0271949
a85	0.259499	0.270658	0.123174	0.177264	0.122473	0.0469331
a5	0.207024	0.395018	0.176024	0.132598	0.0697905	0.0195451
a12	0.163071	0.385084	0.245394	0.128029	0.0533307	0.0250917
a88	0.195582	0.352016	0.269846	0.114735	0.0496541	0.0181673
a25	0.092042	0.166592	0.408976	0.205384	0.0759872	0.0510185
a75	0.0880662	0.165686	0.379496	0.198301	0.0892124	0.0792389
a85	0.0896394	0.115941	0.265071	0.244627	0.157044	0.127677
a5	0.110735	0.122136	0.20436	0.226566	0.169676	0.166527
a85	0.13569	0.126432	0.153152	0.231026	0.178834	0.174866
a44	0.0614587	0.0679091	0.100479	0.147382	0.180547	0.442224
a38	0.0522681	0.0385623	0.0786809	0.164495	0.221645	0.444349
a94	0.0170286	0.0132911	0.0318774	0.0824525	0.17925	0.676101
a57	0.00456035	0.00433563	0.0165339	0.0672725	0.162565	0.744733
a84	0.00451861	0.00641425	0.0186427	0.0679148	0.17462	0.72789
a13	0.0335559	0.0238522	0.0308047	0.0753957	0.205392	0.631
a53	0.0506919	0.0197906	0.0200365	0.0606562	0.183769	0.665056
a15	0.00146816	0.000811381	0.00901983	0.0528647	0.247477	0.688359
a90	0.00108722	0.00102646	0.0075127	0.0466474	0.206109	0.737618
a38	0.000286402	0.000348296	0.00277429	0.0197367	0.140504	0.83635
a75	0.000486236	0.000363369	0.00305296	0.0230886	0.13847	0.834539
a12	0.00120094	0.00158985	0.00891345	0.0406357	0.154291	0.793369
a25	0.00196766	0.00173605	0.00680072	0.031231	0.153217	0.805048
a87	0.000676154	0.000658556	0.00324088	0.0209074	0.130208	0.844309
a99	0.00347548	0.00291463	0.0110301	0.0543911	0.172785	0.755404
a87	0.0166626	0.0137519	0.0212069	0.0685397	0.202219	0.67762
a23	0.12587	0.0731894	0.0592315	0.0981275	0.188444	0.455138
a87	0.0634656	0.0418565	0.0249922	0.0697977	0.139137	0.660751
</S>	0.0189809	0.0188859	0.0222137	0.073863	0.127817	0.73824
