 	la	tempête	a	emporté	le	toit	de	l'	école	</S>
a87	0.167765	0.110491	0.143555	0.217554	0.218489	0.0868572	0.0230691	0.0121409	0.0105129	0.00956568
a23	0.261429	0.137683	0.143807	0.105882	0.0696303	0.0393332	0.0394264	0.0446739	0.0661033	0.0920326
a62	0.212088	0.190869	0.169191	0.136934	0.105416	0.0363019	0.0210581	0.0236295	0.0384782	0.0660338
a88	0.393907	0.23542	0.17422	0.0841296	0.0639397	0.022231	0.0097341	0.00620114	0.00547506	0.00474222
a18	0.499104	0.269288	0.133705	0.0431024	0.0305408	0.0102795	0.00410148	0.00300605	0.00322975	0.00364264
a43	0.45953	0.284246	0.139609	0.0521169	0.0298406	0.0119895	0.00579752	0.0048122	0.00541097	0.00664771
a56	0.394876	0.263948	0.146169	0.0801605	0.0385727	0.0208716	0.0132103	0.0118109	0.0130242	0.0173567
a96	0.293136	0.248155	0.168495	0.139463	0.0623901	0.0294442	0.0146572	0.0121498	0.0139141	0.0181951
a83	0.234582	0.208711	0.167983	0.196777	0.0740216	0.0376799	0.0193356	0.0167497	0.0193048	0.024856
a0	0.189319	0.174684	0.170851	0.210542	0.0900545	0.0487821	0.0249392	0.0230513	0.0287633	0.0390143
a21	0.139863	0.13308	0.159334	0.250058	0.110375	0.0626647	0.031321	0.0286288	0.0354884	0.0491877
a43	0.157617	0.167957	0.223207	0.266958	0.0985394	0.0385956	0.0135263	0.00987487	0.0105506	0.0131742
a75	0.1104	0.0979236	0.130481	0.274895	0.148124	0.0876738	0.0395219	0.0294267	0.0342188	0.0473358
a37	0.182402	0.127432	0.132514	0.169868	0.0762211	0.0523416	0.0442186	0.0482477	0.0665363	0.100218
a98	0.13179	0.0935976	0.109967	0.160502	0.116082	0.108824	0.0616854	0.0498627	0.0653245	0.102366
a92	0.103916	0.064845	0.0660517	0.0764583	0.0508697	0.0768214	0.0858111	0.0988496	0.141713	0.234664
a37	0.0890294	0.0536571	0.0478352	0.0493215	0.0349671	0.066803	0.0985656	0.127569	0.171951	0.260301
a75	0.0886588	0.0549886	0.0567024	0.0574311	0.0422685	0.0954088	0.112163	0.103312	0.142722	0.246344
a85	0.0514389	0.026106	0.022797	0.0189003	0.0134693	0.0395431	0.0883646	0.141718	0.226723	0.37094
a37	0.0326614	0.0168911	0.0147004	0.0126519	0.0113882	0.042125	0.102855	0.160549	0.252648	0.35353
a98	0.0386785	0.0199138	0.0188865	0.0168969	0.0133861	0.0452154	0.105148	0.147471	0.224489	0.369915
a85	0.0216011	0.0123448	0.0113165	0.00909011	0.00909742	0.0327574	0.101031	0.176148	0.26693	0.359684
a61	0.0128043	0.00717174	0.0061602	0.00489409	0.00540554	0.0212994	0.0845699	0.181701	0.298928	0.377066
a18	0.0230527	0.0121484	0.0112587	0.00892484	0.00907079	0.0300718	0.0778598	0.147177	0.269386	0.411049
a21	0.00352821	0.0020119	0.00248541	0.00303322	0.00312276	0.0109169	0.0373183	0.0924403	0.272812	0.57233
a5	0.0228899	0.0114626	0.00996948	0.00893273	0.00956392	0.0265189	0.0747806	0.155355	0.287698	0.392828
a21	0.0132076	0.00678394	0.00644935	0.00651467	0.00735954	0.0202809	0.0644738	0.15263	0.302885	0.419415
a5	0.0127581	0.00685938	0.00564174	0.00642872	0.00732042	0.0237108	0.0698567	0.146644	0.291888	0.428891
a18	0.0081145	0.0045062	0.00381629	0.00373255	0.00371444	0.0104753	0.0446011	0.123808	0.304018	0.493214
a53	0.00190621	0.00118666	0.00156681	0.00129997	0.00194755	0.00565992	0.0264159	0.0920847	0.285756	0.582176
a15	0.00115708	0.000626476	0.000781235	0.000743427	0.00145661	0.0046542	0.0221126	0.0811625	0.272916	0.61439
a92	0.00104006	0.000625601	0.000792234	0.000891756	0.0012805	0.00495048	0.023121	0.0818303	0.286794	0.598674
a66	0.0026286	0.00131996	0.00137142	0.00140987	0.00244949	0.00745458	0.0276875	0.0876271	0.278128	0.589923
a9	0.00207911	0.00113717	0.00134785	0.000687583	0.00109066	0.00368093	0.022265	0.0916592	0.302525	0.573528
a99	0.0493496	0.0280703	0.0278575	0.0116227	0.0196707	0.0355386	0.0746363	0.13351	0.238965	0.38078
a87	0.0804417	0.0621232	0.0797777	0.0393039	0.058673	0.0598873	0.0827202	0.123024	0.178491	0.235559
a23	0.160188	0.113828	0.149793	0.0658012	0.0557856	0.0547567	0.0670757	0.0871335	0.110884	0.134754
a87	0.0536484	0.0413765	0.0537591	0.0230775	0.02382	0.0301355	0.0530801	0.111887	0.235563	0.373653
</S>	0.00569841	0.00512123	0.00900437	0.0092196	0.0128916	0.0194887	0.0407966	0.103517	0.275276	0.518986
