 	il	lui	est	arrivé	un	grand	malheur	</S>
a23	0.207401	0.130305	0.0676414	0.07067	0.0930291	0.115346	0.153406	0.162201
a87	0.38305	0.178882	0.109103	0.0675879	0.0559525	0.054785	0.0656732	0.084967
a23	0.343969	0.16569	0.114185	0.0792553	0.0663676	0.0666182	0.0725352	0.0913796
a79	0.19822	0.0947062	0.0687857	0.0590686	0.0725952	0.0978568	0.151638	0.257129
a20	0.243129	0.170329	0.110711	0.100987	0.0846544	0.0845283	0.0865402	0.119122
a73	0.338833	0.258884	0.155594	0.0887701	0.0561907	0.0428629	0.0314902	0.0273756
a37	0.331131	0.274051	0.176484	0.0862408	0.0502077	0.0356788	0.0248275	0.0213799
a24	0.289154	0.254023	0.179328	0.0932604	0.0629701	0.0503374	0.0371777	0.03375
a32	0.241446	0.194166	0.156547	0.114874	0.0977402	0.0844361	0.0599136	0.0508778
a25	0.204739	0.181267	0.17068	0.123102	0.107645	0.090685	0.0671113	0.0547713
a38	0.152509	0.149008	0.173001	0.142731	0.124743	0.107252	0.0797215	0.0710344
a21	0.105326	0.105006	0.130153	0.111585	0.125131	0.149495	0.138745	0.134559
a41	0.0479857	0.0406362	0.0557554	0.0723336	0.126225	0.19038	0.223436	0.243248
a24	0.0192158	0.0197563	0.0331778	0.0506694	0.114552	0.203092	0.254172	0.305365
a32	0.0160071	0.0138242	0.0199012	0.0255236	0.0561256	0.12655	0.237655	0.504413
a71	0.0140275	0.0122262	0.0173945	0.0199831	0.0420287	0.101687	0.219971	0.572681
a38	0.025438	0.0182807	0.0208778	0.0208576	0.0382245	0.0916798	0.204446	0.580196
a73	0.0103547	0.00909323	0.0130991	0.0152666	0.0326835	0.0959382	0.227734	0.595831
a94	0.0126481	0.0116529	0.0174954	0.0218633	0.0419896	0.102233	0.221963	0.570154
a24	0.00556797	0.00466562	0.00779434	0.0109833	0.0250388	0.0745043	0.208086	0.66336
a9	0.00544269	0.00426436	0.00734259	0.0108516	0.0257558	0.0629475	0.192747	0.690648
a87	0.00481094	0.00436971	0.00710163	0.00888781	0.0219922	0.0697642	0.203778	0.679295
a23	0.00677623	0.00468764	0.00610843	0.00677507	0.0198247	0.0646699	0.210058	0.681099
a87	0.0123247	0.00771794	0.0100378	0.0135013	0.0413244	0.0991403	0.239161	0.576792
</S>	0.00713214	0.00495338	0.00695043	0.0115399	0.0398475	0.0953889	0.23353	0.600658
