 	que	cherches-tu	en	faisant	des	tours	de	la	sorte	</S>
a15	0.262385	0.207761	0.159885	0.119579	0.114534	0.0529775	0.0289553	0.0181063	0.0149154	0.020901
a87	0.228845	0.114367	0.0953618	0.072098	0.0967133	0.082714	0.0751682	0.0674685	0.0659129	0.101351
a23	0.272425	0.11525	0.0674266	0.0350247	0.0473814	0.051096	0.073878	0.0923581	0.0984838	0.146676
a18	0.280175	0.243823	0.111761	0.0534838	0.0390276	0.0262394	0.0338851	0.0371539	0.0487094	0.125742
a90	0.257036	0.127648	0.0641343	0.0302562	0.031212	0.0290198	0.0397483	0.0572874	0.108852	0.254806
a92	0.394891	0.0848154	0.0429947	0.0199206	0.0180092	0.0134494	0.0208953	0.0468675	0.135672	0.222485
a79	0.275927	0.122724	0.0862301	0.0595052	0.0482127	0.0350401	0.0399396	0.0634792	0.11706	0.151882
a15	0.154591	0.130106	0.104009	0.0888337	0.0664301	0.0537077	0.0572556	0.0775269	0.127438	0.140101
a92	0.140043	0.130396	0.115061	0.108611	0.0854006	0.0664275	0.059614	0.0688615	0.108719	0.116867
a37	0.123537	0.123482	0.116232	0.123367	0.118004	0.0892195	0.0725458	0.0678949	0.082369	0.0833489
a18	0.174311	0.198879	0.16857	0.139425	0.0863312	0.0536251	0.0382092	0.036111	0.0501152	0.0544228
a61	0.151809	0.239227	0.201622	0.150027	0.0815694	0.0469484	0.0294193	0.0267532	0.0348233	0.037802
a21	0.125412	0.247046	0.217596	0.173515	0.0829226	0.0380817	0.0213097	0.0220074	0.0346201	0.0374887
a5	0.116051	0.241754	0.231771	0.177524	0.0892796	0.0395872	0.0215709	0.0204012	0.0297249	0.0323359
a61	0.10368	0.219042	0.21946	0.156027	0.0854082	0.0488721	0.0297201	0.03014	0.0499382	0.057713
a21	0.0787477	0.214986	0.226115	0.181056	0.106639	0.059306	0.0304215	0.0256389	0.0347379	0.042353
a5	0.092945	0.189816	0.20366	0.162931	0.112316	0.0763216	0.0455662	0.0339989	0.0377378	0.0447074
a66	0.106106	0.189557	0.188379	0.149647	0.0963137	0.0651024	0.0433744	0.0396594	0.0533833	0.0684773
a13	0.0275826	0.136112	0.154053	0.145953	0.118407	0.115867	0.0733149	0.0603405	0.068695	0.0996742
a4	0.0224652	0.103059	0.123788	0.115287	0.102243	0.124358	0.0887051	0.0828912	0.109432	0.127771
a13	0.0331182	0.0933291	0.0945478	0.0909836	0.0880079	0.101675	0.114645	0.123896	0.116794	0.143004
a99	0.0158861	0.0605326	0.0754636	0.0720791	0.0656128	0.0918982	0.102652	0.129357	0.170415	0.216103
a87	0.0148344	0.0575193	0.0734015	0.081462	0.0798311	0.118094	0.123519	0.138245	0.157215	0.155879
a23	0.0271536	0.0568925	0.0552706	0.0780182	0.103975	0.143136	0.13597	0.132984	0.128362	0.138239
a83	0.0144354	0.0262223	0.0281552	0.0378079	0.0656367	0.0980019	0.116254	0.148432	0.20343	0.261624
a75	0.00176113	0.00869322	0.00893827	0.0119743	0.0201437	0.0293686	0.0504674	0.120011	0.311286	0.437356
a92	0.0117458	0.0266932	0.0279763	0.0269437	0.03459	0.0426831	0.062794	0.122847	0.272548	0.371179
a56	0.00612209	0.0158192	0.016089	0.0165467	0.0225826	0.0339784	0.0573917	0.132151	0.309417	0.389902
a47	0.00230323	0.00680624	0.00700869	0.00795085	0.0103254	0.0173053	0.0324969	0.102312	0.374351	0.43914
a21	0.00271424	0.00973753	0.0097345	0.0103293	0.011726	0.0203723	0.0347779	0.0938998	0.34905	0.457659
a61	0.00556466	0.015677	0.0171361	0.0172442	0.0207246	0.0318181	0.0498322	0.117318	0.324138	0.400547
a21	0.00242096	0.00738733	0.00812242	0.00936278	0.0122279	0.0218755	0.0362231	0.0897244	0.338821	0.473835
a5	0.00271997	0.00778082	0.00802987	0.0090496	0.0108551	0.0191651	0.0357907	0.0967628	0.327866	0.48198
a61	0.00553607	0.0112996	0.0120734	0.0126534	0.013649	0.0235459	0.0429682	0.109232	0.315609	0.453433
a66	0.00243657	0.00579557	0.00621233	0.0072763	0.00843856	0.0172847	0.0308227	0.0831087	0.33328	0.505345
a83	0.00271967	0.00533235	0.00757892	0.00881607	0.0100162	0.0199304	0.0376882	0.0951135	0.320515	0.49229
a9	0.0031896	0.00682913	0.0100283	0.0104249	0.0127442	0.028358	0.0534419	0.118686	0.318791	0.437507
a99	0.0297254	0.022939	0.0228478	0.0215164	0.0388986	0.0730831	0.119651	0.160196	0.205887	0.305256
a97	0.0744035	0.0388949	0.0332208	0.0241992	0.0405981	0.0603667	0.101539	0.148032	0.19114	0.287607
a87	0.0680779	0.0633689	0.0588168	0.0438904	0.0656734	0.0763152	0.0982917	0.117518	0.156276	0.251771
a23	0.0593564	0.0926474	0.0840128	0.0601507	0.0668367	0.0645571	0.0732174	0.0902331	0.156076	0.252912
a87	0.0652618	0.0749293	0.0581923	0.0311309	0.0332804	0.0335849	0.0548616	0.092268	0.205692	0.350799
</S>	0.00987722	0.0199103	0.0169986	0.0117314	0.017022	0.020542	0.0438954	0.089324	0.243099	0.527599
