 	le	guérisseur	est	en	train	de	délivrer	alwémbé	d'	un	mauvais	esprit	</S>
a66	0.199184	0.165299	0.159871	0.145077	0.131276	0.0781828	0.0482712	0.0227808	0.0120564	0.0132601	0.00788959	0.00771205	0.00913971
a87	0.3487	0.255224	0.179807	0.0970623	0.0334342	0.014491	0.00687714	0.00481737	0.00368091	0.00954648	0.0102832	0.0150533	0.0210229
a23	0.318588	0.203361	0.150268	0.0834167	0.0377579	0.0324164	0.0230202	0.0190553	0.011235	0.0183737	0.0215065	0.033132	0.0478706
a13	0.260845	0.13996	0.0942307	0.0457757	0.0212876	0.0174169	0.0167449	0.0213945	0.0235012	0.0481276	0.0524377	0.0971861	0.161092
a20	0.170771	0.109934	0.0782747	0.0610942	0.0357691	0.0369728	0.0313294	0.0391492	0.0297305	0.0539649	0.0638523	0.114622	0.174535
a7	0.191134	0.179958	0.160512	0.157873	0.116902	0.075444	0.0531224	0.0197506	0.00903096	0.00882041	0.00758886	0.00956665	0.0102973
a37	0.117474	0.156333	0.165157	0.186035	0.141336	0.0805885	0.0715627	0.0231235	0.0112591	0.0116296	0.00977382	0.0117865	0.0139404
a54	0.0618944	0.0829319	0.125355	0.184529	0.153337	0.105886	0.108406	0.064089	0.0336351	0.0278486	0.0182008	0.0160856	0.0178012
a79	0.0529348	0.0901212	0.105759	0.145045	0.158599	0.0952264	0.120706	0.0771172	0.0487892	0.0370275	0.0201264	0.0214698	0.0270788
a7	0.0278563	0.0553564	0.0867794	0.156125	0.190877	0.105215	0.136036	0.0757922	0.0432098	0.03455	0.0218319	0.0271181	0.0392531
a79	0.0261769	0.0431297	0.0740578	0.136391	0.160676	0.0991529	0.131629	0.0960282	0.0639494	0.046884	0.0314214	0.0402971	0.050206
a98	0.0307773	0.0431359	0.063277	0.118158	0.175551	0.111055	0.144048	0.100362	0.0713285	0.0507456	0.0253509	0.0291072	0.0371032
a47	0.0155172	0.0214447	0.0338218	0.0941282	0.181029	0.118591	0.157643	0.107695	0.0871461	0.0712558	0.0323758	0.0334844	0.0458679
a36	0.0133673	0.0173147	0.0226407	0.0658558	0.134711	0.110646	0.200633	0.141584	0.0915894	0.063607	0.0310592	0.0401908	0.0668008
a0	0.00748304	0.00735189	0.00839009	0.0178604	0.0464893	0.0571554	0.123695	0.152102	0.16409	0.127596	0.0653594	0.0927802	0.129647
a94	0.0127969	0.0114855	0.011938	0.0159073	0.0323836	0.0482248	0.0933151	0.147759	0.185304	0.119685	0.0770171	0.100742	0.143442
a44	0.0135627	0.0105542	0.0116474	0.0157828	0.0298941	0.0402006	0.0657989	0.105413	0.177172	0.157955	0.0960496	0.124091	0.151879
a90	0.00601125	0.00492207	0.00566108	0.00888637	0.0170312	0.0259696	0.0490399	0.102661	0.198874	0.182016	0.124063	0.13585	0.139014
a98	0.0031065	0.0028335	0.00337829	0.00685133	0.0164208	0.0267511	0.0594591	0.110095	0.196257	0.172545	0.125944	0.13428	0.142078
a47	0.001923	0.00175731	0.00203723	0.00539937	0.0147865	0.0259752	0.0616476	0.0895939	0.141442	0.142987	0.122429	0.165028	0.224994
a37	0.000640748	0.000610602	0.000632299	0.00179978	0.00527983	0.0109925	0.0337316	0.0632435	0.154273	0.15769	0.118465	0.169908	0.282733
a12	0.000650341	0.000436427	0.000396941	0.00062747	0.00169322	0.00435093	0.0163314	0.0460845	0.148816	0.159343	0.144218	0.203069	0.273983
a96	0.000663721	0.000488413	0.000511366	0.000776802	0.00184424	0.00367524	0.0104518	0.0284477	0.118374	0.13992	0.188105	0.254179	0.252563
a88	0.000540802	0.000423446	0.000448466	0.00073065	0.00178189	0.003719	0.0111883	0.0281671	0.088334	0.109154	0.160169	0.27388	0.321464
a71	0.000716173	0.000562349	0.000604896	0.0009649	0.00193555	0.0045508	0.0138449	0.031716	0.0716503	0.0890617	0.143863	0.256744	0.383785
a9	0.0014019	0.00102425	0.000913654	0.00106449	0.00146795	0.0031736	0.00761599	0.0232178	0.0438765	0.0593756	0.114614	0.250611	0.491643
a87	0.00780337	0.00339913	0.00308255	0.00350911	0.00506342	0.00741565	0.015632	0.0471906	0.0915885	0.113749	0.165039	0.246499	0.290029
a23	0.161096	0.0663661	0.0457875	0.0348105	0.03707	0.0378326	0.0542658	0.0771066	0.104558	0.0933474	0.0825975	0.0963502	0.108812
a87	0.0943836	0.0412838	0.023544	0.0181087	0.0275325	0.0282069	0.0398688	0.032208	0.0450931	0.061661	0.090083	0.203588	0.294439
</S>	0.0286792	0.0133759	0.00853139	0.00781958	0.0129954	0.0174932	0.0331447	0.0419284	0.0613983	0.0600856	0.106906	0.234345	0.373297
