 	le	fils	de	nyasoni	est	très	instruit	</S>
a66	0.330409	0.225831	0.163103	0.123555	0.0598889	0.0480533	0.0339376	0.0152212
a87	0.405136	0.222278	0.153388	0.0667202	0.0435768	0.0449058	0.0395317	0.0244638
a23	0.566525	0.259596	0.10793	0.0302396	0.00945129	0.00842338	0.00853907	0.00929576
a13	0.555991	0.280665	0.0907505	0.0322053	0.00978321	0.008728	0.00906967	0.0128075
a53	0.454096	0.261719	0.119297	0.075637	0.0190968	0.0209356	0.021043	0.0281753
a54	0.35983	0.281878	0.167654	0.104782	0.0212755	0.0211001	0.0163771	0.0271043
a6	0.233694	0.243033	0.203735	0.1784	0.0403145	0.0399679	0.0291113	0.031744
a5	0.173374	0.194941	0.213013	0.270044	0.0602162	0.0470466	0.0224785	0.0188871
a61	0.171364	0.16412	0.197697	0.24537	0.102481	0.0688383	0.0314442	0.0186844
a5	0.144256	0.151748	0.222481	0.284301	0.101299	0.053301	0.0260632	0.0165515
a0	0.0654981	0.0733745	0.139596	0.322049	0.191164	0.114848	0.0567413	0.0367281
a75	0.0598494	0.0597614	0.114335	0.367533	0.183311	0.112267	0.057478	0.0454649
a92	0.0153447	0.0188132	0.0377566	0.172198	0.230785	0.228556	0.16201	0.134538
a37	0.0139541	0.0150263	0.0333443	0.181554	0.262635	0.220904	0.142199	0.130384
a21	0.0194781	0.0191517	0.0395351	0.203311	0.268651	0.214996	0.115746	0.119131
a92	0.0156568	0.0166822	0.0270027	0.144015	0.230278	0.242255	0.162756	0.161353
a21	0.00442594	0.00470529	0.00835434	0.0518454	0.195209	0.261409	0.195607	0.278444
a23	0.00790011	0.00842306	0.0143992	0.0710747	0.206871	0.265183	0.193809	0.23234
a75	0.00323101	0.00305707	0.00484688	0.0412355	0.191548	0.248129	0.191925	0.316028
a6	0.00205268	0.00189957	0.0027199	0.0193435	0.127576	0.211397	0.174281	0.460731
a43	0.00202672	0.00182685	0.00266132	0.0211891	0.114385	0.186122	0.160921	0.510868
a96	0.00276395	0.00267028	0.0034127	0.0130945	0.0515315	0.0799866	0.139234	0.707306
a83	0.00140351	0.00141416	0.00183056	0.00876427	0.0417914	0.0692235	0.123828	0.751744
a47	0.000925879	0.000951476	0.00115244	0.00556469	0.0331715	0.0558963	0.100589	0.801749
a62	0.0015421	0.00155393	0.00190365	0.00553679	0.0250231	0.0471397	0.101893	0.815408
a21	0.00109274	0.00104749	0.00111661	0.0030518	0.0206656	0.0485358	0.112183	0.812307
a5	0.000808155	0.000787799	0.000892174	0.00229176	0.016833	0.0460286	0.121104	0.811254
a43	0.000555404	0.000560303	0.000648728	0.00191417	0.0143911	0.0367327	0.0852328	0.859965
a11	0.000846431	0.000912917	0.00113504	0.0038304	0.0216087	0.0401074	0.076478	0.855081
a18	0.0261576	0.0249579	0.0242488	0.0414559	0.0660043	0.0898867	0.136835	0.590454
a9	0.0797665	0.0620607	0.0572635	0.0818215	0.0944827	0.112041	0.127562	0.385003
a10	0.136842	0.0792504	0.0836214	0.0928324	0.0980645	0.108571	0.10764	0.293178
a87	0.228761	0.123383	0.100635	0.0844373	0.0834026	0.0885504	0.0999441	0.190887
a23	0.257026	0.156656	0.108721	0.0581235	0.0695901	0.079728	0.0993885	0.170767
a87	0.139619	0.0821788	0.0516416	0.0201259	0.0384607	0.061117	0.124429	0.482428
a23	0.0509114	0.0239821	0.0175742	0.0118269	0.0430589	0.0730693	0.134827	0.644751
a87	0.102816	0.0562026	0.0412471	0.0268088	0.0741685	0.0972618	0.133719	0.467776
a23	0.0577771	0.0278302	0.0219662	0.0182946	0.0528624	0.0796415	0.138725	0.602903
a87	0.0776885	0.0479084	0.0376446	0.0321444	0.0864413	0.110772	0.141413	0.465988
</S>	0.0842154	0.0395277	0.0283956	0.0178782	0.0429846	0.0699514	0.131373	0.585674
