 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
a85	0.267656	0.188206	0.15557	0.12485	0.0883427	0.063853	0.0419912	0.0352488	0.0342818
a87	0.311536	0.0729928	0.102562	0.116585	0.098805	0.0802602	0.0865468	0.064794	0.0659185
a23	0.21578	0.0797412	0.077211	0.0979791	0.0948484	0.0875863	0.123696	0.104819	0.118338
a94	0.289089	0.0777746	0.0644204	0.069627	0.0550693	0.0614856	0.0919342	0.105669	0.184931
a20	0.3153	0.098095	0.0869483	0.102497	0.0892628	0.0718317	0.0761422	0.0813754	0.0785482
a30	0.205309	0.0787221	0.0891439	0.155327	0.163435	0.102593	0.078196	0.0629728	0.0643009
a35	0.171723	0.131839	0.123532	0.179198	0.17483	0.0906487	0.058525	0.038187	0.0315169
a30	0.164279	0.153675	0.142207	0.176605	0.165305	0.0910946	0.0503159	0.0311722	0.0253459
a2	0.129493	0.184228	0.152176	0.160827	0.143375	0.0926598	0.0543023	0.0451816	0.0377586
a57	0.0795793	0.0995117	0.0791461	0.0969268	0.124174	0.111227	0.0984558	0.133632	0.177348
a38	0.0715932	0.0955416	0.0774556	0.0942106	0.125604	0.123692	0.117866	0.13001	0.164027
a41	0.0921152	0.165335	0.132263	0.132255	0.146067	0.123759	0.0780351	0.0677609	0.0624087
a18	0.137024	0.194607	0.15913	0.140415	0.117234	0.0916622	0.0680623	0.0521464	0.0397194
a94	0.0846749	0.158932	0.140296	0.120476	0.110406	0.0969705	0.0848682	0.0952105	0.108166
a90	0.0654247	0.17323	0.141113	0.103841	0.0962404	0.0969916	0.0934022	0.107378	0.122378
a94	0.0564415	0.15246	0.111168	0.0797399	0.0837408	0.101641	0.124131	0.138015	0.152662
a26	0.0330724	0.0646571	0.0479349	0.0360141	0.0435184	0.0636138	0.115107	0.224575	0.371507
a98	0.011977	0.0219751	0.0193652	0.0140204	0.0190274	0.0315476	0.0780538	0.201826	0.602207
a94	0.00486494	0.00936155	0.00754117	0.00577725	0.012036	0.0251617	0.081849	0.228102	0.625306
a24	0.00238703	0.00442092	0.00380261	0.00279781	0.00667045	0.0170967	0.0652584	0.210163	0.687403
a9	0.00590889	0.00571869	0.00459115	0.00335925	0.00704697	0.0190357	0.0675301	0.199109	0.687701
a87	0.010675	0.0126211	0.0116595	0.00844607	0.0135434	0.0260136	0.0805738	0.216305	0.620162
</S>	0.00610211	0.00897695	0.00941164	0.0089538	0.0187285	0.039828	0.168986	0.294502	0.444511
