 	notre	voyage	est	annulé	</S>
a66	0.452319	0.234048	0.134133	0.109039	0.0704614
a87	0.515557	0.18929	0.104842	0.144677	0.0456347
a23	0.475107	0.243929	0.150365	0.100998	0.0295998
a24	0.470972	0.213201	0.152378	0.120822	0.0426268
a0	0.575161	0.249039	0.102461	0.0468463	0.026493
a93	0.446871	0.278979	0.159227	0.0814292	0.0334932
a0	0.354858	0.281046	0.198922	0.112524	0.0526508
a75	0.232832	0.276605	0.238249	0.168906	0.0834083
a56	0.209652	0.273081	0.222274	0.178983	0.11601
a62	0.222187	0.297425	0.221115	0.16864	0.0906334
a88	0.149283	0.211599	0.226912	0.266476	0.14573
a11	0.0526087	0.115529	0.203442	0.366987	0.261433
a90	0.0354079	0.0911413	0.202431	0.391084	0.279935
a25	0.0475569	0.089276	0.207557	0.355691	0.299919
a92	0.0186825	0.0397606	0.1379	0.335143	0.468514
a56	0.00638286	0.017001	0.0908771	0.313367	0.572372
a37	0.00602713	0.0123829	0.0632539	0.253866	0.66447
a27	0.00196649	0.00317409	0.0214252	0.171717	0.801717
a57	0.0276295	0.0369529	0.06517	0.191255	0.678993
a2	0.129144	0.108489	0.106257	0.21804	0.438069
a57	0.167273	0.1043	0.107259	0.236982	0.384186
a87	0.175983	0.108765	0.114184	0.258121	0.342948
a23	0.123753	0.106531	0.132183	0.297849	0.339684
a87	0.0842384	0.0897916	0.127682	0.319421	0.378867
a23	0.0255006	0.0449329	0.100383	0.339332	0.489852
a87	0.0611448	0.0767102	0.124238	0.332399	0.405508
</S>	0.0291416	0.0443308	0.109301	0.355297	0.461929
