 	la	maladie	de	sa	femme	l'	a	plongé	dans	les	dettes	</S>
a66	0.124679	0.0846191	0.110047	0.0977842	0.0934437	0.12525	0.13458	0.124949	0.0470337	0.0260415	0.0179449	0.0136275
a82	0.0847082	0.0912722	0.0773351	0.0650312	0.0580569	0.103588	0.126568	0.166014	0.0646382	0.0495315	0.052611	0.060645
a10	0.225169	0.149344	0.0905203	0.0456078	0.0439174	0.0897759	0.130294	0.146307	0.0302788	0.0198133	0.0170043	0.011968
a87	0.274372	0.174573	0.103853	0.0453607	0.0433103	0.0814238	0.104666	0.101573	0.024024	0.0179496	0.0171158	0.011779
a97	0.299359	0.171425	0.101778	0.0437853	0.0456207	0.0816428	0.0968113	0.0929009	0.0188431	0.0161134	0.0182833	0.0134366
a82	0.322746	0.182853	0.110752	0.0466524	0.0427682	0.0616569	0.0771383	0.0747466	0.0211947	0.020168	0.0233121	0.0160125
a83	0.252293	0.167355	0.108589	0.0562252	0.0527478	0.0666507	0.0788459	0.0764007	0.030413	0.0331318	0.0422044	0.0351437
a9	0.183512	0.12197	0.0843121	0.0626912	0.0763374	0.0766393	0.0771821	0.0923026	0.0454543	0.0565441	0.0625454	0.0605091
a53	0.0948531	0.0723472	0.0561602	0.0521944	0.0698285	0.0873745	0.0914664	0.129681	0.076975	0.0845875	0.091901	0.0926317
a90	0.1972	0.148699	0.103025	0.0833326	0.0714571	0.05795	0.0528876	0.0662222	0.0415802	0.046337	0.0513314	0.0799771
a93	0.154617	0.14369	0.101072	0.0910917	0.0796356	0.0695685	0.0693239	0.0859927	0.0490476	0.0459366	0.0458767	0.0641476
a75	0.078859	0.0983858	0.0828259	0.0918225	0.0861852	0.0827075	0.0841661	0.102907	0.0695736	0.0650049	0.0654441	0.0921187
a79	0.102573	0.13051	0.109438	0.113055	0.0974194	0.0821508	0.0811421	0.0834292	0.049703	0.0452604	0.04531	0.0600092
a44	0.095941	0.131131	0.116484	0.119704	0.0989801	0.0858018	0.0868333	0.0893582	0.0481476	0.0397412	0.0382033	0.0496744
a54	0.0579536	0.0870482	0.0930292	0.120174	0.111212	0.0990034	0.102438	0.111829	0.0568909	0.0451759	0.0474743	0.0677714
a73	0.0424856	0.066063	0.0860277	0.122371	0.126021	0.119045	0.117266	0.112749	0.0591052	0.0433118	0.0449933	0.0605621
a0	0.047845	0.0681513	0.0871024	0.120096	0.121339	0.12095	0.116174	0.120112	0.0562783	0.038629	0.0407779	0.0625449
a54	0.0117993	0.017683	0.0308941	0.0688613	0.0997164	0.114755	0.110232	0.129417	0.0793316	0.0699928	0.0914893	0.175828
a79	0.0130109	0.0191776	0.0348026	0.0799405	0.118327	0.135743	0.130931	0.129614	0.0886299	0.0708376	0.0730149	0.105971
a44	0.0105697	0.0136318	0.0219068	0.0545759	0.0946178	0.121682	0.114384	0.127009	0.0965142	0.0804866	0.0935866	0.171036
a70	0.00585414	0.0072588	0.0111984	0.032774	0.0698496	0.100766	0.1031	0.133892	0.112706	0.0975271	0.117017	0.208057
a50	0.00318431	0.00450432	0.00644283	0.0193505	0.0433461	0.0691004	0.0684567	0.108843	0.125757	0.129875	0.155827	0.265313
a62	0.00120663	0.00197642	0.00272255	0.0092538	0.022851	0.0421743	0.047367	0.0928196	0.150469	0.158419	0.193096	0.277645
a70	0.000750394	0.00142737	0.00204015	0.00662585	0.0143964	0.0253085	0.0272661	0.0550937	0.122418	0.161312	0.237956	0.345406
a50	0.000753315	0.00135903	0.00203326	0.00711463	0.018877	0.0353492	0.0375407	0.0762766	0.141011	0.17198	0.224336	0.283369
a0	0.000865745	0.00156442	0.00192747	0.00604573	0.0154384	0.0314901	0.0392969	0.0810428	0.158617	0.187128	0.233029	0.243554
a11	0.000417668	0.000720699	0.000983196	0.00360525	0.0109174	0.0254503	0.0337675	0.0644452	0.123972	0.162127	0.257891	0.315702
a93	0.000660582	0.00105795	0.00136946	0.00435656	0.0126997	0.0281373	0.0378662	0.0556809	0.11529	0.154334	0.251674	0.336873
a90	0.000560959	0.000732316	0.000966356	0.00308905	0.0104387	0.0217303	0.0242686	0.0407307	0.0920595	0.160755	0.264206	0.380463
a69	0.000375628	0.000543755	0.000735155	0.002423	0.00760779	0.0154393	0.0166472	0.0290796	0.0723123	0.134055	0.254517	0.466264
a70	0.000216909	0.000307078	0.000384127	0.00117429	0.00417403	0.0102299	0.010767	0.0184314	0.0447186	0.0982046	0.243496	0.567897
a99	0.000636472	0.000854776	0.000979649	0.00246677	0.00580557	0.0114436	0.0151764	0.02549	0.0648102	0.116979	0.253775	0.501583
a50	0.000672501	0.00105581	0.00119379	0.00337853	0.00941659	0.0213669	0.0299382	0.0385871	0.080947	0.122479	0.238591	0.452374
a96	0.00171146	0.00225594	0.00267316	0.00667808	0.0168319	0.0331316	0.0434517	0.0556269	0.100025	0.132558	0.226335	0.378721
a70	0.00154161	0.00203855	0.00233953	0.00594397	0.0169251	0.0340017	0.042755	0.0535499	0.0962172	0.132471	0.225955	0.386261
a99	0.0010029	0.0014932	0.00183041	0.00523553	0.0150381	0.0298947	0.0376128	0.0446474	0.088628	0.125946	0.236203	0.412468
a13	0.00354102	0.00435799	0.0042895	0.00814264	0.0193683	0.0385872	0.0479326	0.0495873	0.0719322	0.106939	0.210201	0.435122
a38	0.00887078	0.00886483	0.00786296	0.0120432	0.0239828	0.0454581	0.0551249	0.0533699	0.0625273	0.0924839	0.199385	0.430026
a9	0.011789	0.0116033	0.0100505	0.0139194	0.0244517	0.0415066	0.0496931	0.0469382	0.0576128	0.0904864	0.196181	0.445768
a3	0.0368111	0.025633	0.0204905	0.0215218	0.0319908	0.058054	0.0698179	0.0744791	0.0658481	0.0873109	0.182652	0.325391
a82	0.0851467	0.0541562	0.0413224	0.0376839	0.0599897	0.122103	0.145768	0.123305	0.0629255	0.0587414	0.0976134	0.111245
a3	0.084195	0.0580083	0.0461878	0.0451263	0.0728775	0.148637	0.174713	0.132326	0.0579672	0.0482283	0.0721963	0.0595373
a82	0.0944178	0.066407	0.0573344	0.056421	0.0823185	0.14344	0.158511	0.124289	0.056581	0.045342	0.063674	0.0512646
a9	0.110389	0.0851757	0.070959	0.0641835	0.0823583	0.117059	0.117195	0.0970315	0.0632871	0.0565057	0.0732307	0.0626257
a97	0.11683	0.0874199	0.0670459	0.062752	0.0849746	0.117741	0.113414	0.0833359	0.0583064	0.0553881	0.0797103	0.0730821
</S>	0.0928699	0.0795393	0.0676958	0.0672953	0.0936823	0.124655	0.114274	0.0766734	0.057979	0.059007	0.0882985	0.0780308
