 	il	est	actuellement	au	village	</S>
a79	0.18406	0.190536	0.175652	0.131082	0.163626	0.155044
a14	0.125777	0.125993	0.119373	0.131944	0.216906	0.280008
a35	0.335226	0.316749	0.18733	0.0735286	0.047173	0.0399936
a26	0.400544	0.318766	0.167551	0.0598349	0.0315119	0.0217922
a35	0.40193	0.307423	0.166156	0.0602499	0.0357603	0.0284803
a14	0.379438	0.289212	0.178237	0.0796104	0.0458873	0.0276152
a30	0.348436	0.25796	0.193836	0.102687	0.0622456	0.0348347
a57	0.295853	0.255497	0.218686	0.117095	0.071863	0.0410068
a87	0.199623	0.164727	0.21264	0.170768	0.139897	0.112345
a79	0.18688	0.164362	0.194328	0.157456	0.165864	0.13111
a20	0.146356	0.142629	0.211851	0.193749	0.182572	0.122844
a14	0.209157	0.223949	0.243473	0.154421	0.103865	0.0651352
a26	0.203013	0.169911	0.192803	0.16004	0.1511	0.123134
a75	0.0864287	0.0812546	0.120669	0.164519	0.259685	0.287444
a76	0.0844348	0.0904922	0.120278	0.168639	0.25691	0.279245
a94	0.0589895	0.069338	0.0939428	0.14654	0.266142	0.365048
a58	0.0353218	0.0346499	0.054664	0.10416	0.276171	0.495033
a84	0.0198362	0.0195422	0.0395266	0.0910967	0.265006	0.564992
a38	0.0110309	0.0107998	0.0240371	0.0701997	0.231274	0.652658
a90	0.0135233	0.0122457	0.0220266	0.0581032	0.232412	0.661689
a4	0.0194863	0.0164722	0.0235015	0.0532792	0.212909	0.674352
a13	0.0196323	0.0160853	0.0237742	0.0583105	0.195462	0.686736
a9	0.0395043	0.0321984	0.040144	0.0753005	0.194151	0.618702
a87	0.0344023	0.0299463	0.0370779	0.0750775	0.195281	0.628215
</S>	0.0192017	0.0187683	0.0288727	0.0687583	0.228987	0.635412
