 	c'	est	un	gros	battant	de	cloche	</S>
a23	0.335392	0.241674	0.132203	0.0933035	0.0764517	0.0445637	0.0440963	0.0323165
a50	0.388975	0.23504	0.113936	0.0895552	0.0648605	0.0341161	0.0326266	0.0408915
a83	0.324169	0.292913	0.163717	0.106094	0.0486297	0.0216635	0.0201139	0.0227011
a18	0.373157	0.306292	0.167175	0.0784758	0.0430241	0.0112015	0.0112439	0.00943043
a62	0.313999	0.281962	0.189247	0.0964701	0.0714637	0.0195342	0.0147194	0.0126039
a88	0.273382	0.263186	0.205176	0.111008	0.0930974	0.0253221	0.0165226	0.0123058
a62	0.167973	0.200691	0.211088	0.158286	0.159851	0.0471006	0.0314797	0.0235314
a47	0.0867511	0.116051	0.156972	0.190922	0.255562	0.0894267	0.0613174	0.0429983
a18	0.0935931	0.124638	0.162321	0.197866	0.250597	0.0825267	0.0547212	0.0337354
a0	0.048067	0.0718224	0.115726	0.186285	0.264635	0.140034	0.0931053	0.0803251
a24	0.04524	0.0724038	0.119575	0.197	0.246963	0.140037	0.0839073	0.0948741
a21	0.0367793	0.0525223	0.0903869	0.187264	0.277159	0.188851	0.110853	0.0561846
a5	0.0933865	0.113674	0.137191	0.184363	0.188752	0.134031	0.104341	0.0442626
a61	0.100442	0.111854	0.111347	0.132126	0.174563	0.153901	0.146287	0.0694799
a62	0.0584682	0.0681078	0.0798472	0.130225	0.19906	0.202693	0.184292	0.0773062
a96	0.0237208	0.027713	0.0361338	0.0770539	0.15552	0.257029	0.319675	0.103154
a93	0.0317085	0.03837	0.046234	0.0825677	0.140858	0.247832	0.288358	0.124071
a90	0.0217614	0.0238746	0.0273534	0.0505757	0.10256	0.227676	0.372947	0.173251
a56	0.0148898	0.0156569	0.0175527	0.0323192	0.0644936	0.166624	0.433037	0.255426
a32	0.0124284	0.0139255	0.0166013	0.0285701	0.0523253	0.151567	0.439333	0.28525
a75	0.00448211	0.00519898	0.00712873	0.0165281	0.0336833	0.102729	0.396969	0.433281
a98	0.00853536	0.0092627	0.0104707	0.0169575	0.0265449	0.078986	0.353632	0.495611
a79	0.00602967	0.00620139	0.00706222	0.0117705	0.0208433	0.0606693	0.357412	0.530011
a56	0.00412465	0.00425262	0.00542579	0.0107296	0.0216164	0.0698972	0.346649	0.537304
a93	0.00307558	0.0034737	0.00458394	0.00915214	0.0163585	0.054641	0.307716	0.600999
a70	0.0015652	0.00185822	0.00267656	0.00581767	0.0111153	0.0425016	0.237718	0.696748
a30	0.00107477	0.00111311	0.00148299	0.00325697	0.00571571	0.0241766	0.159776	0.803404
a70	0.00497879	0.0038764	0.00316774	0.00532768	0.00606262	0.0383615	0.215048	0.723177
a75	0.00138396	0.00118098	0.00116561	0.00216825	0.00271779	0.0157956	0.145695	0.829892
a21	0.000460718	0.000536332	0.000764089	0.00185075	0.00337982	0.0169874	0.141361	0.83466
a31	0.000609944	0.000701314	0.000939536	0.00203176	0.00330416	0.017448	0.155582	0.819384
a62	0.00118264	0.00112409	0.00126592	0.00241993	0.00364096	0.0180052	0.135792	0.836569
a21	0.000852072	0.00084682	0.000983072	0.00179239	0.00282638	0.0135261	0.105772	0.873401
a12	0.0011923	0.00116789	0.00132851	0.00234453	0.0047643	0.0226547	0.166034	0.800514
a88	0.00138679	0.00136465	0.00146256	0.00226599	0.00401429	0.0179298	0.131041	0.840535
a47	0.00183831	0.00176681	0.00196007	0.00290731	0.00404855	0.0171642	0.123484	0.84683
a62	0.00523163	0.00452633	0.00401599	0.0057414	0.00650371	0.0296083	0.178562	0.765811
a12	0.000742928	0.000756638	0.000936373	0.00162503	0.0028232	0.0123998	0.101936	0.87878
a18	0.00176883	0.00174557	0.00181948	0.00260053	0.0039428	0.0157772	0.110591	0.861755
a25	0.00367598	0.00345535	0.00361869	0.00602338	0.00692129	0.0254144	0.164055	0.786836
a10	0.00941369	0.00767148	0.00668965	0.0101053	0.0107744	0.0484906	0.21918	0.687675
a87	0.0682053	0.0536242	0.041584	0.0464581	0.0427105	0.0914202	0.220182	0.435815
a23	0.174967	0.153249	0.107945	0.083473	0.0501179	0.0714367	0.126248	0.232563
a87	0.0487668	0.0387417	0.0304751	0.0292513	0.030665	0.0849838	0.250887	0.486229
</S>	0.0102869	0.00805125	0.00660502	0.0108984	0.0203017	0.0749392	0.267201	0.601716
