 	il	l'	a	rangé	au-dessous	</S>
a23	0.343059	0.168785	0.0826109	0.0618138	0.110975	0.232757
a85	0.337846	0.190159	0.104712	0.0798653	0.110345	0.177073
a87	0.230656	0.132321	0.0822889	0.0963387	0.18956	0.268836
a23	0.322242	0.200411	0.087055	0.0718516	0.140523	0.177918
a79	0.147938	0.144683	0.0858805	0.0942706	0.225302	0.301926
a20	0.214291	0.163475	0.112389	0.116208	0.187993	0.205644
a14	0.323461	0.285219	0.172452	0.112637	0.0653212	0.0409092
a36	0.294919	0.315506	0.21132	0.107428	0.0470611	0.0237669
a2	0.284852	0.289658	0.204458	0.125235	0.0620586	0.0337392
a38	0.187224	0.208146	0.232867	0.193713	0.11353	0.064521
a41	0.218376	0.234791	0.228323	0.166422	0.0988654	0.0532222
a94	0.234951	0.209931	0.188057	0.171418	0.122561	0.0730807
a76	0.166448	0.163407	0.186037	0.211284	0.168171	0.104653
a90	0.0829975	0.0857806	0.124503	0.239205	0.262227	0.205286
a38	0.0657856	0.0735484	0.111558	0.20811	0.28896	0.252038
a11	0.0184396	0.0214709	0.0390922	0.151711	0.351578	0.417708
a62	0.0135188	0.016231	0.0303904	0.134126	0.358148	0.447586
a12	0.0187623	0.0232946	0.0423052	0.139183	0.320754	0.455701
a98	0.00989117	0.0128677	0.028872	0.130572	0.322832	0.494964
a71	0.0170585	0.0256789	0.0601004	0.18322	0.279001	0.43494
a9	0.0101597	0.0144485	0.0283704	0.116938	0.286578	0.543505
a87	0.0138965	0.0192425	0.0299322	0.0766264	0.235259	0.625044
</S>	0.00522947	0.00587402	0.00896482	0.0278047	0.178861	0.773265
