 	cet	homme	est	bossu	</S>
a87	0.514777	0.200537	0.12461	0.0914407	0.0686351
a23	0.495761	0.200756	0.124688	0.0919186	0.0868769
a87	0.471622	0.258702	0.130105	0.0720543	0.0675164
a23	0.418352	0.272246	0.153631	0.0839617	0.0718086
a11	0.504634	0.243356	0.116358	0.0751958	0.0604567
a93	0.542134	0.264298	0.108297	0.049509	0.0357617
a56	0.347376	0.295816	0.180554	0.0928776	0.0833755
a90	0.323869	0.297457	0.192288	0.100066	0.0863194
a98	0.189467	0.253862	0.250689	0.165317	0.140665
a41	0.197062	0.244579	0.24334	0.172992	0.142028
a18	0.204215	0.250507	0.24343	0.166014	0.135833
a21	0.1324	0.171803	0.239768	0.229341	0.226689
a92	0.139462	0.165994	0.239559	0.24663	0.208355
a96	0.0958601	0.107425	0.162127	0.281306	0.353282
a44	0.0644725	0.0790444	0.140299	0.293017	0.423167
a94	0.0545774	0.0712222	0.13179	0.280874	0.461536
a56	0.037515	0.0483046	0.0985765	0.267853	0.547751
a61	0.0288927	0.0325051	0.0671206	0.231496	0.639985
a12	0.024515	0.0274819	0.0563588	0.214963	0.676681
a88	0.0268882	0.0303665	0.0609985	0.211241	0.670506
a9	0.036889	0.0485358	0.10309	0.268895	0.54259
a87	0.17024	0.101052	0.114145	0.190753	0.423811
a23	0.242269	0.159123	0.147973	0.175007	0.275628
a9	0.10789	0.097797	0.120911	0.226809	0.446593
a87	0.0517933	0.0563841	0.102161	0.270111	0.519551
</S>	0.0665026	0.0778004	0.131459	0.271558	0.45268
