 	attends-moi	j'	arrive	</S>
a23	0.321701	0.232024	0.196792	0.249482
a87	0.296608	0.253938	0.207545	0.24191
a23	0.339464	0.295733	0.194983	0.16982
a87	0.303491	0.296436	0.21711	0.182962
a23	0.367371	0.289271	0.186886	0.156472
a32	0.290017	0.294706	0.209521	0.205756
a24	0.518277	0.282534	0.109639	0.089551
a41	0.54577	0.283992	0.100399	0.0698399
a35	0.314639	0.30143	0.19436	0.189571
a41	0.415121	0.311037	0.152103	0.121739
a94	0.32377	0.317741	0.187956	0.170532
a75	0.264622	0.284385	0.218466	0.232526
a41	0.193326	0.226939	0.246155	0.333581
a43	0.139481	0.21009	0.264239	0.38619
a24	0.0604018	0.122763	0.273786	0.543049
a50	0.0342628	0.0954382	0.263047	0.607252
a24	0.0545331	0.103575	0.236763	0.605129
a94	0.0469137	0.104074	0.236356	0.612656
a73	0.0508159	0.102168	0.232372	0.614644
a84	0.0475242	0.104491	0.252276	0.595709
a57	0.0361325	0.0972753	0.232355	0.634237
a87	0.0499824	0.102165	0.223852	0.624001
a23	0.0692104	0.123373	0.234794	0.572622
a87	0.198256	0.193278	0.223549	0.384916
</S>	0.0327123	0.0806008	0.239065	0.647622
