 	il	dit	aux	hommes	de	venir	</S>
a10	0.219819	0.172272	0.143094	0.123571	0.140875	0.116277	0.0840923
a87	0.225452	0.131834	0.192671	0.1696	0.139426	0.0905435	0.0504736
a23	0.328367	0.151829	0.116725	0.0855321	0.0850335	0.118367	0.114147
a30	0.249067	0.109501	0.140997	0.113365	0.108271	0.123888	0.154911
a53	0.280472	0.185189	0.159116	0.109911	0.0819936	0.0773658	0.105953
a20	0.386322	0.231002	0.157152	0.0870674	0.0502856	0.0392186	0.0489523
a30	0.431162	0.285266	0.149359	0.0616738	0.0291341	0.0195213	0.0238833
a57	0.339597	0.33566	0.202177	0.0759572	0.026615	0.0104395	0.00955436
a87	0.223427	0.253794	0.212158	0.136087	0.077853	0.0435512	0.0531293
a40	0.167323	0.179237	0.168759	0.13809	0.144124	0.0928356	0.109632
a30	0.26247	0.21463	0.199192	0.145397	0.0890325	0.0463402	0.0429382
a32	0.286048	0.264022	0.218719	0.123379	0.0588284	0.0279573	0.0210465
a11	0.200971	0.210198	0.230983	0.170184	0.100973	0.0491735	0.0375163
a75	0.157713	0.170314	0.217279	0.194099	0.140119	0.0675402	0.0529368
a41	0.128909	0.141078	0.180621	0.176833	0.148917	0.114161	0.109481
a24	0.0901143	0.110071	0.158448	0.180505	0.184977	0.145412	0.130473
a62	0.0336258	0.0343978	0.0524302	0.0977175	0.228679	0.281999	0.27115
a26	0.0257556	0.0222201	0.0274524	0.0451935	0.150509	0.314215	0.414655
a75	0.0260178	0.0251068	0.0338631	0.0524287	0.145455	0.301658	0.415471
a14	0.0222713	0.0234551	0.0348917	0.0611077	0.170736	0.301201	0.386338
a44	0.0105249	0.0117758	0.0210018	0.0397832	0.131101	0.314252	0.471561
a57	0.0182676	0.0171827	0.0263852	0.0386904	0.101885	0.293738	0.503852
a98	0.00335735	0.00316779	0.00576543	0.0121811	0.0668612	0.276579	0.632088
a14	0.004549	0.0040842	0.00709391	0.0156175	0.0764642	0.282771	0.60942
a35	0.00509166	0.00570318	0.0117824	0.027027	0.0970577	0.304955	0.548383
a24	0.00485324	0.00448551	0.00840433	0.0168717	0.0642353	0.302863	0.598287
a98	0.00215375	0.00201747	0.00360532	0.00690289	0.0298559	0.231562	0.723903
a25	0.0022129	0.00202614	0.00372507	0.00836244	0.0371636	0.264681	0.681829
a40	0.00260044	0.00177415	0.00288016	0.00604482	0.0313054	0.235931	0.719464
a30	0.00820085	0.00517351	0.00871891	0.01344	0.0442489	0.231875	0.688343
a41	0.0022451	0.00146634	0.00291293	0.00635535	0.033001	0.241593	0.712427
a24	0.00283291	0.0017246	0.00321863	0.00610404	0.0308442	0.246368	0.708908
a62	0.00368703	0.0020775	0.003549	0.00581547	0.0241929	0.211163	0.749515
a41	0.00270063	0.00168323	0.00292825	0.00466598	0.0190039	0.180303	0.788715
a30	0.00270892	0.00181582	0.00453216	0.00976397	0.0435238	0.256386	0.68127
a57	0.00287148	0.00170179	0.00400871	0.00905833	0.0476768	0.248141	0.686542
a87	0.0207972	0.0126532	0.0222697	0.0291018	0.0561484	0.235954	0.623076
a23	0.0138773	0.0106143	0.0156651	0.0232763	0.0737305	0.295815	0.567021
a87	0.0248913	0.0198243	0.0293596	0.0402693	0.0923759	0.275924	0.517356
</S>	0.0111327	0.00890808	0.017926	0.0338794	0.0985624	0.297977	0.531615
