 	cet	homme	a	cueilli	des	fruits	sauvages	</S>
a66	0.562399	0.241135	0.101012	0.034424	0.018469	0.0135587	0.0133065	0.0156963
a87	0.468032	0.249478	0.125217	0.0550541	0.0304096	0.0192607	0.0214468	0.0311013
a23	0.589833	0.264944	0.0644706	0.0146806	0.0135664	0.0125567	0.0153962	0.0245529
a71	0.55477	0.23803	0.0589769	0.0132603	0.0131464	0.0235782	0.0361819	0.0620557
a54	0.270566	0.141089	0.0848372	0.0521405	0.0416698	0.0912813	0.130376	0.188041
a47	0.17003	0.187473	0.151077	0.0975419	0.0817816	0.116593	0.101421	0.0940823
a6	0.113828	0.148096	0.176818	0.192742	0.107759	0.10407	0.0783737	0.0783135
a36	0.110541	0.129162	0.172142	0.212845	0.120708	0.10075	0.0736625	0.0801892
a31	0.0901158	0.125364	0.196908	0.27229	0.113763	0.072332	0.0591628	0.0700645
a88	0.129153	0.179314	0.268191	0.242575	0.0662415	0.0348288	0.0350966	0.0446006
a38	0.0481104	0.0622592	0.134256	0.294316	0.150339	0.0948392	0.0970327	0.118848
a88	0.044794	0.0471892	0.0866923	0.262527	0.204926	0.125967	0.11299	0.114914
a71	0.0270759	0.0283606	0.0492319	0.151638	0.198447	0.202956	0.18159	0.1607
a90	0.0235079	0.0199267	0.0281564	0.0900184	0.149265	0.218495	0.244399	0.22623
a25	0.0193336	0.0162749	0.0203693	0.0481794	0.139942	0.246948	0.263075	0.245878
a15	0.0025086	0.00204762	0.0029449	0.0112474	0.0559424	0.194326	0.336266	0.394717
a0	0.00164681	0.00116061	0.00121236	0.00377035	0.0202351	0.099797	0.311069	0.561108
a44	0.00179276	0.00101142	0.00080487	0.0015658	0.00910776	0.0549869	0.252675	0.678055
a4	0.00143277	0.00100264	0.000992519	0.00213669	0.0120678	0.0626734	0.258663	0.661031
a13	0.00123107	0.000844192	0.00101059	0.00288492	0.0174467	0.0808433	0.263692	0.632047
a57	0.00237512	0.00176806	0.00223256	0.00656339	0.031822	0.114368	0.283496	0.557374
a3	0.0191115	0.0140843	0.0136988	0.0256603	0.064085	0.128201	0.256845	0.478314
a87	0.309846	0.142426	0.0777415	0.0589191	0.0771317	0.0919907	0.108708	0.133237
a23	0.453807	0.223175	0.104115	0.0602632	0.0430267	0.0365263	0.0377913	0.0412947
a87	0.343858	0.184129	0.0706782	0.0331975	0.0488584	0.0723177	0.110897	0.136065
</S>	0.0449579	0.0281486	0.0168443	0.0178535	0.0401538	0.107531	0.270743	0.473768
