 	mon	père	a	déjà	des	cheveux	blancs	</S>
a66	0.371454	0.23009	0.128291	0.107441	0.076714	0.0409834	0.0258405	0.0191859
a87	0.296633	0.168846	0.127621	0.129923	0.100483	0.069633	0.0534675	0.0533932
a97	0.386126	0.191147	0.0921984	0.0671925	0.0499713	0.057784	0.0693612	0.0862189
a87	0.368458	0.233384	0.124395	0.0969303	0.0492384	0.0350257	0.0381717	0.0543968
a97	0.33733	0.234595	0.130374	0.0957686	0.0459155	0.0391725	0.0467273	0.0701166
a99	0.353803	0.223578	0.138925	0.108688	0.0475775	0.0346515	0.0387226	0.0540538
a97	0.365555	0.235274	0.141642	0.0919527	0.0426967	0.0328358	0.0370568	0.0529869
a99	0.362738	0.233408	0.146507	0.0986551	0.0407636	0.0306273	0.0355008	0.0518004
a97	0.385876	0.242719	0.147548	0.0857831	0.038933	0.0264163	0.029177	0.0435476
a75	0.393957	0.228582	0.151462	0.0918294	0.0390937	0.0268672	0.0289625	0.039246
a47	0.333643	0.276875	0.185196	0.0832945	0.0338421	0.0227934	0.0260737	0.0382816
a37	0.28094	0.277033	0.226861	0.113536	0.0362649	0.0190334	0.0200278	0.0263035
a85	0.150299	0.184575	0.250085	0.220238	0.0962172	0.0389959	0.0301803	0.0294105
a6	0.112	0.15585	0.259144	0.239623	0.119938	0.0467474	0.0346782	0.0320197
a92	0.135285	0.16239	0.246434	0.209537	0.111066	0.0550714	0.0415819	0.0386351
a21	0.0917713	0.129404	0.20483	0.200628	0.139479	0.0896341	0.0730263	0.0712279
a5	0.0843216	0.0992046	0.123867	0.168156	0.175967	0.140461	0.108481	0.0995411
a37	0.0386406	0.0502041	0.0711545	0.128169	0.171075	0.174851	0.173739	0.192167
a61	0.0187871	0.0243393	0.0331125	0.0693526	0.142155	0.219606	0.241381	0.251267
a24	0.00650627	0.00806539	0.0110632	0.0274754	0.0831418	0.213974	0.305587	0.344187
a83	0.00381425	0.00446762	0.00771712	0.0203923	0.0659622	0.197427	0.299655	0.400564
a71	0.00215367	0.00248658	0.0043385	0.0115048	0.0392944	0.148756	0.277878	0.513588
a9	0.00356415	0.00352874	0.00531443	0.010926	0.038935	0.140141	0.271225	0.526365
a97	0.0197799	0.0184082	0.0189607	0.0235461	0.0564374	0.153164	0.258337	0.451367
a99	0.105613	0.0606888	0.0370008	0.0361804	0.0593789	0.13553	0.209738	0.355871
a3	0.153384	0.0860546	0.0514529	0.0473847	0.0592323	0.116519	0.184727	0.301246
a97	0.114536	0.0689608	0.0475223	0.0547665	0.0705107	0.115533	0.187482	0.340689
a99	0.100428	0.061227	0.0466487	0.0596997	0.0746396	0.118426	0.18919	0.349741
a97	0.0338175	0.022322	0.0224997	0.0342953	0.0566748	0.130231	0.244865	0.455295
</S>	0.0440754	0.0304397	0.0310945	0.0465199	0.0615374	0.113659	0.214141	0.458533
