 	le	marchand	est	arrivé	au	village	avec	un	ballot	d'	etoffe	</S>
a79	0.289852	0.140658	0.084166	0.0591797	0.057659	0.04899	0.04739	0.0465847	0.043794	0.0602231	0.0563226	0.065181
a90	0.265233	0.103826	0.0641604	0.0473121	0.0509364	0.0578854	0.0644963	0.0515472	0.0605163	0.0798007	0.0762626	0.0780237
a4	0.236082	0.100429	0.077479	0.0873591	0.0916046	0.0817279	0.0883219	0.0559712	0.0352702	0.0488782	0.0446572	0.0522195
a57	0.471946	0.154986	0.0840455	0.0606989	0.0385066	0.0327321	0.0326394	0.0212587	0.0182119	0.0228648	0.0279006	0.0342094
a32	0.480217	0.185623	0.0980864	0.0663494	0.0365596	0.0268386	0.0253401	0.0148958	0.0124403	0.0152548	0.0178642	0.0205306
a62	0.297903	0.180047	0.126581	0.0953098	0.0589777	0.0464642	0.044055	0.0306963	0.0266647	0.0290338	0.0315873	0.0326803
a24	0.227675	0.181058	0.143121	0.111108	0.0708935	0.0567335	0.0518979	0.034726	0.0296153	0.0297936	0.0323021	0.0310756
a98	0.0860153	0.110242	0.138729	0.143072	0.108358	0.0952492	0.0888	0.0583658	0.0504911	0.04169	0.0414852	0.037502
a24	0.0722157	0.0980569	0.115631	0.126645	0.10767	0.104145	0.101735	0.0727648	0.0633176	0.0480192	0.047452	0.0423484
a41	0.0537429	0.06818	0.0790994	0.096768	0.107812	0.116269	0.122401	0.0973673	0.0860407	0.0641582	0.0585538	0.0496076
a24	0.0683346	0.0713067	0.0718954	0.0846403	0.107668	0.120154	0.124187	0.0993956	0.0851144	0.0610221	0.055507	0.0507741
a41	0.0400251	0.0470772	0.0511875	0.0649768	0.0905629	0.108737	0.126471	0.118649	0.109691	0.0920324	0.0832905	0.0673003
a0	0.043656	0.0418613	0.0427338	0.049134	0.0734328	0.0931929	0.118398	0.122864	0.114866	0.102655	0.0938846	0.103322
a30	0.0317794	0.0277196	0.0283704	0.0325326	0.0530657	0.0749083	0.0992753	0.125101	0.131135	0.137418	0.132668	0.126027
a41	0.0186054	0.0152885	0.0188598	0.0247431	0.0471527	0.0678182	0.096181	0.126116	0.134347	0.163096	0.1519	0.135892
a24	0.0143719	0.0119333	0.0172056	0.0217372	0.0444168	0.0607602	0.0863163	0.115406	0.127241	0.170712	0.168753	0.161147
a21	0.0108944	0.00840784	0.0111261	0.0134496	0.0258801	0.0384712	0.0561279	0.101799	0.127821	0.179362	0.207828	0.218833
a5	0.0165426	0.0145528	0.0182698	0.0229343	0.0374469	0.0493242	0.0650909	0.110794	0.127861	0.1711	0.180922	0.185163
a96	0.0143254	0.0129442	0.0151563	0.0179144	0.0266267	0.0329438	0.0429138	0.0757712	0.0985979	0.164638	0.209752	0.288416
a56	0.0103339	0.0104294	0.0113992	0.0119288	0.0171585	0.0223746	0.0317062	0.0559045	0.080449	0.146123	0.218653	0.38354
a98	0.0123937	0.0120954	0.0140864	0.0154625	0.0218483	0.0276602	0.0391508	0.0638574	0.0791126	0.148845	0.20215	0.363338
a71	0.00435667	0.00337552	0.00439879	0.00552039	0.0101661	0.0140305	0.019857	0.0391835	0.0661042	0.160622	0.249485	0.4229
a82	0.00421235	0.00477125	0.00547448	0.00638661	0.0125292	0.0183026	0.0292624	0.0574405	0.0823874	0.156753	0.224376	0.398104
a38	0.00341947	0.0037775	0.00420228	0.00438108	0.00793886	0.00995506	0.0130563	0.0372847	0.084592	0.170178	0.239211	0.422004
a90	0.00173465	0.00124483	0.00140672	0.00160841	0.00387395	0.00586331	0.00869497	0.020299	0.0561827	0.149428	0.253991	0.495672
a35	0.00258482	0.00172052	0.00206363	0.00243329	0.00554024	0.00855651	0.0119454	0.0214408	0.0458893	0.143352	0.239351	0.515123
a98	0.00334057	0.0020518	0.00252677	0.00309002	0.00680175	0.0100865	0.0139	0.0250311	0.048698	0.151291	0.236832	0.49635
a14	0.00357082	0.00243416	0.00344043	0.00473818	0.0102177	0.0151756	0.0208863	0.0400434	0.0642205	0.172305	0.240844	0.422124
a73	0.00376614	0.00251864	0.00372589	0.00403471	0.00779278	0.0104704	0.0142427	0.0259153	0.0450525	0.145874	0.242167	0.494441
a44	0.00305056	0.00210763	0.00307667	0.00324365	0.00682867	0.00915896	0.0124011	0.0209551	0.0434167	0.13897	0.247381	0.50941
a84	0.00172387	0.00126932	0.0016463	0.00184369	0.00392904	0.0058868	0.00861083	0.0141713	0.0311598	0.116418	0.228459	0.584882
a38	0.00324943	0.00255282	0.00338111	0.00341909	0.00745269	0.00998604	0.012965	0.0238871	0.0575176	0.147969	0.232321	0.495298
a82	0.00341569	0.00205798	0.00221611	0.00223091	0.00542135	0.00899333	0.0130918	0.0263621	0.0692912	0.158882	0.242891	0.465148
a53	0.00471097	0.00264103	0.00314301	0.00367068	0.0081855	0.013083	0.0175993	0.0346284	0.0774825	0.157078	0.225581	0.452197
a13	0.00416277	0.00229413	0.00226944	0.00247043	0.00602455	0.00959498	0.0131951	0.0250096	0.0610641	0.146317	0.230478	0.49712
