 	les	bananes	sont	pleines	</S>
a23	0.266337	0.129407	0.140842	0.212831	0.250584
a85	0.52373	0.184472	0.0916951	0.0671623	0.13294
a87	0.323026	0.159419	0.125236	0.143737	0.248582
a23	0.479698	0.169459	0.0813905	0.0935458	0.175906
a40	0.354331	0.146388	0.0896952	0.150465	0.259121
a73	0.363083	0.216854	0.170133	0.135128	0.114802
a2	0.460427	0.295606	0.139898	0.0565854	0.0474847
a82	0.407182	0.311886	0.155803	0.0687678	0.0563614
a53	0.310545	0.274759	0.183068	0.114464	0.117164
a76	0.25479	0.223531	0.206665	0.161754	0.15326
a69	0.305876	0.254292	0.209782	0.127893	0.102157
a58	0.306225	0.251176	0.205547	0.124782	0.11227
a82	0.272263	0.258399	0.245793	0.125407	0.0981373
a87	0.199283	0.204319	0.263666	0.187647	0.145086
a23	0.252967	0.253239	0.248995	0.15128	0.0935188
a2	0.244026	0.24558	0.24193	0.135327	0.133137
a20	0.256927	0.227514	0.233437	0.160393	0.12173
a73	0.175239	0.182207	0.212445	0.210149	0.21996
a32	0.174737	0.185784	0.235946	0.219852	0.183681
a54	0.118889	0.135138	0.21064	0.27837	0.256963
a41	0.103054	0.121913	0.22093	0.269781	0.284322
a73	0.0708294	0.10597	0.224934	0.310189	0.288078
a44	0.0309476	0.0513128	0.158213	0.367671	0.391856
a26	0.0274683	0.0393503	0.107497	0.362232	0.463453
a4	0.0151774	0.0205477	0.0651505	0.323059	0.576065
a24	0.0200111	0.0263369	0.0676144	0.311952	0.574086
a0	0.0149987	0.021875	0.0525078	0.275186	0.635432
a24	0.028673	0.031683	0.0612859	0.250693	0.627665
a9	0.0292876	0.032406	0.0614332	0.236421	0.640452
a10	0.00625598	0.00814607	0.0234155	0.187181	0.775001
a87	0.00558186	0.00665551	0.015804	0.141461	0.830498
</S>	0.0170907	0.021318	0.0405279	0.171373	0.74969
