 	cet	homme	ensorcele	les	autres	dans	ce	quartier	</S>
a66	0.221172	0.198239	0.134486	0.166358	0.118757	0.0833598	0.0443903	0.0198681	0.0133706
a87	0.450589	0.236813	0.0902849	0.0588701	0.0614077	0.0441694	0.0288716	0.0172918	0.011703
a23	0.486668	0.346119	0.0766016	0.0288666	0.0140949	0.0119429	0.0113402	0.0146019	0.00976467
a13	0.47941	0.297486	0.0812558	0.0370091	0.0239809	0.0195628	0.018598	0.0235453	0.0191522
a70	0.363013	0.23655	0.151853	0.0916818	0.0419964	0.0369227	0.030501	0.0226656	0.0248168
a93	0.403389	0.305934	0.172531	0.0614832	0.0231665	0.0150091	0.00858929	0.00517339	0.0047247
a90	0.297896	0.314618	0.201303	0.0825419	0.0431765	0.0284307	0.0147027	0.00935617	0.00797528
a98	0.233111	0.242202	0.206917	0.117579	0.0819956	0.0607194	0.0277895	0.0149474	0.0147391
a85	0.137615	0.165499	0.166825	0.15078	0.132712	0.127493	0.0612177	0.0310419	0.0268165
a47	0.112247	0.131361	0.137051	0.156584	0.161837	0.16091	0.0722434	0.0378402	0.0299263
a92	0.0873772	0.0974439	0.111788	0.133078	0.161948	0.168597	0.0975133	0.0746346	0.0676191
a79	0.0803725	0.0820696	0.0860023	0.120087	0.170385	0.190444	0.106626	0.0881505	0.0758637
a98	0.0497222	0.0733197	0.126862	0.140675	0.165539	0.172482	0.0999215	0.0936479	0.0778303
a47	0.0180183	0.0272066	0.0646601	0.123771	0.181696	0.208999	0.147293	0.118513	0.109844
a36	0.0157916	0.025489	0.0753588	0.133028	0.160931	0.148519	0.123369	0.151378	0.166136
a37	0.0167704	0.0221579	0.0469042	0.121029	0.154718	0.142027	0.113348	0.199608	0.183437
a75	0.0225308	0.024717	0.0404656	0.0932889	0.139924	0.133889	0.129771	0.208787	0.206627
a5	0.00633251	0.0063923	0.0114536	0.0491267	0.10924	0.128607	0.170525	0.27617	0.242153
a43	0.00730299	0.00699607	0.00753603	0.0262739	0.0643658	0.0865099	0.162314	0.365655	0.273046
a61	0.0056021	0.00527158	0.00682452	0.0156364	0.030491	0.0416403	0.108866	0.374198	0.41147
a88	0.00450366	0.00390909	0.00355248	0.00860162	0.0182469	0.0301871	0.0935681	0.387703	0.449728
a0	0.00741988	0.00659967	0.00742442	0.0169612	0.0195026	0.0313403	0.0905852	0.322715	0.497451
a47	0.0473438	0.029659	0.029907	0.0440469	0.0420739	0.0545829	0.10066	0.273256	0.378471
a61	0.00314803	0.00356293	0.00531597	0.0187504	0.0249928	0.0476552	0.136164	0.294536	0.465875
a75	0.000543613	0.000517084	0.000773397	0.00300873	0.00589971	0.0154402	0.0727756	0.328178	0.572863
a85	0.000264066	0.000224779	0.000366572	0.00109468	0.00223603	0.00493997	0.0339967	0.358182	0.598695
a5	0.000272689	0.000279374	0.000491014	0.00125089	0.00219345	0.00398771	0.0236788	0.338706	0.62914
a18	0.000201237	0.000159932	0.000205457	0.000579506	0.00123707	0.00335476	0.0333124	0.374037	0.586913
a25	0.013457	0.00764993	0.00745149	0.016687	0.0229813	0.0483453	0.137052	0.335724	0.410652
a87	0.0634686	0.0266611	0.0205416	0.029587	0.0396084	0.0659953	0.13058	0.286365	0.337193
a23	0.123843	0.0421582	0.0203328	0.0240994	0.0383207	0.0539545	0.110691	0.275517	0.311082
a87	0.0494703	0.015425	0.00647946	0.009095	0.0240003	0.039406	0.104882	0.359169	0.392073
</S>	0.00692424	0.00263636	0.00137085	0.00280591	0.00708135	0.0137968	0.0685406	0.428001	0.468843
