 	le	bras	est	cassé	</S>
a87	0.431802	0.221869	0.133617	0.101023	0.111689
a79	0.302134	0.175306	0.150389	0.174441	0.19773
a5	0.501296	0.230587	0.127212	0.0730855	0.0678199
a66	0.412241	0.241931	0.159342	0.100672	0.0858138
a75	0.494885	0.297697	0.133398	0.0463707	0.0276499
a96	0.342167	0.285066	0.201231	0.0995044	0.0720314
a62	0.1641	0.235412	0.268167	0.195292	0.137029
a88	0.0649785	0.114588	0.211036	0.305075	0.304322
a38	0.0456466	0.0939166	0.200227	0.314329	0.345881
a11	0.0298605	0.0590538	0.140342	0.311191	0.459553
a56	0.028274	0.0572624	0.134622	0.303503	0.476339
a34	0.0127779	0.0304827	0.0899375	0.285578	0.581224
a36	0.0153536	0.0285987	0.0736343	0.254926	0.627487
a2	0.0181972	0.0339974	0.0881922	0.259024	0.600589
a57	0.0746209	0.0674661	0.103785	0.246039	0.508089
a87	0.225761	0.17631	0.164709	0.205101	0.228119
a23	0.266615	0.182346	0.164114	0.179753	0.207172
a87	0.133638	0.13813	0.161513	0.255527	0.311192
a97	0.0332996	0.0759033	0.142856	0.297404	0.450537
a99	0.0368264	0.069746	0.127701	0.270152	0.495575
a87	0.0496826	0.09252	0.154787	0.284475	0.418536
</S>	0.0807265	0.130765	0.183725	0.26852	0.336263
