 	cette	plaie	me	brûle	beaucoup	</S>
a23	0.397544	0.176572	0.132848	0.122024	0.0920805	0.0789312
a87	0.44685	0.196906	0.151303	0.0966186	0.061819	0.0465028
a23	0.338384	0.202237	0.168085	0.125742	0.0890834	0.0764671
a79	0.513292	0.188528	0.110831	0.0658178	0.0593596	0.0621717
a20	0.547606	0.174171	0.0936578	0.0735151	0.0616056	0.0494448
a94	0.492795	0.245819	0.130743	0.0667478	0.038684	0.0252112
a35	0.400784	0.253623	0.175042	0.0942852	0.0467566	0.0295102
a30	0.29052	0.249535	0.223225	0.142707	0.0599408	0.0340716
a41	0.236674	0.200364	0.208898	0.182221	0.103092	0.0687511
a24	0.304494	0.220766	0.181829	0.147255	0.086062	0.0595945
a41	0.27817	0.236392	0.195892	0.153453	0.0858312	0.050261
a27	0.200974	0.221184	0.204623	0.177732	0.118993	0.0764932
a25	0.0873783	0.130681	0.163971	0.211494	0.223944	0.182531
a87	0.111736	0.161793	0.169929	0.195251	0.197977	0.163314
a23	0.0486336	0.0735053	0.0962356	0.161841	0.275383	0.344401
a83	0.0632993	0.0892861	0.103651	0.152792	0.285331	0.30564
a24	0.100917	0.0985785	0.0999071	0.160386	0.263403	0.276809
a41	0.0850952	0.0890407	0.100575	0.15868	0.266563	0.300047
a32	0.0437667	0.0633735	0.0851146	0.146775	0.290414	0.370556
a54	0.0272849	0.0407377	0.0590756	0.115255	0.28337	0.474277
a14	0.0194149	0.0354547	0.0611254	0.143655	0.325005	0.415345
a35	0.0248178	0.0462401	0.0723872	0.144175	0.306517	0.405863
a24	0.0171622	0.0240323	0.0385048	0.0962059	0.285941	0.538154
a35	0.0125215	0.0166584	0.0266099	0.0634317	0.240955	0.639823
a14	0.0141526	0.0146159	0.022643	0.0595599	0.237993	0.651036
a54	0.0142757	0.0160374	0.0245942	0.0624569	0.248327	0.634309
a35	0.0201472	0.0176303	0.0253841	0.0586427	0.235007	0.643189
a70	0.0247724	0.0240229	0.0350139	0.0716331	0.245763	0.598795
a54	0.0203303	0.0168282	0.0233926	0.0494021	0.215087	0.67496
a30	0.033106	0.0256529	0.0358055	0.0664726	0.248332	0.590631
a2	0.0453964	0.0297434	0.0391606	0.0800191	0.251029	0.554652
a57	0.0912404	0.0774083	0.0921502	0.108007	0.19858	0.432614
a87	0.052591	0.0625481	0.0835172	0.127298	0.227805	0.44624
</S>	0.054459	0.054233	0.0646929	0.107887	0.241129	0.477599
