 	c'	est	un	bon	remède	pour	les	maux	de	ventre	</S>
a23	0.209899	0.167658	0.108505	0.10787	0.110327	0.0988847	0.0917211	0.0464057	0.0261148	0.0173342	0.0152814
a85	0.153143	0.145407	0.148252	0.157646	0.158997	0.110676	0.0589808	0.0229518	0.0144888	0.0146339	0.0148227
a66	0.146735	0.168947	0.167897	0.155109	0.124082	0.0761449	0.0459829	0.0238412	0.0210506	0.0321225	0.0380869
a87	0.196913	0.238874	0.184478	0.149417	0.0981397	0.0440051	0.0234185	0.011764	0.0110573	0.0177907	0.0241432
a23	0.131392	0.148839	0.151377	0.130283	0.099984	0.0737729	0.0488768	0.0342922	0.0398738	0.060992	0.0803183
a18	0.136754	0.147694	0.145556	0.119435	0.0956646	0.0745547	0.0596507	0.0461443	0.0543831	0.0582823	0.0618803
a24	0.144491	0.176839	0.162943	0.138436	0.106717	0.072343	0.0546233	0.0343683	0.0337166	0.0386641	0.0368593
a88	0.263298	0.215275	0.162765	0.112907	0.0915757	0.0634962	0.0398553	0.0178826	0.0115565	0.0110002	0.0103881
a71	0.197479	0.163593	0.145269	0.120533	0.111196	0.0928356	0.0637304	0.033751	0.0243926	0.0239097	0.0233119
a38	0.17599	0.149945	0.131699	0.111918	0.104436	0.0921561	0.0676817	0.0407473	0.0356548	0.0420386	0.0477338
a12	0.142099	0.131108	0.125034	0.11634	0.116233	0.102854	0.0741491	0.0441259	0.040169	0.0498491	0.0580392
a24	0.138656	0.139305	0.140233	0.130576	0.138839	0.113072	0.0866592	0.0461276	0.0249579	0.0206276	0.0209472
a41	0.104669	0.118008	0.128796	0.129647	0.144232	0.127225	0.100677	0.0618684	0.0335313	0.0258843	0.0254626
a35	0.0813141	0.0999061	0.125809	0.138083	0.167655	0.141596	0.115197	0.06044	0.0277054	0.0209152	0.0213804
a26	0.0498738	0.0668504	0.102995	0.141716	0.194507	0.16477	0.129654	0.0624917	0.0303876	0.0267833	0.0299707
a76	0.0315654	0.0439075	0.0720413	0.115813	0.191518	0.176637	0.156432	0.0825372	0.0407321	0.0392418	0.049574
a90	0.0443315	0.0540851	0.071016	0.109016	0.175649	0.17005	0.151143	0.080726	0.0459858	0.0444671	0.0535313
a58	0.075686	0.0735315	0.0734483	0.0934692	0.139863	0.153171	0.148672	0.0903328	0.0536523	0.0466326	0.0515416
a38	0.0269635	0.032622	0.0420351	0.0614621	0.11801	0.153347	0.198045	0.162158	0.0825921	0.0602746	0.0624907
a75	0.0451213	0.0427947	0.047933	0.06074	0.106385	0.12869	0.167997	0.131105	0.080811	0.0812731	0.107149
a41	0.0451985	0.0398821	0.0411408	0.0496532	0.0717946	0.0889872	0.118638	0.11442	0.108913	0.13627	0.185102
a37	0.0291882	0.0277494	0.0328204	0.0453984	0.0694303	0.0842427	0.118051	0.119776	0.12042	0.149564	0.203361
a31	0.0362958	0.0308801	0.0345017	0.0451514	0.069857	0.0750036	0.115201	0.130877	0.122337	0.141158	0.198738
a43	0.0246619	0.0204534	0.0247298	0.0316605	0.0463396	0.0504811	0.0782383	0.118317	0.157773	0.201536	0.245809
a11	0.0269637	0.023243	0.0263926	0.0328189	0.0468331	0.0470383	0.0735663	0.114151	0.155266	0.20164	0.252088
a90	0.0270734	0.022715	0.0249486	0.0311655	0.046543	0.0450906	0.0650216	0.101473	0.14818	0.215861	0.271928
a94	0.0483206	0.0384088	0.0372124	0.0396994	0.0531313	0.0503959	0.0708389	0.105014	0.13863	0.190112	0.228237
a66	0.0232874	0.0176432	0.0197065	0.0240431	0.0357665	0.0308098	0.0406887	0.068469	0.126899	0.23901	0.373676
a90	0.0301832	0.0202179	0.0199838	0.0256541	0.0362603	0.0301479	0.0390366	0.0593358	0.102044	0.220988	0.416148
a57	0.0305794	0.0157687	0.013321	0.014633	0.0209459	0.0226883	0.0358363	0.0636753	0.117292	0.236065	0.429195
a9	0.0216628	0.0130285	0.0133157	0.016326	0.0227551	0.0242758	0.0373467	0.0640221	0.119277	0.233808	0.434182
a10	0.0119446	0.00714465	0.00678962	0.00794391	0.0101401	0.0112998	0.0197371	0.0422678	0.0987452	0.255308	0.528679
a53	0.0137656	0.00673245	0.0053164	0.00504614	0.00480676	0.00510102	0.00814578	0.0204417	0.0740325	0.258883	0.597728
a76	0.00589017	0.00282719	0.00271761	0.00298871	0.0049656	0.0062175	0.0108418	0.0247622	0.0837009	0.272423	0.582665
a20	0.00580536	0.00368551	0.0041814	0.00493939	0.00702732	0.00638824	0.00941559	0.0187062	0.066135	0.252797	0.620919
a84	0.00404124	0.00348901	0.00452352	0.00583728	0.00896244	0.00668971	0.00851939	0.0161122	0.054633	0.234466	0.652726
a87	0.00385625	0.00288696	0.00345822	0.00466552	0.00669553	0.00502929	0.00686992	0.0145882	0.0465067	0.216269	0.689174
</S>	0.0106762	0.00521682	0.00558529	0.00637149	0.00745612	0.00668572	0.0106149	0.0246077	0.0760286	0.243848	0.602909
