 	nous	ferons	partir	les	gens	demain	</S>
a87	0.243301	0.268842	0.204214	0.202061	0.0502906	0.0170135	0.0142788
a23	0.418406	0.23128	0.0861941	0.0498742	0.0424565	0.0564166	0.115373
a50	0.297831	0.317144	0.208877	0.0757775	0.0322347	0.025331	0.0428057
a0	0.455346	0.218665	0.1742	0.081003	0.0356068	0.0168692	0.0183097
a24	0.614678	0.252525	0.0913291	0.022245	0.00724947	0.00510829	0.00686554
a21	0.594096	0.279873	0.0771338	0.0238453	0.00920622	0.0068312	0.0090142
a47	0.541396	0.345835	0.0811605	0.0166944	0.00630297	0.00412424	0.00448622
a88	0.37387	0.364728	0.15076	0.0503186	0.0231006	0.0176756	0.0195468
a62	0.256232	0.203283	0.188649	0.153226	0.0795941	0.0579195	0.0610959
a21	0.191741	0.172096	0.285199	0.219576	0.0627266	0.0335064	0.0351555
a47	0.275757	0.208428	0.291564	0.138323	0.0396735	0.0229134	0.0233408
a0	0.169563	0.116165	0.270926	0.251171	0.0818739	0.0524744	0.0578269
a75	0.0949174	0.0818954	0.206625	0.312282	0.129611	0.0841722	0.0904975
a85	0.128785	0.0704047	0.099444	0.140187	0.131114	0.180957	0.249108
a44	0.0879816	0.0510961	0.0839116	0.168652	0.158194	0.1847	0.265465
a98	0.06335	0.0426941	0.0728187	0.183563	0.213684	0.188235	0.235655
a85	0.0294629	0.0179488	0.0257668	0.0687917	0.169908	0.297646	0.390476
a5	0.0235561	0.0124042	0.0164274	0.0459332	0.147703	0.302368	0.451608
a47	0.0365567	0.0163627	0.0273516	0.0560001	0.152423	0.302644	0.408662
a31	0.0258002	0.0140367	0.0274371	0.0540233	0.135756	0.312766	0.430181
a96	0.0090957	0.00605826	0.0126401	0.0429356	0.143953	0.292324	0.492994
a83	0.0049491	0.0028454	0.00811955	0.0376628	0.15669	0.28056	0.509173
a62	0.00268616	0.00198004	0.00606207	0.0319649	0.148849	0.278362	0.530095
a83	0.0018025	0.00118956	0.00436363	0.0227544	0.126451	0.278796	0.564643
a9	0.00194384	0.00132445	0.00427281	0.0216808	0.123405	0.279164	0.568209
a10	0.00797567	0.00307683	0.00481621	0.0121627	0.0858107	0.279403	0.606755
a87	0.0489866	0.0290868	0.0328199	0.0541584	0.167574	0.277501	0.389873
a23	0.141835	0.107757	0.118782	0.143459	0.153269	0.149539	0.185358
a99	0.0675818	0.0360389	0.038001	0.0592315	0.101394	0.209184	0.488569
a97	0.00596368	0.00381615	0.0102432	0.0243549	0.0747029	0.252567	0.628352
a87	0.00567095	0.00547148	0.0183903	0.036572	0.0799583	0.221024	0.632913
</S>	0.0180622	0.0158504	0.0290679	0.0436713	0.0772216	0.200176	0.615951
