 	la	case	s'	est	affaissée	</S>
a23	0.307649	0.177268	0.166939	0.123662	0.183191	0.0412906
a10	0.330302	0.217729	0.215552	0.105381	0.0643585	0.0666779
a87	0.215257	0.168274	0.225748	0.151787	0.132011	0.106923
a23	0.176155	0.169869	0.250941	0.194029	0.1366	0.0724056
a70	0.261172	0.181468	0.219015	0.11786	0.102399	0.118086
a98	0.304465	0.202484	0.199286	0.0884695	0.124299	0.0809961
a24	0.238646	0.226193	0.249144	0.134297	0.116288	0.0354316
a41	0.267645	0.242153	0.217629	0.132344	0.111066	0.0291632
a35	0.218162	0.226668	0.231422	0.168238	0.119126	0.0363834
a24	0.209365	0.211484	0.205118	0.170186	0.154593	0.0492544
a98	0.151613	0.152194	0.157682	0.181312	0.238412	0.118788
a38	0.103364	0.10062	0.112758	0.152179	0.317107	0.213971
a11	0.044612	0.0381574	0.0452185	0.108885	0.3497	0.413427
a10	0.0204699	0.0168587	0.0211253	0.0619108	0.279841	0.599794
a90	0.00937612	0.00798457	0.0118399	0.0447001	0.233623	0.692476
a93	0.0142406	0.00995806	0.0129496	0.0354731	0.211896	0.715482
a90	0.0100434	0.00731808	0.0103705	0.0314875	0.188175	0.752605
a76	0.0151751	0.0107817	0.012712	0.0275682	0.139228	0.794535
a73	0.029242	0.0195804	0.0234395	0.0428397	0.118874	0.766024
a84	0.0208267	0.0112996	0.012885	0.0296052	0.0961499	0.829234
a57	0.00605811	0.00285064	0.00424859	0.0112024	0.0504306	0.92521
a87	0.0674483	0.0459045	0.0593765	0.0648317	0.0876463	0.674793
</S>	0.0342569	0.0280295	0.0431377	0.0465774	0.0850972	0.762901
