 	la	baguette	de	manioc	est	dure	</S>
a10	0.222503	0.3109	0.141891	0.143102	0.0929533	0.0533115	0.0353391
a87	0.0890247	0.178512	0.144019	0.155237	0.159601	0.150558	0.123048
a82	0.114674	0.226509	0.148516	0.129503	0.147015	0.119892	0.113891
a97	0.151199	0.253982	0.15233	0.150296	0.136703	0.0905622	0.0649275
a53	0.169887	0.26829	0.159228	0.151925	0.127046	0.0779405	0.0456835
a93	0.198605	0.25256	0.137851	0.155772	0.123905	0.0767831	0.0545249
a96	0.349416	0.282994	0.117104	0.0940037	0.0620254	0.0498809	0.0445762
a61	0.375905	0.212922	0.111915	0.100108	0.0685974	0.0658431	0.0647105
a24	0.359558	0.213239	0.118183	0.105366	0.0772055	0.0712823	0.0551663
a96	0.283247	0.195862	0.120801	0.10388	0.101393	0.100489	0.0943275
a90	0.288188	0.188865	0.1208	0.102388	0.0993973	0.102267	0.0980942
a75	0.270924	0.194909	0.118389	0.101219	0.097773	0.109346	0.10744
a37	0.151303	0.19552	0.136268	0.131662	0.124001	0.130956	0.130291
a75	0.0849662	0.122998	0.109037	0.108899	0.137255	0.189405	0.247439
a85	0.0642636	0.10687	0.109564	0.11983	0.151416	0.195338	0.252717
a44	0.0448565	0.071566	0.0901715	0.116128	0.137974	0.209083	0.33022
a11	0.0208639	0.0280832	0.0358574	0.0539335	0.0882876	0.182665	0.590309
a56	0.0189977	0.0252531	0.0342346	0.0529779	0.079143	0.144347	0.645047
a11	0.0220555	0.0291433	0.037406	0.0494749	0.0766624	0.15552	0.629737
a9	0.00899351	0.016556	0.0280235	0.045334	0.0770463	0.148428	0.675619
a10	0.0200861	0.0315354	0.0382717	0.0540222	0.0982119	0.173595	0.584278
a87	0.0452859	0.0771449	0.0819447	0.106388	0.163988	0.213889	0.311359
a97	0.0436441	0.0915986	0.0945838	0.120005	0.177886	0.222817	0.249466
a99	0.0480126	0.075048	0.099357	0.14126	0.144463	0.213663	0.278196
a3	0.0363065	0.0584369	0.0770915	0.110823	0.113348	0.205779	0.398215
</S>	0.0367323	0.0536693	0.0684273	0.0996088	0.112137	0.207945	0.421481
