 	il	a	mal	aux	yeux	</S>
a87	0.386248	0.257233	0.112509	0.0826938	0.0764042	0.0849119
a53	0.223174	0.165455	0.162463	0.165751	0.148171	0.134986
a98	0.386705	0.21361	0.123211	0.0919139	0.079904	0.104656
a85	0.424701	0.273183	0.146041	0.0800558	0.0434781	0.0325405
a37	0.412793	0.288313	0.158713	0.0817436	0.0354852	0.0229513
a21	0.350492	0.2653	0.165328	0.101307	0.0626772	0.0548957
a11	0.269834	0.230936	0.195326	0.148541	0.0872944	0.0680694
a75	0.172235	0.161573	0.190933	0.192422	0.147997	0.13484
a34	0.0857479	0.0794463	0.125764	0.196866	0.240895	0.271281
a98	0.066209	0.0603005	0.107544	0.204029	0.282457	0.27946
a85	0.0454196	0.0403461	0.074058	0.166474	0.298723	0.374979
a70	0.0267028	0.0242775	0.0447218	0.10868	0.287562	0.508057
a66	0.0249311	0.024562	0.0524203	0.113853	0.251897	0.532337
a36	0.00489942	0.0058586	0.0175294	0.0666887	0.258312	0.646711
a57	0.0116168	0.0154991	0.0423963	0.124408	0.286872	0.519208
a87	0.0510752	0.0464685	0.0579654	0.0993098	0.235005	0.510176
a23	0.310491	0.195757	0.112362	0.0915871	0.126403	0.1634
a87	0.193181	0.121077	0.108227	0.137793	0.204404	0.235319
a23	0.0558688	0.0527181	0.0991116	0.182974	0.265161	0.344167
a87	0.063606	0.0521451	0.0860962	0.153943	0.264023	0.380186
a38	0.0313112	0.0398079	0.0836246	0.159916	0.267525	0.417815
a9	0.173415	0.104895	0.114234	0.137897	0.190032	0.279527
a10	0.171256	0.114431	0.119677	0.137759	0.177714	0.279162
</S>	0.150768	0.114755	0.132351	0.155646	0.183863	0.262617
