 	le	prophète	traditionnel	est	déjà	arrivé	dans	le	sanctuaire	</S>
a66	0.262088	0.293446	0.226138	0.0964354	0.0453093	0.0233784	0.0210188	0.0148507	0.00992702	0.00740873
a87	0.318454	0.274229	0.170111	0.0666405	0.0455079	0.0344403	0.0357893	0.0246607	0.0164509	0.0137164
a23	0.514535	0.254643	0.0894377	0.0370272	0.020825	0.0155546	0.0151681	0.0157022	0.0181528	0.0189546
a13	0.426571	0.200263	0.0922302	0.0641795	0.0342095	0.0231069	0.0322204	0.0350362	0.0419263	0.0502568
a54	0.330394	0.190402	0.125576	0.111458	0.0540563	0.0312834	0.0281231	0.0304914	0.0468474	0.0513682
a79	0.146973	0.184363	0.23232	0.176964	0.0978893	0.0513446	0.0313958	0.0258627	0.0273561	0.0255326
a15	0.146361	0.188773	0.267673	0.212161	0.103459	0.0419084	0.0167204	0.00929692	0.00728324	0.00636404
a25	0.0776767	0.118271	0.218927	0.223901	0.157312	0.105334	0.043518	0.0219437	0.0174453	0.0156705
a79	0.044775	0.0746996	0.197791	0.250185	0.190371	0.129955	0.0554929	0.0250866	0.0167304	0.0149141
a7	0.0402321	0.0614847	0.163774	0.24865	0.204886	0.139934	0.067644	0.0310797	0.0219669	0.0203482
a56	0.0446508	0.0571875	0.102948	0.209243	0.198464	0.152128	0.0900115	0.0503073	0.0473747	0.0476842
a98	0.0552202	0.0704758	0.116087	0.210584	0.19086	0.156292	0.0892444	0.0463979	0.0337004	0.0311391
a85	0.0230536	0.0385449	0.0915312	0.159024	0.180133	0.171572	0.120375	0.0874108	0.0711647	0.0571905
a92	0.0190514	0.0322792	0.0635356	0.105276	0.127724	0.127839	0.14003	0.129878	0.132838	0.121547
a56	0.0231723	0.0343305	0.0491812	0.087465	0.128264	0.144518	0.156811	0.133663	0.125518	0.117077
a25	0.0106545	0.010599	0.0154653	0.0362687	0.0838823	0.145728	0.227723	0.19819	0.145482	0.126007
a15	0.0035459	0.00353828	0.00499136	0.0137098	0.041222	0.0938287	0.169515	0.185965	0.234994	0.24869
a20	0.0018711	0.00152267	0.00208206	0.00574907	0.0181223	0.0470946	0.112854	0.161749	0.271263	0.377692
a98	0.00378424	0.00319911	0.00320444	0.00579252	0.0141129	0.0358122	0.0717768	0.133175	0.313013	0.41613
a47	0.00102241	0.000945974	0.00113634	0.0022971	0.00696594	0.0200784	0.0484046	0.104519	0.314976	0.499654
a0	0.000522017	0.000481693	0.000833468	0.00162955	0.00590588	0.0188002	0.0583718	0.114561	0.280771	0.518123
a75	0.00129283	0.000887293	0.000788378	0.00126254	0.00477573	0.015916	0.0501106	0.0989549	0.286254	0.539757
a5	0.000226114	0.000192973	0.000221739	0.000370919	0.00128695	0.00476307	0.0178569	0.0654176	0.300124	0.60954
a43	0.00110204	0.000890939	0.000878467	0.00119317	0.00374958	0.0124964	0.0314635	0.0876917	0.29639	0.564144
a21	0.00105118	0.000962563	0.00155214	0.00309171	0.010816	0.0277632	0.0544153	0.114185	0.273285	0.512878
a12	0.00217616	0.00138391	0.00123315	0.00168288	0.00476356	0.0126868	0.0323137	0.0758769	0.270069	0.597814
a18	0.000621543	0.000569022	0.000895383	0.0016578	0.00574826	0.0168621	0.0461595	0.104111	0.294538	0.528837
a25	0.00596495	0.00750924	0.00879938	0.0114838	0.0321883	0.0605693	0.0887449	0.155782	0.250071	0.378887
a10	0.121393	0.103604	0.0665014	0.0498508	0.0744397	0.102759	0.115134	0.107808	0.11348	0.14503
a87	0.302635	0.245214	0.0778791	0.0353359	0.0394013	0.0554871	0.0593358	0.0598706	0.0627321	0.0621094
a23	0.278223	0.232039	0.0748162	0.0296506	0.0329334	0.049974	0.0572301	0.0648945	0.0917535	0.0884848
a82	0.0304871	0.0180959	0.0075928	0.00394402	0.00851128	0.0300222	0.0644212	0.113172	0.325085	0.398668
</S>	0.00912637	0.00478438	0.00414147	0.00404511	0.0115237	0.0414366	0.0758731	0.122375	0.315599	0.411095
