 	ibara	a	coupé	le	palmier	</S>
a66	0.515423	0.212436	0.0991396	0.0762634	0.0582639	0.0384741
a87	0.232325	0.174086	0.198685	0.177409	0.136537	0.0809579
a97	0.415792	0.27013	0.129701	0.0745159	0.0617769	0.0480836
a99	0.500094	0.266613	0.108671	0.0541464	0.0368981	0.0335785
a83	0.631709	0.202377	0.0682032	0.039625	0.030447	0.0276387
a18	0.629678	0.220943	0.069	0.0314218	0.0232259	0.0257315
a90	0.358954	0.284663	0.172704	0.0863093	0.0545171	0.0428528
a25	0.233762	0.277569	0.21161	0.125205	0.0818601	0.0699941
a79	0.0962756	0.152034	0.212375	0.210222	0.175236	0.153858
a75	0.0889889	0.128837	0.165777	0.204169	0.205514	0.206714
a5	0.0833584	0.124311	0.157749	0.228317	0.228042	0.178222
a36	0.0772969	0.113899	0.140977	0.219164	0.239041	0.209622
a43	0.0282858	0.0475355	0.0673493	0.163043	0.285365	0.408421
a21	0.0098084	0.0183894	0.0331013	0.117152	0.281663	0.539886
a47	0.0105881	0.0204229	0.0386973	0.12617	0.283483	0.520639
a62	0.0109729	0.0191608	0.0327231	0.105386	0.26543	0.566327
a88	0.00565417	0.00984931	0.0224383	0.0745453	0.228699	0.658813
a62	0.00443031	0.0086612	0.0211506	0.0662323	0.223127	0.676398
a21	0.00505907	0.00946567	0.0236473	0.0684398	0.219161	0.674227
a5	0.00492161	0.00940666	0.0216041	0.0614083	0.19635	0.706309
a37	0.00422493	0.00789082	0.0170872	0.0476941	0.166058	0.757045
a27	0.00181951	0.00452281	0.0124607	0.0425886	0.177279	0.761329
a25	0.0418385	0.0553229	0.0747768	0.139824	0.254929	0.433308
a3	0.195994	0.136617	0.108237	0.144102	0.192114	0.222936
a97	0.227982	0.162306	0.110282	0.128685	0.166183	0.204562
a3	0.176874	0.143187	0.113317	0.132211	0.18754	0.246871
</S>	0.10073	0.0899276	0.0887652	0.135767	0.230798	0.354011
