 	la	mort	du	chef	nous	a	attristés	</S>
a66	0.268776	0.217488	0.150246	0.125824	0.122878	0.0642043	0.0343667	0.0162161
a87	0.28932	0.127239	0.11157	0.105908	0.112271	0.0934103	0.0842693	0.0760126
a97	0.243919	0.136531	0.0777596	0.0856346	0.10673	0.0966512	0.133496	0.119279
a83	0.208688	0.159933	0.103542	0.128171	0.141646	0.0970603	0.0881504	0.0728091
a34	0.289362	0.18992	0.124003	0.128096	0.0774131	0.0386668	0.0481077	0.104432
a70	0.382163	0.258871	0.140791	0.122079	0.0503194	0.0140611	0.0140602	0.0176541
a66	0.293787	0.260827	0.171599	0.148213	0.0726546	0.0243365	0.0163796	0.0122031
a93	0.210818	0.203361	0.166168	0.17175	0.111094	0.0555404	0.0426155	0.0386523
a56	0.177096	0.208013	0.187609	0.191285	0.111645	0.0506191	0.0386486	0.0350844
a93	0.155356	0.174257	0.181655	0.207033	0.147816	0.0668691	0.0397145	0.0273001
a4	0.171727	0.183833	0.183047	0.19205	0.148397	0.0654596	0.0335155	0.0219711
a93	0.130707	0.141668	0.1633	0.206132	0.183894	0.0937996	0.0486688	0.0318305
a70	0.14323	0.146425	0.156329	0.195044	0.174697	0.0973081	0.0529256	0.0340408
a83	0.0950559	0.115549	0.133253	0.167484	0.193679	0.15867	0.0925697	0.0437387
a75	0.0639282	0.087046	0.11481	0.154061	0.195714	0.18428	0.125632	0.0745293
a92	0.0357651	0.0656977	0.108827	0.146205	0.19706	0.206147	0.147407	0.0928907
a44	0.0299449	0.0560309	0.100014	0.128711	0.175533	0.222072	0.164049	0.123646
a70	0.0219626	0.0381538	0.0711545	0.0984024	0.153888	0.245901	0.225126	0.145412
a34	0.00841617	0.0126344	0.0270059	0.0420839	0.0892699	0.19772	0.270225	0.352644
a70	0.00697555	0.0112967	0.0246177	0.0395105	0.0853163	0.196844	0.269178	0.366261
a66	0.00190596	0.00261574	0.00640899	0.0122102	0.0375815	0.129535	0.242985	0.566758
a21	0.00234883	0.00320302	0.00730309	0.0134869	0.0370262	0.13001	0.208696	0.597926
a61	0.0032801	0.00483475	0.0102042	0.0165115	0.0416895	0.130104	0.216663	0.576713
a31	0.00100872	0.00138297	0.00320885	0.00628036	0.0179079	0.0767121	0.173245	0.720254
a0	0.000673218	0.000844229	0.0019562	0.00404026	0.0168446	0.0752234	0.175876	0.724542
a62	0.000919666	0.000816408	0.00182435	0.00305734	0.00919693	0.0525833	0.140144	0.791458
a96	0.000611453	0.000635909	0.00147548	0.00264678	0.00946819	0.052805	0.144058	0.7883
a88	0.00131822	0.00106393	0.00219479	0.0030741	0.00828068	0.0608955	0.155585	0.767587
a18	0.000456992	0.000422447	0.000951615	0.00165747	0.00607699	0.0432021	0.11882	0.828412
a26	0.00540354	0.00383675	0.00600919	0.00646344	0.0109266	0.0644473	0.161987	0.740926
a9	0.0379325	0.0222904	0.0240658	0.0216717	0.0270242	0.0940265	0.200992	0.571997
a97	0.0549439	0.0286482	0.0225942	0.021569	0.0320588	0.104757	0.218213	0.517216
a3	0.0667397	0.0394125	0.0296796	0.0293788	0.0478212	0.136499	0.243476	0.406993
a97	0.0559048	0.0344817	0.0302115	0.0318605	0.0504519	0.108314	0.182538	0.506238
a99	0.0574815	0.0405507	0.0356242	0.0417958	0.0584654	0.111641	0.186243	0.468198
a3	0.0458259	0.0281699	0.0253074	0.0284062	0.0360422	0.0774303	0.178094	0.580725
</S>	0.0626665	0.0421333	0.0308321	0.0328164	0.0425031	0.0789419	0.167407	0.542699
