 	appellations	pour	un	homme	</S>
a23	0.49553	0.158418	0.0878519	0.0632468	0.194953
a38	0.828311	0.0962165	0.0272775	0.0202437	0.0279518
a30	0.687823	0.139776	0.0740732	0.0526266	0.0457008
a73	0.296634	0.187501	0.205549	0.159963	0.150353
a76	0.279559	0.206698	0.247324	0.161402	0.105017
a69	0.206671	0.19435	0.259443	0.19397	0.145565
a90	0.154515	0.15098	0.22781	0.240237	0.226458
a13	0.0662268	0.0935662	0.190805	0.29174	0.357662
a9	0.0343616	0.0436411	0.100649	0.23612	0.585228
a87	0.0312181	0.0264424	0.0611019	0.178793	0.702445
</S>	0.260965	0.151956	0.153669	0.148948	0.284462
