 	cette	femme	pratique	la	divination	depuis	longtemps	</S>
a66	0.196406	0.172618	0.181027	0.197928	0.160766	0.0405532	0.0283665	0.0223361
a87	0.251811	0.172467	0.155063	0.149884	0.126976	0.0651839	0.0447097	0.0339042
a23	0.273856	0.1966	0.156621	0.120393	0.093293	0.0559953	0.0504269	0.0528145
a13	0.329611	0.245176	0.17683	0.107528	0.0455395	0.0287004	0.0308633	0.0357512
a99	0.394892	0.270206	0.129235	0.072503	0.0244943	0.0230554	0.0338402	0.0517743
a50	0.419084	0.317646	0.121725	0.0714945	0.0229715	0.0128073	0.0154441	0.0188271
a88	0.395926	0.326386	0.133226	0.0823488	0.0263319	0.0126683	0.0124632	0.0106494
a70	0.364708	0.268493	0.135325	0.0971108	0.0576877	0.0273348	0.0255777	0.0237632
a93	0.276221	0.246695	0.158227	0.130126	0.0880622	0.036193	0.032768	0.0317077
a90	0.22851	0.235324	0.173791	0.15325	0.10182	0.0410352	0.035853	0.0304163
a98	0.16018	0.198243	0.168067	0.163698	0.117386	0.0643551	0.0655128	0.0625577
a47	0.113061	0.150524	0.163887	0.194242	0.148895	0.070474	0.0798969	0.0790209
a6	0.107504	0.165911	0.185033	0.214079	0.112313	0.0592046	0.0745916	0.081363
a36	0.0949599	0.143819	0.182941	0.217359	0.144731	0.0672719	0.0741699	0.0747486
a27	0.0671262	0.124164	0.194289	0.231777	0.151052	0.0689968	0.0755438	0.0870511
a21	0.0400923	0.0783581	0.148358	0.183225	0.1475	0.109192	0.127824	0.16545
a5	0.0270492	0.0440648	0.102922	0.153392	0.211242	0.150571	0.148129	0.162629
a23	0.0152504	0.0266561	0.0765779	0.123656	0.163325	0.165747	0.19328	0.235508
a21	0.0163739	0.0300032	0.072239	0.108476	0.142229	0.149414	0.183277	0.297988
a6	0.0151542	0.0249841	0.0602152	0.0892199	0.136057	0.181845	0.205522	0.287003
a36	0.00856621	0.0146209	0.0397946	0.0650523	0.118182	0.197271	0.237358	0.319155
a27	0.0146259	0.0213134	0.0403698	0.0567742	0.0755688	0.157997	0.232104	0.401247
a57	0.0378785	0.0381927	0.0495249	0.0670242	0.10027	0.123987	0.219441	0.363681
a97	0.0429434	0.0393676	0.0425824	0.0512159	0.0755549	0.132951	0.247433	0.367951
a30	0.037175	0.0330438	0.0413331	0.0501509	0.0858555	0.180471	0.258379	0.313592
a53	0.0551459	0.0496415	0.048801	0.0449872	0.0769848	0.210031	0.25745	0.25696
a93	0.0133763	0.021401	0.0316269	0.045771	0.0754845	0.191248	0.310589	0.310503
a79	0.00316747	0.00560159	0.011798	0.0200775	0.0496401	0.168564	0.34377	0.397381
a7	0.00354227	0.00736153	0.0172533	0.0288736	0.0555646	0.166649	0.323678	0.397078
a54	0.00167021	0.00318255	0.00723	0.0119445	0.023635	0.105268	0.298576	0.548494
a36	0.00223628	0.00363947	0.00716513	0.0113163	0.0207561	0.113771	0.302379	0.538736
a2	0.000589161	0.00087851	0.0015701	0.00258854	0.00846696	0.109523	0.291155	0.585229
a57	0.0165264	0.0172472	0.0199184	0.0255748	0.0614423	0.186776	0.266025	0.40649
a87	0.0595318	0.0396901	0.0397701	0.0436631	0.0781555	0.165465	0.231933	0.341792
</S>	0.109753	0.073892	0.0785495	0.0799647	0.0988904	0.148559	0.192091	0.2183
