 	les	animaux	barrent	la	route	</S>
a87	0.566462	0.133736	0.0685064	0.0641286	0.0733253	0.0938423
a10	0.203803	0.135751	0.134103	0.123583	0.179658	0.223102
a40	0.287587	0.0995059	0.0687505	0.0850509	0.166046	0.29306
a6	0.198584	0.148896	0.170848	0.161561	0.14275	0.17736
a61	0.505338	0.249322	0.102074	0.0608363	0.0407001	0.0417293
a75	0.645778	0.20941	0.0569934	0.0366407	0.0254897	0.0256886
a79	0.346613	0.260514	0.143665	0.10427	0.0711595	0.0737783
a44	0.343758	0.291859	0.142262	0.091084	0.0649315	0.0661045
a98	0.425956	0.238953	0.112044	0.0868251	0.0653724	0.070849
a47	0.107511	0.153303	0.1923	0.199227	0.179552	0.168107
a41	0.0721709	0.132192	0.1846	0.197389	0.196978	0.21667
a36	0.0536233	0.110191	0.17396	0.206466	0.221994	0.233765
a75	0.0697924	0.135609	0.163271	0.184927	0.202606	0.243794
a92	0.0337917	0.0692374	0.126463	0.208569	0.273157	0.288783
a37	0.0230161	0.064663	0.131271	0.20726	0.27535	0.29844
a75	0.0129111	0.052478	0.121928	0.195609	0.281895	0.335179
a25	0.0168348	0.0594855	0.1245	0.197139	0.299362	0.302679
a7	0.0175275	0.0475517	0.101985	0.181464	0.311512	0.33996
a53	0.0062371	0.0216597	0.0646991	0.1345	0.309553	0.463351
a93	0.0028812	0.0119994	0.0483731	0.130628	0.341548	0.464571
a13	0.00151794	0.00648204	0.0305975	0.106974	0.348764	0.505664
a82	0.00177819	0.0076007	0.037807	0.117303	0.312685	0.522826
a10	0.00676009	0.0176377	0.0561798	0.130338	0.289408	0.499676
a87	0.0334324	0.0503775	0.0998909	0.146642	0.276013	0.393644
a23	0.216865	0.160465	0.135146	0.12725	0.17526	0.185013
a87	0.0272869	0.0357898	0.0874616	0.172664	0.331142	0.345656
</S>	0.00474152	0.0122532	0.0666025	0.161899	0.331007	0.423497
