 	il	traverse	le	ruisseau	en	plongée	</S>
a66	0.505439	0.268658	0.123107	0.0422387	0.0190705	0.0204303	0.0210566
a87	0.467159	0.206959	0.135216	0.0934914	0.0427587	0.0300315	0.0243842
a23	0.563581	0.156284	0.0587251	0.0496236	0.0512322	0.0658345	0.05472
a20	0.249294	0.10701	0.0883066	0.0987918	0.117676	0.166548	0.172373
a79	0.365231	0.178375	0.160782	0.112815	0.077367	0.0573147	0.0481157
a85	0.213073	0.262447	0.273615	0.168725	0.0446186	0.0217491	0.0157722
a47	0.128078	0.207534	0.285332	0.253324	0.0721175	0.0303801	0.0232335
a6	0.0918798	0.208287	0.346025	0.241057	0.0555518	0.0277002	0.0294985
a36	0.13875	0.150482	0.279986	0.278618	0.0885495	0.0345465	0.0290681
a12	0.219267	0.192767	0.228642	0.181248	0.08507	0.0484037	0.0446017
a75	0.161527	0.151995	0.154109	0.17517	0.15409	0.112365	0.090744
a92	0.0588537	0.075589	0.106325	0.212764	0.228479	0.185051	0.132939
a79	0.0318523	0.0387042	0.0498259	0.135198	0.254882	0.275623	0.213915
a69	0.021926	0.0357072	0.050622	0.145631	0.26691	0.271303	0.207901
a12	0.00486195	0.00802896	0.0143066	0.0571567	0.218617	0.352573	0.344455
a18	0.00459387	0.00667481	0.00843913	0.0277829	0.155992	0.36104	0.435477
a0	0.00119446	0.00261089	0.00341499	0.0114969	0.072416	0.295574	0.613293
a11	0.00249207	0.00530273	0.00728265	0.0254669	0.0966116	0.303054	0.55979
a93	0.004238	0.00739093	0.00930004	0.0316427	0.113916	0.318495	0.515018
a90	0.00107363	0.00285318	0.0052627	0.0229221	0.108847	0.318636	0.540405
a69	0.000407847	0.00129199	0.00289297	0.0167487	0.0943069	0.305701	0.578651
a32	0.00028258	0.00101517	0.00255466	0.0143828	0.0856787	0.305161	0.590925
a90	0.000318577	0.00103348	0.00229175	0.0127054	0.0720706	0.303661	0.60792
a94	0.000243616	0.000935189	0.00239299	0.0153015	0.0908731	0.319797	0.570456
a70	0.00043912	0.00153138	0.0036542	0.018394	0.0838375	0.321798	0.570346
a13	0.00293622	0.00620606	0.0104612	0.0368163	0.116224	0.30673	0.520626
a71	0.00819037	0.01705	0.0240919	0.0640077	0.147865	0.290582	0.448213
a9	0.0322941	0.0446436	0.0460905	0.0795256	0.158038	0.262644	0.376764
a87	0.29854	0.180943	0.0911953	0.0871788	0.0986473	0.12077	0.122726
a23	0.330231	0.243908	0.12436	0.0877217	0.0642967	0.0782264	0.0712558
a87	0.150044	0.0748294	0.0291549	0.0381225	0.0968536	0.210726	0.400269
a23	0.00787282	0.00535099	0.00360429	0.010819	0.0546276	0.300187	0.617538
a87	0.0204942	0.0112864	0.00613956	0.0135024	0.064499	0.30333	0.580748
</S>	0.0106406	0.00786426	0.00641441	0.0182016	0.0834778	0.327806	0.545596
