 	il	y	a	un	feu	de	brousse	</S>
a23	0.309194	0.215857	0.123769	0.0908787	0.0696257	0.0587803	0.0676048	0.0642913
a87	0.327492	0.233138	0.150984	0.0984822	0.0647481	0.0423699	0.037988	0.0447979
a23	0.213857	0.171693	0.156072	0.12614	0.0964071	0.0718843	0.0724468	0.0914999
a10	0.334476	0.217142	0.141537	0.0809719	0.0504614	0.0395947	0.0503357	0.0854818
a12	0.334334	0.241472	0.161299	0.0908937	0.0475448	0.0294513	0.0366649	0.0583407
a61	0.386641	0.278397	0.152834	0.0811997	0.0448186	0.0242564	0.0174595	0.0143944
a34	0.287571	0.263792	0.200965	0.123374	0.0654085	0.0263024	0.0174819	0.0151052
a93	0.18903	0.194264	0.199651	0.165387	0.11459	0.056812	0.0422453	0.0380196
a13	0.110852	0.130635	0.171601	0.179494	0.154841	0.0951508	0.0800905	0.0773362
a90	0.106015	0.13093	0.164676	0.162517	0.147593	0.101946	0.0954815	0.0908407
a96	0.0766928	0.0894988	0.122495	0.140154	0.148552	0.133318	0.14339	0.145899
a75	0.0450383	0.0516945	0.0886053	0.126505	0.160979	0.154684	0.179374	0.19312
a85	0.0385984	0.0398816	0.0634977	0.0895754	0.119034	0.163572	0.230323	0.255517
a2	0.0481797	0.0461309	0.0644873	0.0885057	0.118635	0.160838	0.220514	0.252709
a90	0.0152955	0.00933276	0.0134226	0.0214222	0.0376904	0.102549	0.274606	0.525682
a69	0.0131181	0.0077776	0.0118976	0.0211463	0.0389356	0.112082	0.301183	0.493859
a58	0.00892216	0.00659471	0.0100844	0.0170649	0.0299615	0.0866763	0.279453	0.561243
a84	0.0033945	0.00211955	0.00283061	0.00571639	0.0132206	0.0555267	0.21427	0.702922
a87	0.0526542	0.0408225	0.0407322	0.0479765	0.0638165	0.104582	0.204868	0.444548
a23	0.206216	0.16229	0.130573	0.104569	0.0905795	0.0782599	0.103329	0.124183
a87	0.118283	0.0832985	0.0751773	0.0888954	0.106619	0.131855	0.20915	0.186722
</S>	0.0314364	0.0214162	0.0250484	0.0401191	0.066827	0.141668	0.3162	0.357285
