 	cette	manière	de	dire	au-revoir	est	celle	des	vieillards	</S>
a66	0.168344	0.16225	0.148657	0.180047	0.129428	0.0495513	0.0608799	0.0444617	0.0368511	0.0195306
a87	0.25467	0.195323	0.135228	0.153963	0.0351758	0.0201865	0.039707	0.0518633	0.0640745	0.0498106
a23	0.322615	0.21132	0.123161	0.113631	0.0512031	0.0235339	0.0377609	0.0416285	0.0468983	0.0282481
a87	0.429217	0.293074	0.109401	0.0753427	0.0281418	0.0131601	0.0149783	0.0107019	0.0118818	0.0141012
a23	0.34927	0.286076	0.13543	0.0865679	0.0405836	0.0220243	0.028779	0.0186945	0.0162924	0.0162828
a61	0.340314	0.286494	0.117577	0.0771814	0.0342174	0.0187931	0.0263817	0.027951	0.0325038	0.0385868
a5	0.243709	0.233986	0.136576	0.101471	0.0957696	0.0281046	0.0283302	0.0338187	0.0487002	0.0495351
a43	0.173075	0.215758	0.152926	0.131312	0.123761	0.0387694	0.0294786	0.0351524	0.0540569	0.0457116
a11	0.132153	0.168379	0.14193	0.140472	0.141426	0.0716592	0.0509162	0.0473245	0.0640986	0.0416421
a61	0.0807709	0.109114	0.127544	0.142913	0.16084	0.131243	0.0867304	0.0587917	0.0607209	0.0413329
a18	0.0694617	0.105983	0.128334	0.12898	0.147824	0.161164	0.104567	0.0614034	0.0542403	0.0380417
a24	0.0525646	0.0630753	0.0840224	0.0823339	0.106288	0.157046	0.138086	0.105069	0.117212	0.0943023
a31	0.0357479	0.0512505	0.0791356	0.0857272	0.107772	0.183221	0.154657	0.117458	0.11105	0.0739802
a24	0.036351	0.0460516	0.0789641	0.0812042	0.109259	0.189553	0.169032	0.121893	0.106937	0.0607561
a31	0.0209056	0.0266299	0.0512896	0.0608923	0.095048	0.211792	0.209292	0.13916	0.118343	0.0666481
a62	0.0212385	0.0224631	0.0424447	0.0509477	0.0823511	0.180289	0.184355	0.171166	0.159211	0.0855341
a83	0.0161914	0.0193264	0.0375455	0.0467239	0.0663155	0.164602	0.181839	0.172561	0.170142	0.124754
a9	0.0117993	0.0136131	0.0223292	0.0279932	0.0460909	0.150835	0.182655	0.175574	0.194867	0.174243
a83	0.00845141	0.00730684	0.00955256	0.0133339	0.0214649	0.109222	0.185331	0.195681	0.221377	0.22828
a24	0.00759938	0.00818635	0.0116757	0.0122511	0.0230357	0.0685266	0.116063	0.175844	0.252396	0.324422
a31	0.0031113	0.00311594	0.00394518	0.0039452	0.00547743	0.021413	0.0589313	0.137841	0.257204	0.505016
a62	0.00779414	0.00805062	0.00932798	0.00843327	0.00855636	0.0230603	0.0529307	0.12704	0.208732	0.546075
a88	0.00245656	0.00273028	0.00329544	0.00322972	0.00372778	0.0138515	0.0334367	0.0884776	0.198645	0.65015
a50	0.00115353	0.00131496	0.00157288	0.0017566	0.00209185	0.00863095	0.0270346	0.0866377	0.222907	0.6469
a83	0.00171712	0.00181271	0.00209567	0.0023233	0.00298182	0.0109869	0.0286981	0.0960517	0.246955	0.606377
a70	0.00115244	0.00126686	0.00146181	0.00162913	0.00183002	0.00826668	0.0246022	0.0851519	0.209899	0.66474
a13	0.000741003	0.00089149	0.0011725	0.00144409	0.00192682	0.00803935	0.0210783	0.0654918	0.175841	0.723374
a3	0.00264384	0.00255451	0.00257798	0.00272363	0.00258684	0.0108109	0.0250963	0.0978115	0.238188	0.615006
a99	0.0229158	0.0183798	0.0163266	0.0170252	0.0169449	0.0285531	0.0352781	0.102654	0.221427	0.520495
a87	0.0556201	0.031317	0.0242214	0.0306796	0.0391416	0.0542517	0.0580209	0.104091	0.178917	0.42374
a23	0.116352	0.0562549	0.0402873	0.0556539	0.0606944	0.0847361	0.0678098	0.0921063	0.146017	0.280088
a87	0.0848303	0.0375869	0.0243447	0.031341	0.0211748	0.0283606	0.0260588	0.0696379	0.155712	0.520953
</S>	0.0168454	0.00904544	0.00823712	0.0169286	0.0177797	0.0428129	0.0456644	0.0867925	0.152148	0.603746
