 	le	hérisson	mange	le	sel	</S>
a15	0.291231	0.165787	0.141641	0.146087	0.14127	0.113984
a87	0.405123	0.384499	0.101596	0.0468611	0.0272393	0.0346813
a23	0.389964	0.447829	0.105047	0.0265301	0.0141417	0.0164878
a83	0.416127	0.388039	0.101404	0.0375723	0.0253434	0.0315151
a75	0.491297	0.336999	0.0766498	0.0417412	0.0302017	0.0231109
a37	0.334915	0.325288	0.144273	0.0753476	0.0691467	0.0510301
a98	0.288068	0.372554	0.188213	0.0767274	0.0474191	0.0270183
a85	0.237797	0.247973	0.223822	0.136216	0.0911845	0.0630069
a6	0.0686114	0.100606	0.198841	0.227242	0.216756	0.187944
a36	0.0245045	0.0366405	0.175709	0.275956	0.263673	0.223517
a75	0.00578007	0.0125628	0.0794141	0.183523	0.29888	0.41984
a25	0.00435815	0.0109619	0.0811674	0.189683	0.309863	0.403967
a69	0.00185433	0.00457364	0.0390188	0.120633	0.30043	0.53349
a58	0.000490571	0.0012465	0.0144502	0.0679519	0.265178	0.650682
a20	0.000224463	0.000524183	0.00534337	0.0377502	0.267301	0.688857
a36	0.000369119	0.000839703	0.00719744	0.0403242	0.251493	0.699776
a2	0.00949706	0.0134941	0.0479016	0.112509	0.254641	0.561957
a57	0.0451621	0.0414777	0.0827789	0.148057	0.263902	0.418623
a87	0.229082	0.177363	0.133294	0.121187	0.143707	0.195366
a82	0.170842	0.191542	0.205655	0.165722	0.135488	0.13075
a97	0.108055	0.111481	0.129446	0.140411	0.21347	0.297136
</S>	0.106154	0.103953	0.127589	0.139331	0.21306	0.309912
