 	ma	voiture	est	cabossée	</S>
a66	0.535634	0.309652	0.106012	0.0368069	0.0118957
a87	0.466289	0.22892	0.139558	0.0899614	0.0752713
a97	0.277267	0.302411	0.19359	0.111922	0.11481
a79	0.365834	0.328891	0.149923	0.0929271	0.0624246
a53	0.49741	0.296151	0.0780108	0.0713075	0.0571206
a76	0.509751	0.349112	0.0852868	0.0350286	0.0208214
a25	0.372279	0.390786	0.130698	0.0614332	0.044805
a69	0.269432	0.387078	0.177964	0.0816375	0.0838885
a90	0.201778	0.350447	0.201074	0.121978	0.124723
a56	0.244578	0.312989	0.220681	0.115329	0.106423
a12	0.175246	0.22851	0.218617	0.178204	0.199423
a75	0.145833	0.183286	0.216481	0.212877	0.241522
a56	0.120857	0.186891	0.27466	0.226879	0.190713
a96	0.101653	0.131507	0.257236	0.25184	0.257764
a93	0.07192	0.100996	0.211422	0.270956	0.344706
a56	0.0406411	0.067377	0.223096	0.332403	0.336482
a21	0.0182015	0.034011	0.149635	0.372261	0.425892
a85	0.00713097	0.0133218	0.0680535	0.275408	0.636086
a47	0.00561445	0.0114061	0.0489627	0.18245	0.751566
a36	0.00248196	0.0036598	0.0235052	0.160516	0.809837
a2	0.00871807	0.00849083	0.0419493	0.189544	0.751298
a57	0.0391811	0.030708	0.0637717	0.203703	0.662636
a97	0.137229	0.0946102	0.119243	0.243094	0.405823
a87	0.153124	0.101515	0.137448	0.26148	0.346433
a97	0.121401	0.0917558	0.141414	0.315835	0.329595
</S>	0.0294471	0.0324616	0.0650446	0.289161	0.583886
