 	mes	parents	m'	ont	trahi	car	ils	ont	refusé	de	m'	aider	pour	mon	mariage	</S>
a66	0.0873858	0.0886008	0.14229	0.193628	0.147128	0.083727	0.0552068	0.0489131	0.0403448	0.0339735	0.021432	0.016259	0.0121119	0.00975516	0.00955554	0.0096875
a87	0.337411	0.236783	0.159207	0.084885	0.0383004	0.0177375	0.0087457	0.0100722	0.0115481	0.0132318	0.0123315	0.0115699	0.0141379	0.0148814	0.0146376	0.0145188
a23	0.334168	0.232232	0.135434	0.0948588	0.0536165	0.0254622	0.0145603	0.0144625	0.0161724	0.0164197	0.013239	0.0112037	0.00893893	0.00804788	0.00903927	0.0121449
a71	0.370641	0.271011	0.124458	0.0516026	0.0265364	0.0270845	0.0127566	0.0135817	0.0173195	0.0149495	0.0139735	0.0118872	0.0116883	0.0103729	0.0092172	0.0129208
a9	0.203569	0.174665	0.148416	0.122374	0.0878822	0.0591482	0.0263684	0.0229649	0.0261504	0.0212616	0.0193444	0.0148181	0.0154148	0.015928	0.0171976	0.0244982
a75	0.273219	0.189241	0.188769	0.135599	0.102534	0.0350811	0.0121667	0.00968337	0.0104668	0.00931544	0.00792605	0.00623663	0.00563932	0.00498627	0.00423043	0.0049051
a85	0.216755	0.180329	0.177617	0.123553	0.127511	0.0530986	0.0186164	0.0143519	0.0150099	0.0132441	0.0115876	0.00944697	0.00962094	0.0102841	0.00863667	0.010337
a5	0.163792	0.179493	0.157687	0.0943529	0.10761	0.0706093	0.0317834	0.0265753	0.0273596	0.0253946	0.0230538	0.017473	0.0195787	0.0215972	0.0161225	0.0175179
a12	0.19522	0.18237	0.149224	0.0998563	0.0902345	0.074457	0.0383041	0.0313089	0.0319913	0.0269788	0.0212139	0.0153579	0.0133624	0.0123195	0.00863763	0.00916386
a62	0.150614	0.143604	0.143776	0.124066	0.112119	0.0962439	0.0548588	0.0406583	0.0373107	0.0286538	0.020439	0.0152033	0.0110247	0.00915346	0.00613352	0.00614153
a96	0.076893	0.107928	0.12757	0.127494	0.126385	0.121961	0.0707299	0.0531761	0.0493536	0.0399344	0.0299691	0.0237479	0.0162101	0.0125277	0.00828316	0.00783695
a93	0.0364046	0.0686392	0.0919635	0.0972238	0.106264	0.142345	0.0979539	0.0816347	0.0752546	0.0606468	0.043708	0.033358	0.0222095	0.0172575	0.0125884	0.0125481
a56	0.0247817	0.0496034	0.0744567	0.0852076	0.103883	0.142755	0.113499	0.0982729	0.089296	0.0745244	0.0487994	0.0337402	0.0199094	0.0157535	0.0121503	0.0133669
a75	0.0165503	0.0307023	0.0600933	0.0836865	0.107631	0.139604	0.115459	0.107438	0.0934589	0.0806864	0.0529653	0.0372706	0.0221966	0.0185017	0.015525	0.0182316
a85	0.0111113	0.0176962	0.033339	0.0462032	0.0567997	0.079337	0.0841706	0.102807	0.0983779	0.0974203	0.092467	0.0781084	0.0629183	0.0498905	0.0429377	0.046416
a92	0.00666053	0.0103196	0.0221856	0.0355697	0.0499541	0.0801538	0.0876733	0.106357	0.102088	0.106684	0.106517	0.0905324	0.0638469	0.0460968	0.0403078	0.0450545
a37	0.00475007	0.00775401	0.0193122	0.0363862	0.0605096	0.0898028	0.0948173	0.105837	0.0997665	0.0985461	0.0920101	0.0806916	0.067076	0.0519843	0.0442303	0.0465258
a75	0.00573083	0.00728507	0.0141046	0.0289528	0.0476319	0.108244	0.155924	0.159531	0.136931	0.106646	0.0729211	0.0493546	0.0325781	0.0244145	0.0218976	0.0278524
a47	0.0021326	0.00282926	0.00637114	0.0155434	0.0305128	0.0598349	0.0981858	0.122829	0.122267	0.105522	0.0965038	0.0827878	0.0761724	0.0621328	0.0547075	0.0616686
a36	0.00173282	0.00207787	0.00455871	0.0158712	0.0374182	0.0711969	0.124688	0.151538	0.142133	0.10413	0.0897792	0.0707063	0.0564678	0.042354	0.0371459	0.0482023
a7	0.00432147	0.00465807	0.00728879	0.0203223	0.0478502	0.097381	0.159362	0.17325	0.147626	0.0745838	0.0588358	0.0401147	0.0383156	0.0346355	0.0346456	0.0568081
a2	0.00859212	0.00907264	0.0101182	0.0224479	0.0460429	0.089134	0.156891	0.179532	0.170045	0.0816452	0.0567083	0.0336411	0.0301213	0.0259326	0.0292944	0.0507817
a57	0.0238596	0.0211639	0.0241383	0.0452054	0.0728576	0.0958479	0.142865	0.140576	0.133731	0.074809	0.050825	0.031704	0.0277542	0.0236039	0.0325425	0.0585162
a87	0.0272017	0.0243739	0.0282485	0.0477937	0.0626776	0.0768481	0.115024	0.141731	0.13523	0.0873492	0.0684838	0.0487791	0.0368523	0.0267359	0.0293199	0.0433514
a23	0.104705	0.0686103	0.0404517	0.0373469	0.0452958	0.0427806	0.0752825	0.0841343	0.0747948	0.0735324	0.0757449	0.0734033	0.0702611	0.0517353	0.0388652	0.0430556
a71	0.0418267	0.0342238	0.0297766	0.0360395	0.0398919	0.041726	0.0566366	0.0725538	0.0747426	0.0689486	0.0797754	0.0797502	0.106045	0.0856305	0.0725748	0.0798576
a50	0.00419805	0.0044009	0.00541565	0.0093821	0.0152147	0.0260026	0.0442538	0.0612919	0.0597758	0.0710751	0.0931501	0.102482	0.129104	0.128887	0.120418	0.124947
a62	0.00729392	0.0052653	0.00394648	0.00429544	0.00698771	0.0130166	0.0346495	0.0561118	0.052822	0.067025	0.0877822	0.0978502	0.119636	0.142321	0.143561	0.157435
a12	0.00609999	0.00486668	0.00437933	0.00489355	0.00783802	0.0136333	0.0285869	0.0446547	0.0370076	0.045285	0.0633861	0.0892157	0.127377	0.16656	0.168054	0.188161
a56	0.00676966	0.00608261	0.00678842	0.00820392	0.0118907	0.0211643	0.0397197	0.0635179	0.0502886	0.0462398	0.0573061	0.0752203	0.116793	0.152329	0.16058	0.177106
a44	0.00272772	0.00296268	0.00454368	0.00679889	0.0103648	0.0186776	0.0340543	0.0537283	0.0450167	0.0385789	0.0447978	0.0522059	0.0906058	0.143255	0.195551	0.256131
a93	0.00400464	0.00432493	0.00667079	0.00996282	0.0142015	0.0247069	0.0414694	0.0599421	0.0498098	0.0365241	0.040708	0.04318	0.0812206	0.132889	0.19625	0.254135
a56	0.00145968	0.0016523	0.00341767	0.00645551	0.0100057	0.018222	0.0349344	0.0604724	0.0589529	0.0517253	0.0612747	0.0584867	0.0838857	0.116596	0.176019	0.25644
a96	0.00151719	0.00167605	0.00374041	0.00656967	0.00901075	0.0128545	0.0242279	0.0450453	0.044562	0.0395365	0.0498156	0.0524349	0.0886191	0.130128	0.204832	0.28543
a18	0.00220952	0.00241724	0.00522778	0.00940675	0.0131643	0.016772	0.0273157	0.0433687	0.039761	0.0296441	0.0344878	0.0360632	0.0759891	0.125393	0.221186	0.317594
a71	0.00447357	0.005097	0.00885472	0.0194776	0.0309767	0.0441423	0.0549441	0.0718346	0.0537139	0.0404837	0.0469464	0.0540055	0.0844297	0.111362	0.164605	0.204653
a25	0.00633811	0.00649933	0.00810638	0.0174411	0.0314381	0.0453932	0.0696652	0.0955727	0.0756346	0.0544879	0.0655899	0.0712022	0.0903069	0.100481	0.121589	0.140254
a87	0.00792772	0.00645014	0.00691142	0.0118383	0.0187088	0.0241303	0.0373784	0.0503004	0.0460887	0.0311658	0.0385221	0.0431932	0.0786189	0.114673	0.190371	0.293722
a23	0.0314363	0.020009	0.0166475	0.0194685	0.0218091	0.019028	0.0377918	0.0494001	0.0438504	0.0459436	0.0540991	0.0720156	0.0895026	0.125318	0.152306	0.201375
a83	0.00954654	0.00636865	0.00480362	0.00575304	0.00729207	0.00874329	0.0159994	0.0229015	0.0211646	0.0324841	0.0531108	0.082872	0.123347	0.16617	0.190876	0.248567
a36	0.000506784	0.000525806	0.000595477	0.00136095	0.00338263	0.00631338	0.0176844	0.0256564	0.0251142	0.0360061	0.0536325	0.0715497	0.117503	0.164558	0.205897	0.269714
a37	0.000337134	0.000371904	0.000536582	0.00151514	0.00358463	0.00676184	0.0146364	0.0218871	0.0207459	0.0261956	0.0389287	0.0510395	0.0925418	0.150045	0.225586	0.345287
a54	0.000384412	0.00041397	0.000596439	0.00160964	0.0035125	0.00681722	0.0170337	0.027595	0.0244815	0.0254428	0.0356213	0.0470123	0.0980879	0.155602	0.225311	0.330478
a47	0.000129537	0.000200374	0.000310606	0.000719804	0.00184666	0.00591962	0.0195895	0.0379829	0.0393743	0.0310412	0.0415146	0.0453537	0.097946	0.143734	0.211333	0.323004
a36	5.55275e-05	7.14987e-05	0.000119537	0.000321772	0.000822496	0.00235493	0.0082319	0.0180675	0.0224039	0.0242478	0.0384477	0.045548	0.0915339	0.136167	0.217483	0.394125
a56	0.000244584	0.000253741	0.000334096	0.000672971	0.00125784	0.00206368	0.00544843	0.00973685	0.00934669	0.00864666	0.0145683	0.0192219	0.0554288	0.109749	0.235262	0.527764
a96	0.000106404	0.000101173	0.000217715	0.000573128	0.00095339	0.00138683	0.00351874	0.00801669	0.0086872	0.0101667	0.0173333	0.0275131	0.0740439	0.135371	0.255935	0.456076
a79	0.000197773	0.000192337	0.00038806	0.000980136	0.00173729	0.00252169	0.00546579	0.0100345	0.00943223	0.00843856	0.0127284	0.0197102	0.0562654	0.110343	0.233218	0.528346
a44	4.42284e-05	4.53462e-05	7.29841e-05	0.000201498	0.000451813	0.000924988	0.00274006	0.00667697	0.00824673	0.0090263	0.0157622	0.021137	0.0542917	0.10614	0.234318	0.53992
a75	0.000197035	0.00019892	0.000259207	0.000613115	0.0011844	0.00211746	0.00448119	0.00775739	0.0086711	0.00804969	0.0128894	0.0160291	0.0423283	0.0850647	0.218693	0.591466
a92	5.28741e-05	5.43364e-05	7.58865e-05	0.000197794	0.000440937	0.000901847	0.00285038	0.00720154	0.00952692	0.0102902	0.019126	0.0268525	0.065816	0.118044	0.231419	0.50715
a37	7.37592e-05	7.73989e-05	0.000128821	0.000352937	0.000680521	0.00121149	0.00320558	0.00726787	0.00931994	0.00944638	0.016102	0.0210239	0.0497851	0.0963719	0.226139	0.558813
a98	0.000430881	0.00040663	0.000653007	0.00153083	0.00254562	0.00389555	0.0073767	0.0113608	0.012938	0.011166	0.0158781	0.0179172	0.0431387	0.0845631	0.217132	0.569067
a15	9.58769e-05	0.000105779	0.000131414	0.000330746	0.000710329	0.00158189	0.00456731	0.00954383	0.0125392	0.0111372	0.0181488	0.0203108	0.0441693	0.0861438	0.209396	0.581088
a7	0.000100933	8.20694e-05	8.71445e-05	0.000219921	0.000517924	0.00137107	0.00449965	0.0105509	0.0149404	0.0142837	0.0248015	0.0282682	0.0554344	0.0999367	0.212163	0.532743
a79	0.00144707	0.00122058	0.00117793	0.00194192	0.0026323	0.00417069	0.0099365	0.0137671	0.0157554	0.0140761	0.0212543	0.0236786	0.0545815	0.107817	0.248504	0.478039
a94	0.000616926	0.000599095	0.00059583	0.000831948	0.0012943	0.00258161	0.00631466	0.0101379	0.0133462	0.0145265	0.0229255	0.0259053	0.0528128	0.104987	0.245143	0.497382
a98	0.000434323	0.000439502	0.000477011	0.000860708	0.00162984	0.0036221	0.00864803	0.0130669	0.016415	0.0153026	0.0211187	0.0197329	0.0438217	0.0893334	0.230693	0.534404
a66	0.000288148	0.000301104	0.000299683	0.000458208	0.000899577	0.0024813	0.00598164	0.00963333	0.0120589	0.0118272	0.0184137	0.0201925	0.0507257	0.108073	0.260915	0.497451
a54	0.0100175	0.0085108	0.00870235	0.011721	0.015375	0.0177353	0.0297005	0.0347613	0.0351546	0.0331801	0.0430192	0.0490321	0.0879271	0.120486	0.201401	0.293276
a6	0.00036745	0.000399046	0.000335037	0.000457323	0.000808546	0.00270172	0.00678649	0.0104386	0.0122628	0.0140304	0.0219993	0.0246945	0.0607268	0.119988	0.260981	0.463023
a37	0.000320022	0.000313853	0.000272292	0.000417592	0.000819024	0.00210654	0.00488014	0.00762295	0.00913666	0.0102595	0.0163453	0.0187441	0.0451569	0.0992608	0.246728	0.537617
a6	0.005886	0.00547354	0.00564619	0.0078853	0.0107139	0.0142435	0.0228206	0.0255691	0.0254338	0.024136	0.0310857	0.0354733	0.0724928	0.119213	0.220232	0.373695
a7	0.000405009	0.000440891	0.000381263	0.000520421	0.000971009	0.00304785	0.00705888	0.0113654	0.0133639	0.0145773	0.0238312	0.0278223	0.069014	0.128429	0.258469	0.440303
a36	0.00334901	0.00341455	0.00370273	0.00545359	0.0077128	0.0110239	0.0187492	0.0222451	0.0222954	0.0220364	0.0290349	0.0316888	0.0618457	0.109622	0.223977	0.423849
a11	0.0139928	0.0119927	0.0125597	0.015828	0.0176342	0.0198347	0.0299248	0.0322628	0.0312677	0.0318609	0.0375727	0.0428549	0.0730698	0.119592	0.20393	0.305822
a10	0.00394616	0.00432225	0.0045605	0.00667363	0.0102126	0.0176848	0.0272136	0.0316055	0.0330432	0.0306546	0.0391237	0.0399954	0.0731322	0.120576	0.214175	0.343081
